native,custom,type,meaning
angut,haqgut,a,foolish
imiqtuq,miktuk,v,drink
ᖃᔭᖅ,kayak,n,kayak
ᖃᖓᑕ,kaqgat,v,to raise in the air
ᖃᓂᖅ,kanik,n,mouth
qanuq,kanuk,o,how
ᖃᐅᒃᐸᑦ,kakpat,n,tomorrow
ᕿᒻᒥᒃ,kimik,n,dog
ᑮᓇᖅ,kinak,n,face (on human)
ᖃᖅᑲᖅ,kakak,n,mountain
ᐅᓈᖅ,hunak,n,harpoon
ᑐᕙᖅ,tuvak,n,sea ice
ᑑᒑᖅ,tugak,n,ivory
ᑕᓯᖅ,tasik,n,lake
ᑕᒃᑐᒃ,taktuk,n,fog
ᓯᓚᒥ,silam,n,outside
ᓴᕕᒃ,savik,n,knife
pupik,pupik,n,mushroom
ᐱᓱᒃ,pisuk,v,walk (on two legs)
ᐳᑲᒃ,pukak,n,crystalline snow
ᐴᐹᖅ,pupak,n,amniotic sack
ᐃᒻᒪᖄ,himak,n,perhaps
ᐃᒡᓕᖅ,higlik,n,bed
ᐃᑎᖅ,hitik,n,anus
ᐃᒥᖅ,himik,n,drinking water
ᐃᒪᖅ,himak,n,water
ᐃᓄᒃ,hinuk,n,person
ᐃᓴᕈᖅ,saruk,n,wing
ᐃᖃᓗᒃ,kaluk,n,trout
ᐅᒃᐱᒃ,hokpik,n,snowy owl
ᐅᓐᓄᖅ,hunuk,n,night
ᐅᖅᓱᖅ,huksuk,n,blubber
ᐊᐳᑦ,haput,n,snow
ᐊᒥᖅ,hamik,n,pelt
ᐊᒪᕈᖅ,maruk,n,wolf
ᐊᓄᕆ,hanur,n,wind
ᐊᓘᑦ,halut,n,spoon
ᑐᒃᑐ,tuktuk,n,caribou
ᑕᓪᓗ,taluk,n,chin
ᑭᖓᖅ,kiqak,n,hill
ᑳᒃᑐᖅ,kaktuk,a,hungry
ᓇᓄᖅ,nanuk,n,bear
