bahaneʼ,pahan,n,legend
chʼéʼétiin,txitin,n,doorway
chézhin,txizin,n,lava
chʼiyáán,txiyan,n,provisions of food
akaz,hakaz,n,stem
dághá,tagam,n,whiskers
dikʼǫsh,tikox,v,to be sour/spoiled
dichʼíízh,titxij,a,rough
díkʼǫ́ǫ́zh,tikoj,a,salty
dikad,tikat,a,flat
sikaad,sikat,a,spread out
dildon,tilton,a,explosive
diyóół,tiyol,n,wind
diyin,tiyin,a,sacred
dimáás,timas,v,to roll along
gahtsoh,gatsoq djiv,n,jackrabbit
gałbáhí,gacpaq djiv,n,cottontail
golchóón,koltxon,n,quilt
hą́ądą́ą́ʼ,hataq,o,back then
haʼagééd,hakid,n,mine (ore extraction)
haajííł,hatxic,n,protrusion
haʼasídí,hasit,n,guard
hakʼos,hakos korg,n,neck
hataał,hatac,n,ceremony
hakʼaz,hakaz,n,chill
heeneez,hiniz,n,rectangle
hilghaał,hilgal,v,to wriggle
jááłánii,txacan djiv,n,centipede
jééhkał,txikac,n,deaf
jiilgish,txilkix,n,lightning flash
jiłhazhí,txicaz djiv,n,hackberry
jizhgish,txizkix,n,cut
kʼaalógii,kalok djiv,n,butterfly
niteel,nitil,a,wide
jeełigai,txicik,n,chewing gum
kááʼtsʼiní,katsin,n,crocodile
kʼézdon,kizdon,a,straight
bízháneeʼ,bizan,n,luck
naaldeehii,djiv,n,wildlife
