tune,english
glisp,involution
fledj,eject
flurt,flirt
xresp,implosive
djomz,ablaze
mendj,energy
txuft,affine
dralz,detail
slamd,agriculture
srulz,apartment
snind,applaude
xlemd,ascetic
djimz,attic
smost,automata
xredj,
vlesk,axiom (base assumption)
frost,babysitter
vlost,backhand
fresk,backward
kridj,barefoot
glurc,barley
txigz,bashful
brusp,bath
glorz,bedroom
blifk,beef
grimd,beer
xlast,palace
djend,zigzag
groft,seated meditation
frugz,bronze
prest,broadcast
blolz,bottle (liquid holder)
fragz,bother (male sibling)
xluzd,bootleg
vriqk,brick
snask,bread
pralp,bomb (explosive device)
vlurk,derivative
trorc,depart (leave from)
srult,demolish
frinz,deck (patio)
grort,daughter (female child)
vlumd,pickle
fruzd,contract
kletx,console (configuration panel)
glosk,concur (agree)
gramd,concrete (material)
blist,concert (music event)
slark,
stark,stark
sludj,
trosp,bucket
trimz,cabinet
xlalz,cable
txafk,cafe
sneft,cake
flidj,calcium
vland,camera (image capture)
flomd,candy
sruft,cannon
flend,capital (main place)
klezd,
trolt,tonque
trufk,tonight
dreqk,today
smorp,booth
bleft,brass
djorp,carpet
trisp,carriage
bruzd,cartoon
flird,case
slidj,cast (film)
blutx,castle
brist,cathedral
grusk,cell (biology)
slorp,chamber
twerp,chapel
crofk,cheese
drolp,chess
vlisp,
spalp,chief
klusp,chocolate
trumz,christianity
djodj,church
brisp,classroom
crumz,clay
drest,clinic
grezd,clitoris
plulp,whey
vlodj,wine
twalp,
bland,blonde
djonz,upward
crasp,verse
spriq,spring (physics)
krisp,vertebra
xlesp,vessel
flisp,village
kliqk,vinegar
grask,violin
trazd,volleyball
brolt,
crark,wallet
pruzd,ankle
vrord,trunk
grost,truffle
xrutx,truck
kluft,tropical
xrolz,triumphantly
florz,treaty (formal agreement)
djumd,treasury (treasure manager)
xrulz,mall
fligz,maiden
cruzd,magazine
vretx,lung
prost,lunch
prarg,lumber
flarp,
crenz,downhill
crolp,download
vlezd,downright
crorb,downstage
crugz,downstairs
krulp,doggishly
djift,doctor
vrarz,divine presence
brigz,district
striq,string
grorc,discharge
vlorp,disappear
slosp,dinner
flagz,birthday
traqk,draft
djurg,pole
blagz,plate
prarb,planet earth
klumd,pitch (throw ball)
vlosp,pilot (airplane driver)
vlork,pillow
smisp,piano
trizd,photograph
srast,pharynx
xlort,self-control
brorb,tank (hard fail)
djorz,tale (long fantastical story)
krefk,tadpole
glimz,tablet
sloft,supernatural
frist,sunrise
flarb,nostril
sreft,nipple
glizd,niece
spalt,newspaper
blotx,nephew
vlesp,naval
srist,nation
flazd,muzzle (mouth lock)
tromd,mustard
start,
txesk,muscle
prufk,pore
txosp,theater
blegz,thigh
brarb,upbeat
gland,motorcycle
vlaft,facture
blird,fixture
srulp,
gralt,venture
trogz,mixture
trard,creature
xlaqk,fracture
smerp,tincture
crosp,juncture
kredj,moisture
bladj,pasture
xlurp,stature
xrodj,rupture
klimz,rapture
breft,nucleus
slorz,menorah

djost,judaism
slamc,islam
hindj,hinduism
vlenz,gasoline
frolz,mile
strit,street
stret,straight
preqk,prank
smutx,hotel
trifk,court
drorb,school
blimd,office
blugz,university
bloft,
djark,
skwat,get down low
vraft,shop
xlorg,library
vlorb,hospital
txand,market
martx,march (rigid movement forward)
sriqk,building
framz,comet
klomd,dirt
drizd,lightning
prusk,thunder
krumz,train
slerd,
prorb,bicycle
cretx,boat
druzd,ship
flotx,sock
txidj,law
txonz,patient
crarz,priest
plond,police
sramd,veteran
klisp,soldier
bromz,
txost,president
twult,
frust,bill
swird,ethnicity
krafk,election
snosp,movie
srinz,
crozd,beverage
xlarc,egg
blorb,breakfast
drorz,sugar
djinz,knife
grend,spoon
glorp,
stamp,stomp
print,print
xlifk,stool
twond,bathroom
slork,pencil
srusk,pen
frarb,soap
slimd,page
cradj,letter
grogz,paper
grisk,garden
vlifk,yard
twaft,needle
blarg,television
dratx,radio
srimz,tire
blidj,plastic
xlosk,
grinz,inch
txust,pound
srark,
trudj,
snisk,fall
tragz,year
flamd,week
brenz,hour
vlorc,minute
blitx,second
smesk,steel
dretx,gallery
frord,canal
xlend,hurricane
kraqk,fantasy
klolt,rifle
blodj,ferry
frorg,submarine
djarz,cotton
krugz,radar
xlazd,helicopter
glogz,furniture
drost,hammer
glodj,tornado
brofk,yacht
portx,porch
txist,petal
xlesk,bathtub
plifk,ink
klidj,fiber
sresp,rope
vrart,horizon
glumz,several
spaqk,shaft
glagz,shank
txoft,shrine
tximd,sickle
snork,snorkel
txamz,softball
xrigz,square
klarc,staff
srarb,starch
vlust,straightforward
vladj,studio
crifk,subway
drodj,equinox
txaqk,equator
djurk,agenda
flurg,calorie
flomz,manufacture
srond,laundry
cragz,knight
glult,kitchen
frozd,kick
dridj,jaundice
xregz,bureaucracy
flolt,delicacy
klalt,aristocracy
twisp,pharmacy
frigz,grammaticalization
glomd,drupe
sreqk,abscission
krust,ovary
brard,carpal
dritx,fluorescence
grord,keel
plorp,phosphorescent
srimd,squat
blurp,tubular
txest,chest
twird,hearty
prunz,herbaceous
srask,perennial
djolp,luxuriant
txegz,succulent
frufk,wood
grasp,ceramic
glifk,plaster
vlorC,mild
bloqk,thematized
slisp,acid
treft,angel
djesk,
freqk,frank (be frank with someone)
rantx,ranch
bardj,barge
kwant,quantity
krost,crust
flast,army
slonz,art
brand,brand
blisp,bundle
djult,beefy
blesk,bench
vrorC,bike
djurb,bite
smusp,
bliqk,blink
sprig,
briqk,brink
pleqk,plank
snort,snort
txarm,charm (make feel good)
sworm,swarm
swamp,swamp (cover heavily)
blurC,blister
trarc,blushing
vrusk,alcohol
txalz,diary
snert,representationalism
prolp,radical (chemistry)
swerp,polymer
swurt,polymeric
cronz,polymerization
txodj,petroleum
krodj,oxidation
brizd,oxide
klamz,oxidize
xrorz,guitar
djafk,applauding
prust,applauded
flift,applause
grorb,bowl
klosk,murder
crand,breast
xlofk,gallop
xlurd,budget
klufk,
txorz,captain
brolp,catalog
xrefk,champion
slost,chapter
craqk,prostitute
xladj,century
blafk,clap
smufk,cloth
pratx,clothes
tresk,clown
trosk,coin
vliqk,college
txarb,colony
xroft,comic
prugz,common sense
grozd,cord
blarC,cork
frusp,cosmic energy
klark,counterclockwise
tremz,
blorC,country
kland,
slumz,database
frarz,doll
flonz,electrochemical
krard,electromagnetic
prord,electrophilic
