tune,english
zomozuma,atom-1
zuvaduma,atom-2
dimasuma,atom-3
denoluma,atom-4
dirokuma,atom-5
duwazuma,atom-6
diyezuma,atom-7
duzezuma,atom-8
difozuma,atom-9
divoduma,atom-10
simasuma,atom-11
sunaluma,atom-12
siroxuma,atom-13
sowekuma,atom-14
soyoxuma,atom-15
suzaxuma,atom-16
sifoxuma,atom-17
sivoduma,atom-18
lamosuma,atom-19
lunoluma,atom-20
liqovuma,atom-21
legevuma,atom-22
lidovuma,atom-23
lubivuma,atom-24
lipevuma,atom-25
latuvuma,atom-26
lakevuma,atom-27
lihovuma,atom-28
lusovuma,atom-29
lilovuma,atom-30
larixuma,atom-31
lawekuma,atom-32
luyakuma,atom-33
luzuzuma,atom-34
lifozuma,atom-35
livoduma,atom-36
kimosuma,atom-37
kinoluma,atom-38
kiqovuma,atom-39
kugivuma,atom-40
kadevuma,atom-41
kobuvuma,atom-42
kipovuma,atom-43
kitevuma,atom-44
kikavuma,atom-45
kohuvuma,atom-46
kosevuma,atom-47
kalovuma,atom-48
keroxuma,atom-49
kiwexuma,atom-50
keyokuma,atom-51
kizokuma,atom-52
kefezuma,atom-53
kivuduma,atom-54
ximosuma,atom-55
xinoluma,atom-56
xigovuma,atom-57
xedivuma,atom-58
xobovuma,atom-59
xipavuma,atom-60
xitivuma,atom-61
xekavuma,atom-62
xahivuma,atom-63
xosivuma,atom-64
xolovuma,atom-65
xeruxuma,atom-66
xiwaxuma,atom-67
xuyixuma,atom-68
xizoxuma,atom-69
xofukuma,atom-70
xevuduma,atom-71
vimosuma,atom-72
vinoluma,atom-73
vigovuma,atom-74
vadovuma,atom-75
vebuvuma,atom-76
vipovuma,atom-77
vitivuma,atom-78
vikovuma,atom-79
vihabuma,atom-80
visobuma,atom-81
vilobuma,atom-82
varobuma,atom-83
vawibuma,atom-84
veyabuma,atom-85
vezibuma,atom-86
vifobuma,atom-87
vavubuma,atom-88
xagafuma,atom-89
xidofuma,atom-90
xubafuma,atom-91
xipifuma,atom-92
xatafuma,atom-93
xekifuma,atom-94
xihofuma,atom-95
xosafuma,atom-96
xilofuma,atom-97
xarafuma,atom-98
xuwafuma,atom-99
xoyifuma,atom-100
xizefuma,atom-101
xifofuma,atom-102
xavafuma,atom-103
vugenuma,atom-104
vidonuma,atom-105
vabanuma,atom-106
vipenuma,atom-107
vetunuma,atom-108
vikinuma,atom-109
vehanuma,atom-110
visonuma,atom-111
vilanuma,atom-112
varonuma,atom-113
vuwenuma,atom-114
vayanuma,atom-115
vuzanuma,atom-116
vifonuma,atom-117
vavenuma,atom-118
