tune,english.csv
mamamuta,"Ghotuo (aaa language)"
mamabota,"Alumu-Tesu (aab language)"
mamatuta,"Ari (aac language)"
mamadota,"Amal (aad language)"
mamanuta,"Arbëreshë Albanian (aae language)"
mamafota,"Aranadan (aaf language)"
mamagota,"Ambrak (aag language)"
mamakuta,"Abu' Arapesh (aah language)"
mamaguta,"Arifama-Miniafia (aai language)"
mamakota,"Ankave (aak language)"
mamalota,"Afade (aal language)"
mamanota,"Anambé (aan language)"
mamaduta,"Algerian Saharan Arabic (aao language)"
mamapota,"Pará Arára (aap language)"
mamaputa,"Eastern Abnaki (aaq language)"
mamarota,"Afar (aar language)"
mamasota,"Aasáx (aas language)"
mamatota,"Arvanitika Albanian (aat language)"
mamabuta,"Abau (aau language)"
mamasuta,"Solong (aaw language)"
mamaxota,"Mandobo Atas (aax language)"
mamazota,"Amarasi (aaz language)"
mabomuta,"Abé (aba language)"
mabobota,"Bankon (abb language)"
mabotuta,"Ambala Ayta (abc language)"
mabodota,"Manide (abd language)"
mabonuta,"Western Abnaki (abe language)"
mabofota,"Abai Sungai (abf language)"
mabogota,"Abaga (abg language)"
mabokuta,"Tajiki Arabic (abh language)"
maboguta,"Abidji (abi language)"
mabojota,"Aka-Bea (abj language)"
mabokota,"Abkhazian (abk language)"
mabolota,"Lampung Nyo (abl language)"
mabomota,"Abanyom (abm language)"
mabonota,"Abua (abn language)"
maboduta,"Abon (abo language)"
mabopota,"Abellen Ayta (abp language)"
maboputa,"Abaza (abq language)"
maborota,"Abron (abr language)"
mabosota,"Ambonese Malay (abs language)"
mabotota,"Ambulas (abt language)"
mabobuta,"Abure (abu language)"
mabovota,"Baharna Arabic (abv language)"
mabosuta,"Pal (abw language)"
maboxota,"Inabaknon (abx language)"
mabovuta,"Aneme Wake (aby language)"
mabozota,"Abui (abz language)"
matamuta,"Achagua (aca language)"
matabota,"Áncá (acb language)"
matadota,"Gikyode (acd language)"
matanuta,"Achinese (ace language)"
matafota,"Saint Lucian Creole French (acf language)"
matakuta,"Acoli (ach language)"
mataguta,"Aka-Cari (aci language)"
matakota,"Aka-Kora (ack language)"
matalota,"Akar-Bale (acl language)"
matamota,"Mesopotamian Arabic (acm language)"
