tune,english
vomzud,ait (landform)
fifonz,anabranch (landform)
dafkip,arc (landform)
satxab,arroyo (landform)
Cemunz,atoll (landform)
pugzod,ayre (landform)
Cegzag,backswamp (landform)
randul,bank (landform)
biwab,bar (landform)
bebid,barchan (landform)
hesarg,basin (landform)
firzop,bay (landform)
mejezd,beach (landform)
garbip,berg (landform)
mumdaz,bight (landform)
ferpad,block (landform)
parpoc,bluff (landform)
wuzdiC,boil (landform)
guftoq,bornhardt (landform)
vulzad,butte (landform)
buzdoq,calanque (landform)
hedenz,caldera (landform)
nirpoq,canyon (landform)
yarCes,cave (landform)
zorCov,cenote (landform)
Culzar,channel (landform)
bomduC,cirque (landform)
yaltek,cliff (landform)
CahuC,cone (landform)
tozdej,confluence (landform)
naskeC,corrie (landform)
hacorv,crater (landform)
srakex,crevasse (landform)
bolzeC,cuesta (landform)
kindek,cusps (landform)
koskik,dam (landform)
korCek,dell (landform)
Cafudj,delta (landform)
mofkal,dike (landform)
mudjas,divide (landform)
Cispaq,doline (landform)
workir,dome (landform)
lertap,draw (landform)
slonas,dreikanter (landform)
Cistaz,drumlin (landform)
mestuk,dune (landform)
hadjes,erg (landform)
sitxub,escarpment (landform)
lohist,etchplain (landform)
slucum,fenster (landform)
dustob,firth (landform)
tufkas,fjard (landform)
medos,fjord (landform)
dafemd,flat (landform)
margas,foiba (landform)
kasav,formation (landform)
pirkoc,geo (landform)
kirdez,geyser (landform)
panzeg,glacier (landform)
duskox,glen (landform)
yerboc,gnamma (landform)
lusetx,gorge (landform)
fojur,graben (landform)
naftus,group (landform)
Cufest,gulch (landform)
zuwund,gulf (landform)
biqkak,gully (landform)
menzuv,guyot (landform)
girgaq,hill (landform)
zestes,hogback (landform)
funzeb,hollow (landform)
xiyurt,hoodoo (landform)
zaxolz,horm (landform)
fonamd,hornito (landform)
duqkij,horst (landform)
xifkev,hummocks (landform)
taftiv,inlet (landform)
zurbeb,inselberg (landform)
yumdeb,interfluve (landform)
nazduk,island (landform)
yaltiC,islet (landform)
buzdoC,isthmus (landform)
nartac,kame (landform)
canzer,karst (landform)
lerzet,kettle (landform)
hurdib,knoll (landform)
petxas,kurum (landform)
satxep,lagoon (landform)
dofizd,lake (landform)
fiskul,land (landform)
gakark,lava (landform)
xigamd,line (landform)
larzul,loess (landform)
fegzev,maar (landform)
zaspat,machair (landform)
durec,malpais (landform)
yimdam,mamelon (landform)
vexars,marsh (landform)
cekiz,meander (landform)
wazuc,mesa (landform)
migav,mogote (landform)
garbiq,monadnock (landform)
trodux,moraine (landform)
fonzeq,moulin (landform)
sibusk,mountain (landform)
morcon,nubbin (landform)
tadjat,nunatak (landform)
zirbic,oasis (landform)
wurCad,paleoplain (landform)
cirteg,palin (landform)
harcig,palsa (landform)
kevod,panhole (landform)
petifk,pass (landform)
dadest,pavement (landform)
biqkon,peak (landform)
torzef,pediment (landform)
fatxad,pelago (landform)
CargiC,peninsula (landform)
xircuc,pingo (landform)
vofkur,plain (landform)
vurder,plain (landform)
vivusp,plateau (landform)
heCirk,platform (landform)
nubarf,plug (landform)
CadeC,polje (landform)
vutxuz,pond (landform)
frebab,pool (landform)
gumdul,potrero (landform)
hocadj,pseudocrater (landform)
bezuv,quarry (landform)
varbar,range (landform)
zukirb,rapid (landform)
zostid,ravine (landform)
doqkot,reef (landform)
xuskof,ria (landform)
kragin,ridge (landform)
gestuC,riffle (landform)
nunurv,river (landform)
woxezd,rock (landform)
hetxeC,roy (landform)
kofkif,saddle (landform)
koqirk,salt pan (landform)
pendoC,sandur (landform)
liwedj,scowle (landform)
hurbix,scrap (landform)
yoyirv,scree (landform)
yerbod,sheets (landform)
cercol,shelf (landform)
fisar,shelter (landform)
mogzaC,shoal (landform)
werzik,shore (landform)
troquf,shoulder (landform)
kogab,sinkhole (landform)
yezdum,solope (landform)
Cotxed,spring (landform)
surafk,spur (landform)
xostoc,stack (landform)
raltub,strath (landform)
nisurv,stratocone (landform)
kiskiq,stream (landform)
ninirg,summit (landform)
slutet,surface (landform)
zanzac,swamp (landform)
refuC,system (landform)
luspov,table (landform)
wurcer,tafoni (landform)
lirCoq,tepui (landform)
bonzap,terrace (landform)
farcux,terracette (landform)
zergin,thalweg (landform)
xaxaft,tombolo (landform)
djocuf,tor (landform)
murgol,towhead (landform)
zaspoz,trench (landform)
cofirv,tube (landform)
Cunist,turlough (landform)
nimzoj,tuya (landform)
zerdax,valley (landform)
gurCev,vent (landform)
fumdut,volcano (landform)
molpic,water (landform)
CundaC,weathering (landform)
burziv,yardang (landform)
xorkez,forest
xustaj,soil
pimzes,sand
lehodj,aerosol
