tune,english
yurzad,abilify
xardiq,abscisic acid
Ceftir,acenaphthylene
curziz,acetaminophen
nertid,acetate
drofin,acetic acid
txevex,acetone
djeman,acetophenone
rumdad,acetyl peroxide
natxok,acetyl salicylic acid
waximd,acetylcholine
gaskec,acetylene
Cunurk,acroleic acid
kuyaqk,acrylamide
zekomd,acrylic acid
kurbuj,acrylonitrile
votxej,acyclovir hydrate
lufosk,adderall
djodal,adenine
bospes,adenosine
cexag,adipic acid
geftut,adrenaline
cured,adrenocorticotropic hormone
ronud,adrucil
xamziv,alanine
fafkig,alcohol
tandis,aldrin
honzob,alkaloid
sarded,allene
trijax,alpha-carotene
kegzir,aluminum bromide
mofkam,aluminum fluoride
huskiv,aluminum monoxide
demdac,ambien
xorCab,amidox
moCej,ammonia
cajomd,amoxone
marboq,amylopectin
bindes,amylose
dimac,anafranil
larbux,anandamide
kimdar,anatase
sisal,androsterone
koqemz,anhydrite
poskat,anhydroanguibactin
goyed,anhydroscymnol
loftox,aniline
grexac,annulin a
noharv,anthocyanidin
sleras,anthocyanin
cofkuf,anthracene
kuxotx,antimony
roskoq,apatite
dehamz,apigenin
gulzov,apophyllite
vorgeb,aqua-kleen
zuqkut,aquamarine
gorgez,arachidic acid
talzaC,arachidonic acid
xerkeC,aragonite
blubub,arginine
vurCic,aricept
zetxut,arkelite
Cudob,arsenic
zulzep,arsenopyrite
bribeb,arsine
logzoq,ascorbic acid
zoskap,asparagine
birgac,aspartame
Cestij,aspartate
diCoj,aspartic acid
srebin,aspirin
nexarz,aspirochlorine
xifker,astaxanthin
zuftux,ativan
yodaz,atp
sojogj,aurorix
lurduz,azstarys
dehird,azt
niqkop,azurite
xejuk,bacteriopheophytin a
beftaz,barite
nemed,barium chloride
tedjuq,behenic acid
calzer,belsomra
Cefomd,benadryl
zortuz,benitoite
honogj,benperidol
vurcaq,benzedrex
txofeb,benzene
veftoj,benzopyrene
tastec,benzoic acid
rucegj,benzophenone
