tune,english
morkez,plane angle
demdag,solid angle
brosof,frequency
yortuk,force
homegz,pressure
xokiqk,energy (work)
limard,power
carkus,electric charge
rofkac,electric potential difference
tipic,volt
halif,capacitance (farad)
cruqik,electric resistance (ohm)
CurdaC,electric conductance (siemens)
yonzuz,magnetic flux (weber)
Caskit,magnetic flux density (tesla)
nobasp,inductance (henry)
mirzix,Celsius temperature degree (Celsius)
xrukez,luminous flux (lumen)
mohem,illuminance (lux)
finorv,activity (of a radionuclide) (becquerel)
nerCit,absorbed dose (kerma gray)
tarbug,dose equivalent (sievert)
gamdox,catalytic activity (katal)
