Aak,Madar,Calotropis gigantea
Adrak,Ginger,Zingiber officinale
Agaru,Agarwood,Aquilaria agallocha
Agastya,Sesbane,Sesbania grandiflora
Agnimantha,,Clerodendrum Phlomidis
Ahiphena,Opium,Papavar Somniferum
Ajmoda,Celery,Apium Graveolens
Ajwain,Carom Seeds,Trachyspermum Ammi
Ajwain Junglee,,Seseli indicum
Akarkara,Pellitory,Anacyclus Pyrethrum
Akash Bail,Love vine,Cassytha Filiformis
Akhrot,Walnut,Juglans regia
Alfalfa,,Medicago sativa
Allspice,,Pimenta Dioica
Aloe Vera,Ghritkumari,Aloe Barbadensis
Alsi,Flaxseed/Linseed,Linum usitatissimum
Amaltas,Purging cassia,Cassia Fistula
American Spikenard,,Aralia Racemosa
Amla,Indian gooseberry,Emblica Officinalis
Amrud,Guava,Psidium Guajava
Anantmool,Indian Sarsaparilla,Hemidesmus indicus
Angoor,Grapes,Vitis Vinifera
Ankol,,Alangium salvifolium
Apamarg,,Achyranthes Aspera
Aparajita,Butterfly pea,Clitoria Ternatea
Aralu,,Ailanthus Excelsa
Arjuna,,Terminalia Arjuna
Arni,,Clerodendrum multiflorum
Ashoka,,Saraca Asoca
Ashwagandha,Winter Cherry,Withania Somnifera
Atis,Ativisha,Aconitum Heterophyllum
Ayapan,,Eupatorium Triplinerve
Bael,Bilva,Aegle marmelos
Bakuchi,,Psoralea corylifolia
Bala,,Sida Cordifolia
Bay Leaves,,Laurus nobilis
Bayberry,,Myrica
Bee Balm,,Monarda
Bhallataka,Marking Nut,Semecarpus anacardium
Bhanga,,Cannabis Sativa
Bharangi,,Clerodendrum Serratum
Bhojpatra,,Betula utilis
Bhringraj,False daisy,Eclipta Alba
Bhumi Amla,,Phyllanthus niruri
Bibhitaki,Baheda,Terminalia bellirica
Borage,,Borago Officinalis
Boswellia Serrata,,Olibanum Indicum
Brahmi,Water hyssop,Bacopa Monnieri
Brihati,Poison Berry,Solanum indicum
Caraway,Kala Jeera,Carum carvi
Cayenne Pepper,,Capsicum Annuum
Celery,,Angelica Archangelica
Chamomile,,Matricaria Chamomilla
Chandan,Sandalwood,Santalum Album
Changeri,,Oxalis corniculata
Chervil,,Anthriscus Cerefolium
Chitrak,,Plumbago zeylanica
Coffee Senna,,Cassia occidentalis
Colocynth,Citrullus colocynthis,Bitter Apple
Common Daisy,,Bellis Perennis
Creosote Bush,,Larrea tridentata)
Dalchini,Cinnamon,Cinnamomum zeylanicum
Danti,Red Physic Nut,Baliospermum montanum
Daruharidra,Indian Barberry,Berberis aristata
Dhaniya,Coriander,Coriandrum Sativum
Dhataki,,Woodfordia fruticosa
Dhattura,,Datura metel
Digitalis Lanata,,Grecian Foxglove
Dronapushpi,,Leucas cephalotes
Ela,Cardamom,Elettaria cardamomum
Eranda,Castor,Ricinus communis
Fenugreek,,Trigonella foenum-graecum
Gambhari,,Gmelina arborea
Gandha Prasarini,,Paederia foetida
Garcinia Cambogia,,Garcinia Gummi-Gutta
Goat’s Rue,,Galega officinalis
Gokshura,Puncture Vine,Tribulus terrestris
Guarana,,Paullinia Cupana
Guduchi,Giloy,Tinospora Cordifolia
Guggul,,Commiphora wightii
Gurmar,,Gymnema Sylvestre
Hadjod,,Cissus Quadrangularis
Haritaki,Harad,Terminalia chebula
Hingu,,Ferula Asafoetida
Hollyhock,,Alcea Rosea
Hyssop,,Hyssopus officinalis
Indian Borage,,Plectranthus amboinicus
Indrajao,,Holarrhena antidysenterica
Jamun,Java plum,Syzygium cumini
Jatamansi,Spikenard,Nardostachys Jatamansi
Jatiphala,Nutmeg,Myristica fragrans
Jeeraka,Cumin,Cuminum cyminum
Kachnar,Camel’s Foot Tree,Bauhinia Variegata
Karavira,Indian Oleander,Nerium indicum
Karkatshringi,,Pistacia integerrima
Karpura,Camphor,Cinnamomum Camphora
Kasani,Chicory,Cichorium intybus
Katuki,,Picrorhiza kurroa
Kaunch Beej,,Mucuna Pruriens
Kava,,Piper methysticum
Khadira,Black Catechu,Acacia Catechu
Khurasani Ajwain,Black Henbane,Hyoscyamus Niger
Kiratatikta,Chirayata,Swertia chirata
Kupilu,Poison Nut,Strychnos nux-vomica
Kushmanda,Winter Melon,Benincasa Hispida
Kushta,Indian Costus Root,Saussurea lappa
Kutaja,Kurchi,Holarrhena antidysenterica
