andromeda,princess of ethiopia
antlia,air pump
apus,bird of paradise
aquarius,water bearer
aquila,eagle
ara,altar
aries,ram
auriga,charioteer
bootes,herdsman
caelum,graving tool
camelopardalis,giraffe
cancer,crab
canes venatici,hunting dogs
canis major,big dog
canis minor,little dog
capricornus,sea goat
carina,keel of argonauts' ship
cassiopeia,queen of ethiopia
centaurus,centaur
cepheus,king of ethiopia
cetus,sea monster (whale)
chamaeleon,chameleon
circinus,compasses
columba,dove
coma berenices,berenice's hair
corona australis,southern crown
corona borealis,northern crown
corvus,crow
crater,cup
crux,cross (southern)
cygnus,swan
delphinus,porpoise
dorado,swordfish
draco,dragon
equuleus,little horse
eridanus,river
fornax,furnace
gemini,twins
grus,crane
hercules,hercules, son of zeus
horologium,clock
hydra,sea serpent
hydrus,water snake
indus,indian
lacerta,lizard
leo,lion
leo minor,little lion
lepus,hare
libra,balance
lupus,wolf
lynx,lynx
lyra,lyre or harp
mensa,table mountain
microscopium,microscope
monoceros,unicorn
musca,fly
norma,carpenter's level
octans,octant
ophiuchus,holder of serpent
orion,orion, the hunter
pavo,peacock
pegasus,pegasus, the winged horse
perseus,perseus, hero who saved andromeda
phoenix,phoenix
pictor,easel
pisces,fishes
piscis austrinus,southern fish
puppis,stern of the argonauts' ship
pyxis,compass on the argonauts' ship
reticulum,net
sagitta,arrow
sagittarius,archer
scorpius,scorpion
sculptor,sculptor's tools
scutum,shield
serpens,serpent
sextans,sextant
taurus,bull
telescopium,telescope
triangulum,triangle
triangulum australe,southern triangle
tucana,toucan
ursa major,big bear
ursa minor,little bear
vela,sail of the argonauts' ship
virgo,virgin
volans,flying fish
vulpecula,fox
