tune word,english word
baf,dont try
bag,
bak,back
bal,scope
ban,fault/error
baq,self
bas,
bat,agent
bax,
beb,clean
bek,sleep
ben,good
bes,base
bid,
bin,fruit
bip,information
biq,else
bis,across (trans-)
bit,beat
bod,
bol,detach
bom,way
bon,hook/joint/link
bot,vehicle
bul,boolean
bun,old
bup,
bus,u vowel
fix,
dad,memory
dag,wisdom
dak,command
dal,body
dam,stop
dan,
dol,o vowel
dat,point
det,timestamp
dez,moment
did,transaction
dig,miss
dik,find
dim,judgement
dip,tree
dir,
dit,distance
div,suppose
duk,thing (a thing is an action or object, but not an action-object)
don,job
dop,value
dos,two
dot,
doz,nature
dud,add
dul,exclude
dum,divide
dun,
dup,copy
duq,do
dur,endure
dus,normal
nob,
fab,try
fal,full
fam,family
fan,eight
fap,connect
faz,fact
fed,fade
fek,fake
fes,z axis
fet,feel
fid,field
fin,belief
fir,end
fis,finish
fit,consecutive
fiz,
fol,
fom,format
fon,search
for,
fov,bundle
ful,not know
fun,within
gab,go
san,produce
gad,god
gag,opposite (anti)
gal,ignore
gam,common
gan,without
gat,rectangle
gax,particle
gav,a vowel
gem,game
get,door
gev,given
gid,hit
gis,scale
giz,hence
gol,goal
gom,agree
gon,go
got,square
gun,hide
gur,Q french r
hak,male
hal,center
han,zero
hap,step
hid,filter
hip,pile
pit,
hit,scattered
hiv,throw
hol,whole
hom,home
hop,balance
hav,have
hun,
huq,glottal stop
hut,item
kad,together
kag,piece
kal,call
kam,five
kan,can
kaq,class object
kar,capacity
kas,minimum
kat,trash
kax,thing type
kaz,cause
kek,rectangle
kem,destroy
ken,
kep,condition
kes,case
ket,give
kev,break
kex,straight
kid,
los,emptiness
kin,come
kip,group
kiq,class action
kit,cut
kiv,axis
kix,shift type
kiz,key
kod,code
kol,collect
kom,
kon,number
kop,decision
kos,absorb
kot,count
koz,
kul,cool
kum,come
koq,class feature
kuz,
lag,pay attention to
lak,lock
las,less
lal,
lam,forth
lan,
lap,many
lat,last
lav,even (number)
led,run
lek,aggregate
lem,acceleration
len,
lep,layer
les,string
lex,remain
lib,main
lid,leader
lif,leaf
lig,category
lim,branch
lin,
lip,chain
lis,borrow
lit,delete
liv,exit
lix,sequence
lob,attach
lod,load
lof,
lom,clear
lon,loan
lop,explore
lor,text/book
lot,excessive
lov,dissimilar
loz,
lud,include
luf,know
luk,slow
lul,select
lum,consciousness
lun,right
lup,loop
lus,another
luv,enter
lux,pull
mad,flow
mag,rare
mak,max
mam,now
man,something
map,uncover
mas,mass
mat,six
mav,love
mox,model
maz,mental
med,trade
mek,make
men,primary
mes,different
met,add
mev,ever
mex,substance
mez,puzzle
mim,righteousness
min,i vowel
mir,few
mis,most
mit,meet
miv,average
miz,reduce
mod,host
mol,
mok,
mom,spirit
mon,target
mop,together
mar,more
mot,boundary
moz,
mud,multiply
mul,unconsciousness
mun,mind
mus,shuffle
muz,
mut,
muv,move
mux,death
nad,
naf,
nak,lack
nal,period
nam,time
nan,nothing
nas,doubt
nav,nine
neb,bad
ned,
nek,four
nem,define/name
nep,actual
net,e vowel
nev,behavior
nez,die
nid,parse
nik,edge
nil,confusion
nin,secret
nis,since
nit,nice
niv,with
nix,plan
niz,line
nol,return
nom,source
non,
nor,nor (logic)
not,message/note
nov,bottom
nub,new
nud,
nuf,upon
ved,knowledge
nug,show
nuk,event
nul,left
nun,neither something nor nothing
nut,force
zam,physical
fok,person who practices x
nux,lack of work
nuz,stream
pag,
pak,eleven
pal,
pam,cover
pan,ago
paq,response
par,per
pat,
pax,match
paz,pause
pen,imaginary
pes,x axis
pev,mutable
pik,peak
pil,depth
pin,
pip,point
piq,ask
pir,peer
pis,peace
piv,constant
pom,separate
pop,optional
pot,input
poz,problem
dis,former (ex-ceo)
xan,
xab,seven
pum,performer
mup,receiver
pud,merge
puf,proof
pul,amount
rad,project
rak,solid
ran,possession
rap,float
ras,reminiscent of (-esque)
rat,process
red,transition
rek,range
rem,crooked
res,semi
ret,required
rev,intuition
rez,master
rid,read
rif,start
rik,twelve
ril,reality
rim,beyond (extra)
rin,again
rip,graph
riq,circle
ris,rise
riz,operate
rod,path
