term,meaning
glip,lip
glen,gluon
gled,lay
glet,gate
glez,10^4
glan,glide
glav,glove
glob,planet
glot,goat
glok,your
glor,glare
gluk,lick
grit,hello
griv,grieve
gril,case (container)
grem,grim
gred,grade (score)
grep,grape
gres,guess
gram,gram (measure)
grad,grid
grap,issue
gras,grass
grav,graviton
grac,jaw
gral,foot
groq,lion
gror,growl
grum,row
grun,grow
grup,group (math)
grut,grit (strength)
gruv,rub
djin,gene
djip,over
djiz,jeez
djir,deer
djek,reject
djam,jam
djat,deal
djak,fingernail
djas,justice
djaz,joy
djok,joke
djud,jew
djus,juice
djul,jewel
drim,dream
drig,degree
drib,10^6
driv,fate
drix,direction
dreg,drag
dref,definite
drex,hyphen
dram,human
drad,put
drap,drop
drak,harm
drav,candela (measurement)
dral,dry
dron,drone (sound)
drov,multicellular life
droz,enter
drum,drum
drup,d sound
drut,electricity
drus,radius
drul,drool
blim,beam
blin,belly
bliz,our
bleq,eject
blet,bait
blab,blob
blof,blow
bloz,boson
bloC,blood
blor,blur
blum,bloom
blut,butt
briq,bring
brig,insecta
brip,beep
brit,orbit
brif,brief
briz,simple
bren,brain
bred,braid
brek,break (pieces)
brev,brave
brat,big
brak,bacteria
braz,box
bral,ball
broq,membrane
brod,bone
brob,decimal
brol,brow
bruk,beak
bruz,buzz
plin,discipline
pliz,please
plen,plane (geometry)
pleg,plague
plep,plop
plet,plate
plek,their
plan,plan
plap,glottal stop
plak,pluck
plas,compassion
plax,accomplish
plar,play
plon,pion
plod,implode
plud,pound (measure)
plup,poop
prim,prime (primative)
prik,opaque
pres,pressure
prex,precious
pram,primordial
prag,pig
prab,probable
prat,apart
pras,press (force)
praz,prize
prax,ash
prot,proton
proz,for/purpose
pruk,pick
pruv,prove
txin,teen
txir,cheer
txeq,q sound
txet,shit
txes,chase
txap,chip
txak,check
txaz,100
txal,shell
txot,loose
txor,saturate
txum,tissue
txun,sneeze
txut,chew
txuz,choose
txul,actual
trin,neutrino
trid,vowel i sound
trik,trick
tris,interest
trij,treasure
tred,trade
tret,trait
tres,trace
traq,triangle
trag,10^42
trad,west
trab,tribe
trap,trap
trat,tight
trak,track (path)
tras,torus
trom,spectrum
klin,clean
kliq,k sound
klis,nucleus
kliv,cave
klir,clear
klem,claim
klek,click
klan,claw
klad,cloud
klap,danish a vowel sound
klat,cat
klak,clock
klok,quick
kloz,close
klor,color
klum,cue
klun,community
klub,kill
klut,cute
kriq,care
krid,liquid
krem,chemical
kred,credit
krep,crypto
kret,secret
krek,cake
krev,crave
kraq,ring (sound)
krag,node
krak,crack
kras,cross
kraf,comfort
krax,crash
krom,ohm (measurement)
krot,right (vs. wrong)
krok,croak
krol,cull
smin,meson
smil,smell
smek,smack
smax,smash
smal,small
smok,smoke
smul,smile
snik,sneak
snif,sniff
snap,snap
snar,snare (drum)
snom,snow
snor,s sound
spin,spin
spit,spit
spik,speak
spek,respect
span,spine
spak,spike
spas,spice
spok,spoke (wheel)
stim,steam
stik,stick (plant)
stil,still (motion)
sten,stain
stet,status
stek,mistake
stef,safe
stev,stay
stab,stab
stat,stat
staf,stuff
stal,stall
star,star
stom,install
ston,stone
stok,stomach
stoj,storage
stud,sad
stup,stupid
skim,minimum
skin,skin
skit,sweet
skil,skill
skep,scape (scenery)
skap,skip
skax,squash
skal,scale
skar,square
skoq,cease
skor,score
skum,scheme
skun,skew
skup,scoop
skut,difficult
skuz,excuse
skul,school
skur,scare
sfir,sphere
svik,knife
svas,sigh
svur,very
slim,submit
slid,swing
slip,sleep
slix,wish
sliC,therefore
slet,slight
slag,slug (animal)
slad,slide
slap,slop
slat,10^9
slas,faint (light)
slax,slash
slom,slow
slog,slug
slop,slope
slok,weak
slun,soon
slup,swoop
slur,my
sriz,series
flid,field (math)
flip,flip
flem,flame
flet,fight
flek,mirror
fleC,appear
flap,hop
flat,flat
flax,flesh
flom,f sound
flob,lob
flot,float
flok,glow
flor,flower
flum,fly (action)
flun,few
flud,fluid
fluz,complex
flux,flush
frin,funny
frik,freak
fris,hiss
friz,freeze
frix,fish
fren,danish e vowel sound
fred,vowel large E sound
fret,frame
frez,phrase
fras,sail
frax,fresh
froC,fear
vlam,its
vriC,wood
vret,settle
vram,insight
vraj,average
vrun,ocean
vrug,10^18
xlik,shriek
xlav,calculate
xlum,mushroom
crit,threat
crak,10^33
crav,thrive
cral,hill
cron,south
crop,c sound
cros,art
crum,through/tunnel
crug,amphibian
crut,puzzle
