term,meaning
gland,gland
grand,grand
grasp,grasp
graft,graft
grund,ground
djist,gist
djamp,jump
djaqk,junk
djadj,judge
djast,gesture
djont,joint
drast,dress (put on clothes)
drask,heavy
draft,draft (version)
bliqk,blink
bland,blend
blast,blast
blort,blurt
bridj,bridge
britx,breach
brest,breast
brand,brand (business)
bradz,brass
bralt,brittle
plamp,plump
plant,plant
print,print
prent,apparent
pramp,prompt (message)
promz,pass
txiqk,tick (step)
txant,chant
txarm,item
txart,chart
tranz,transform
tradj,trudge
trast,trust
klamp,clamp
klanz,cleanse
klasp,clasp
klutz,pioneer
krist,anoint
kramp,cramp
krast,annoint
krolb,unobstruct
krutx,crouch
smilt,mile
smadj,smudge
smart,smart
smark,smirk
snarl,snarl
snort,snort
spand,spend
spark,spark
spurm,sperm
stiqk,stink
stedj,stage (action)
stand,stand
stalc,stealth
stark,stark
starv,starve
stomp,stomp
storm,storm
stork,story
skint,squint
skitx,switch
skamp,swamp
skalp,sculpt
skalk,skulk
skars,scarce
skorn,scorn
slind,cylinder
slamd,salamander
slant,slant
slotx,slouch
slorm,swarm
slorp,slurp
srand,surround
flant,flaunt
fretx,foot (measurement)
vritx,spider
vrant,vibrant
vruft,bracket
xriqk,shrink
craks,thorax
