term,meaning
glednev,lay off
glamros,glamorous
gladrag,glad
gritzal,grit
grepxam,repetition
grantal,grunt
grantol,disgruntle
graqbol,broadcast
gradjet,graduate
gravtin,gravity
grazlin,grizzly
gralpon,gripe
grumbal,grumble
grunrik,grow up
grubnat,seize
djimnaz,gym
djimkat,unravel
djinfap,blond
djinzit,pyramid
djinzik,restrain
djinxiq,conduct
djinxil,fast (eating)
djiqgan,spite
djiqgol,jingle
djiqbal,alert
djiqtik,vigilant
djiqkaq,circumstance
djiqfek,expense
djiqzim,sophisticated
djiqren,stupendous
djidjip,aggress
djidjal,fabricate
djibrex,gibberish
djipzus,overdo
djitxup,basis
djedjan,frugal
djetxuq,relieve
djetxuk,eminent
djetrik,jet
djestor,jest
djambol,jumble
djandiq,steadfast
djandan,ordinary
djandar,gender
djantik,elevator
djanfen,starch
djanxiq,quintessential
djanxal,decrease
djanrin,tough
djanret,generate
djaqgut,sturdy
djagnak,jog
djadjum,aggravate
djabrit,jab
djapdaz,jeopardize
djaklet,ejaculate
djargun,jargon
djarsur,run out of
djoltaz,jolt
djornal,journal
djorkar,jerk
djundip,army
djunxik,military
djudket,adjudicate
djutxal,picket
djukzaq,rectify
djukrat,juke
djuvnet,rejuvenate
djurmip,germ
djurnet,germinate
dradnev,put off
dradvun,put on
dradjan,dredge
drapnev,drop off
drapsur,drop out
drapras,drop in
drastik,dress up
blitxiq,bleach
blitret,obliterate
blistur,blister
blandiC,blind
blandur,blunder
blantog,blunt
blaCrak,balloon
blofrik,blow up
blupran,bloop
briqtaj,bring down
briqkon,brink
briqrik,bring up
brektaj,break down
brekrik,break up
bramxam,deviate
braklin,broccoli
plandor,plunder
platfon,platform
plastik,plastic
plastur,plaster
plodrat,ploy
plugnat,plug
primpik,primp
prinpal,principle
priklud,preclude
pristin,pristine
prentas,apprentice
prejdis,prejudice
pratxir,enclosure
praktis,practice
praktal,practical
prakrit,original nature
prastut,prostitute
praskut,prosecute
prasvin,sweat
promzur,pass out
program,program
prodjuk,projection
proptik,property (object)
proklem,proclaim
profret,proliferate
pruksur,pick out
prukrik,pick up
prufrid,proofread
tkidran,slit
txintoq,bronze
txinfan,diligent
txiqbal,innocent
txiqfun,frivolity
txidjup,lasting
txilxaq,kind (pleasant)
txembor,chamber
txenmen,dreary
txenxuk,statement
txeqnul,commit
txanmes,moon month
txandan,dismal
txandal,outcast
txanbol,propagate
txantim,premise
txantep,future
txantoq,legacy
txansul,huddle
txanzal,precursor
txanxin,gasp
txaqnat,hangover
txaqbek,pale
txaqxol,longevity
txaptor,chapter
txatxal,tribute
txaksur,check out
txaklet,chocolate
txakras,check in
txastin,chastity
txalbak,chill
txalxik,soggy
txarmiq,charm
txarnak,churn
txarpit,chop
txarten,chert
txartor,charter
txarkum,char
txonmiq,clever
txoqxik,substantiate
txotxim,reek
txunsol,mellow
txunzip,skirt
txuqzat,bit (small amount)
txudjum,pursue
txurnam,powder
txurpan,chirp
treqkal,tranquil
trespas,trespass
trambon,trombone
trankot,trunk (tree)
transan,transcend
traqmat,uncountably large
tradjak,trajectory
trapzad,trapezoid
traktor,tractor
traxkan,trash
trospak,introspect
klinrik,clean up
klipsat,clip (bind)
klipron,clip (cut off)
klivrak,cleave
klantam,fatigue
klagxin,clog
klatxul,clutch
klasfan,classify
kloztaj,close down
klorfil,chlorophyll
kritsaz,criticize
krispal,crisp
kristal,crystal
krixnam,wicked
kreqkit,cranky
krambol,crumble
krampol,crumple
krankal,chronicle
krabret,corroborate
krakdal,crocodile
kraksoq,crux
krastin,christen
krastoz,crest
krustax,crustacean
krusfad,crucify
smidjan,smidgin
smaldan,smilodon
snatxuC,snatch
snatras,snot
snoblag,snub
spidrat,speed
spektak,spectacle
spamrat,spam
spansor,sponsor
spaqgot,spa
spastan,coherent
spaltoq,spout
sparnik,spurn
spardan,rivalry
spurtiq,spurt
stimpot,stump (baffle)
stiplet,stipulate
stambam,rigid
stampot,stump (tree)
stampoC,stamp
statxur,stature
stardol,startle
startap,stereotype
stolnak,stow
stublat,stub (toe)
skitraj,skit
skampur,scamper
skandur,squander
skurdan,sciuridae (squirrel)
svardat,relish
slindar,slender
sleprin,slip
slagrut,slog
slabrat,slab
slapmac,slap
srandor,surrender
fleqkat,flank
flagrit,flag
flapzon,flop
flastor,fluster
flastur,fluster
flartak,flout
flortaj,flirt
fridjet,refrigerate
frikxam,friction
fradjal,fragile
fraktal,fractal
xlafliq,schläfli
