term,meaning
gliniq,glean
gligal,glee
glisan,glisten
gledan,glitter
gleziC,glaze
glexar,glacier
glabun,glob
glotor,gloat
glosig,gloss
glumag,gloom
grimag,grimace
grinaq,grin
gridig,greed
gribas,grebe
grisap,grease
gramar,grammar
granat,granite
grabic,grab
grapol,grapple
gratud,gratitude
grasap,grasshopper
grasuc,grass roots
gravol,grovel
groniq,groan
gropor,grope
grozik,eat up
grolig,roll
gruman,groom
grunal,well (water)
gruqit,rung
gruvib,groove
djimal,lash
djikad,strive
djixik,diet
djirig,jeer
djedun,jade
djelas,jail
djaqiq,stiff
djaged,jagged
djagol,juggle
djatat,jut
djakin,jockey
djakiz,jack (take)
djakur,jack (tire)
djasol,jostle
djasor,thick
djasum,burn
djavat,jive
djalem,gel
djalun,exchange
djaluk,educate
djaret,gyrate
djaras,run into
djarul,jowl
djonik,journey
djotoq,traffic
djorit,jury
djudap,enormous
djubat,bar
djufen,entangle
djuvas,swift
djulan,joule
djulok,dimple
dribol,dribble
drivav,derivative
drixum,proud
drilag,drill
drenak,tuber (vegetable)
drenor,drain
drepor,drape
dretik,diuretic
draman,drama
dragan,dragon
draduc,put up with
drabon,draw
dronam,crow (bird)
dronaq,drown
drupat,droop
blimal,bill (beak)
bligur,beleaguer
blizan,belligerent
blemix,blemish
blanit,blah
blagiq,blog
blagan,mess
blabaq,blab
blatuz,blot
blasum,blossom
blotak,bloat
bloCiq,bleed
bridiq,breed
brikar,break (short time)
brisal,bristle
brivet,abbreviate
briCan,breath
brilon,embryo
bretik,brat
brekal,breccia
bresig,brace
bragod,brag
brabat,bribe
brasal,tend (I tend to)
braCor,brother
brumor,remember
brudig,brood
brulik,brew
pliqal,plea
pliket,implicate
plenix,replenish
pleket,placate
plelut,lute
plamet,plummet
planim,cheap
pladum,ply
platik,plight
platab,palatable
platon,plateau
plalat,plow
plumaj,fluff
plutas,pluto
priniq,preen
prinak,grant
prinur,entrepreneur
pridik,predict
pripar,prepare
pritum,broad
prikat,predicate
prikaC,prick
prikux,percussion
prisas,precise
prival,prevail
privul,preview
prizad,preside
prizon,imprison
prizum,presume
prixet,appreciate
prixut,asceticism
prilam,beloved
prilat,busy
pramis,promise
pramet,primate
pramot,promote
pranin,sentient
pradaq,prod
pradok,product
prabol,parabola
prapon,prop (setting)
prapoz,propose
prapoj,propulsion
prapor,proper
prakan,procyonidae
pravab,proverb
prajak,project (task)
pralaq,parallel
produs,produce
protak,protect
protom,proto
prokur,procure
prohib,prohibit
proviz,provision
provas,profess
provax,profession
prolaq,prolong
pruman,pomegranate
prunif,prune
txiqek,mild
txiqal,jiggle
txigam,strange
txigar,odd
txidal,equator
txibit,pungent
txipur,chipper
txitak,cheat
txikan,chicken
txikar,shrill
txisop,climate
txifug,undulate
txizit,resign
txixib,bias
txixam,charity
txilor,minor
txilun,gear
txiluk,strategy
txirik,cheer up
txirak,cherry
txiral,moreover
txirul,flimsy
txedik,thorough
txedan,defect
txebal,reassure
txekut,garage
txesan,chasten
txesul,mastermind
txefak,deficient
txanik,migrate
txanaq,prospect
txanuk,confess
txaqan,reimburse
txagut,chug
txadiv,chide
txadan,menu
txabit,chub
txabeq,differential
txakin,chuck
txakal,chuckle
txalat,traverse
txalal,material
txaloq,admit
txalum,tide
txonil,seat
txoqul,pet
txodat,incite
txolul,excellence
txumik,spring (water)
txunil,originality
txugan,supervisor
txudiq,ascertain
txudet,acquire
txudal,channel
txubek,reserve
txubal,rowdy
txusim,trend
txusan,perspire
txusuk,retrieve
txufin,differentiate
txulik,dispose
txulok,flood
txulup,rude
tripor,trip (fall)
tritik,treaty
tritex,treat
triket,extricate
trikut,intricate
trilol,trial
tredic,tread
trekat,trek
trelan,trail
tramap,trauma
tradik,contradict
trabol,trouble
tratul,trot
trasiq,truss
traval,travel
trodus,introduce
trusiC,truce
klimet,acclimate
klidon,cotyledon
klefan,clef
kladod,clod
klapit,clap
klatur,clatter
klasik,classic
klazet,closet
klaxon,clash
klalak,curse
kloCiq,clothing
kloCos,clothe
klolak,shoot
klubas,club (society)
krimet,cremate
krimol,cream
krinat,buy
kribet,crib
kripol,cripple
kritik,critic
kritak,diacritic
kriket,cricket
krikun,creak
krisat,collapse
krilat,frolic
kredol,cradle
kretor,crater
kranik,chronic
krabac,crab
krapiz,crop (cut)
krapoC,crop (food)
kratik,critique
krakol,crackle
kraxik,crush
kralog,crawl
kruzig,cruise
smitin,reminiscient
smegol,smuggle
smagon,smug
smatik,smite
smaCur,smother
smuCig,smooth
snikor,snicker
snirin,sneer
sniriq,sneer
snagit,snug
snagol,snuggle
snabet,snob
snapon,snipe
snatat,pierce
snakig,snack
snariq,snare (trap)
snogat,snag
snorag,snore
snufil,snuff
spisis,species
spilax,spill
spiran,spear
spirad,spearhead
spirud,contest
spekul,speckle
spaniq,spawn
spanak,spy
spatol,spot
spatur,spatter
spafan,specify
sparot,spar
spolag,spoil
spuran,spur
spurat,throb
stiqiv,sting
stipik,steep
stiCur,truncate
stilaq,still
stirat,stability
stiral,sterile
steman,stem
stevat,stave
stexon,station
stelan,stale
stamor,stammer
staniq,stunning
stanix,astonish
stanev,send off
stanat,reverberate
stagur,stagger
stabol,stubble
stapal,pomegranite
stator,stationary
stakiq,stalk
stakip,stocky (build)
stafol,stifle
stavar,steady
staxig,stash
starak,stare
stomat,stomata
stolik,stoic
stuCul,coefficient
skiniq,ski
skilin,squeal
sketar,skate
skelar,scalar (math)
skamok,scum (muck)
skanit,scan
skabut,scab
skateg,squat
skatul,scuttle
skafad,scoff
skalod,scowl
skoCun,opinion
skoriq,scurry
skoral,squirrel
svivon,spinning top
sviCam,roast
svagam,welcome
svadan,flavor
svaduq,grape/berry
sliqaj,sling
slisan,pardon
sledat,sled
sletoC,slate
slekuv,consecutive
sleCiq,slay
slagat,boast
slagor,swagger
sladal,swaddle
slator,slaughter
slasiz,slice
slaxiz,slosh
slaraz,slur
slunik,swoon
slunap,slew
srilas,sale
srotas,current (river)
flidan,flee
flibur,flea
flitiq,fleeting
flikot,flick
flebar,ebb
flekiC,flake
flesiq,flay
flanaq,flaw
fladur,flatter
flaboz,flab
flapan,flap
flaxik,flashy
flogem,phloem
flogat,flog
flopad,pod (flower)
florix,flourish
fluman,butterfly
flutan,flute
fretip,fret (get upset)
fretak,fret
freCin,frost
freliq,fray
vramat,stop
vranan,sore
xninan,wit
xkidaq,persevere
xkilaq,consider
xlikut,mission
xlegal,schlegel
xredat,shred
crilag,thrill
cretan,threaten
crelak,toil
cradiq,thread
cratol,throttle
craxak,thrash
craxol,threshold
cronam,throne
cropod,arthropod
crumag,thrum
crugal,nonsense (rubbish)
