term,meaning
min,not know
miq,motion
mid,positive
mit,meet
mis,miss (longing)
miv,idea
mix,network
mir,bright
men,main
meq,mine
mek,make
mes,month
mej,model
mam,mother
man,mind
maq,harmony
mag,fruit
mad,middle
mab,source
map,map (map/reduce)
mat,forward
mak,meat
maf,male
mav,many
maz,flow (speech utterance)
maj,magenta
mac,great
mal,molecule
mar,symbol
moq,about/encompass
mog,meaning
mod,mode
mop,twelve
mot,mountain
mok,align
moz,hash
moj,emerge
mox,immutable
mol,high
mor,the model of the action (e.g. the transform)
mun,gut sense
muq,mmm
mug,(past particle)
mud,mood
mut,mutate
muk,earth (dirt)
mus,mercy
muv,move
muz,pain
muj,message
muc,mouth
mul,unreal
niq,omniscient
nid,need
nik,pink
nif,a (isolated-element-focus)
niz,nest (structure)
nix,listen
nir,nerd
ned,static
nep,nature
net,knit
nek,neck
nes,nice
nev,off
nam,name
nan,negate
nak,knock
nas,nest
nav,center
naz,as
nal,neutral
nar,person
non,not (un- or -im)
nop,no
not,note
noz,nose
nox,notion
nol,toward
num,know
nuq,bond
nub,separate
nuv,empty
nuz,distribute
nuj,hell
nuc,long
nul,forget
gim,magic
gin,sync
gib,guide
git,infinite
gik,user
gis,will (future)
gif,give
giz,position
gir,that
gem,game
gan,garden
gag,child
gad,god
gab,eat
gav,how (missing-action-focus)
gaz,possess
gaC,gather
gal,too
gar,language
goq,job
god,gold
got,antenna
gol,goal
gum,come
gun,representation
gub,like (filler)
gut,gut
gus,back (front)
guv,end
guz,lose
guj,memory
gul,exponent
dim,you
dig,sine
did,deed
dib,connect
dip,tree
dis,number
dif,define
div,drive
det,datetime stamp/instance in time
dez,dynamic
dej,orange
dam,morality
dan,the
dag,dog
dad,content
dat,word
dak,physical
das,understand
daf,previous
dav,divine
dac,death
dal,matter (physics)
dom,state
dob,two
doz,here
dor,door
dum,negative
dun,join (to one)
dug,drink
dud,friend
dub,aware
duk,minute
dus,reduce
duz,do
dux,condition (general state)
dul,delete
bim,target
biq,being
big,go
bid,ignorant
bib,we
bip,output
bit,beat
biz,intense
bil,limit/restrict
beq,bang
bed,bite
beb,baby
bet,under
bes,base
bam,create
ban,together/bind
baq,be
bag,insect
bad,tangent (math)
bab,father
bat,beauty
bak,send
bax,bird
baC,by
bar,bear (carry)
bot,boat
bos,possessive plural
bov,debug
boz,private
bor,condition (case)
bum,boom
