term,meaning
minz,means
miqk,who
miks,mix
mirt,meter
ment,mate
maqk,monkey
magz,moss
madj,image
matx,symmetry
maks,maximum
mast,member
mask,mask
malt,metal
marm,mammal
marn,muon
marg,old
mars,mass
marx,mesh (inter-)
marC,quite
most,most (-est) (large-collection-partition-focus)
mold,mold (shape)
molt,vowel large O sound
molz,mow (grass)
morn,m sound
mord,manifold
morp,10^36
morf,morph
morv,maybe
mutx,much (large-lot-focus)
neks,10^27
namp,magnet
nand,nand
nanz,noise
nadj,knowledge
natz,glory
natx,n sound
nalz,analyse
narb,neighbor
nart,neutron
nark,any
narv,river
norm,normal (math)
norn,knee
nord,order
nork,nor
nors,having some aspects of (-ish)
norx,nourish
norc,north
nuqk,bear (animal)
nust,embed
nurf,vowel large U sound
nurv,nerve
gilp,gill
gemz,vowel e sound
gest,guest
gant,-gon (polygon)
gatx,german i vowel sound
galt,guilt
garm,arm
gard,g sound
garz,again (re-)
gost,ghost
golx,only
gump,new
diqk,deny
disk,discover
dedj,appendage
danz,dance
dapc,depth
dask,desk
dalg,magnitude
dalt,dependent
darn,damn/dam
darb,follow
dart,east
domp,dump
dolt,doubt
dolv,deliver
dort,dirt
dors,desert
dusk,across (trans-)/cross
bist,beast
bild,build
birs,beer
bend,bend
besk,basic
bamp,bump
band,band (group)
batx,bat (animal)
baks,rectangle
bast,prime
bask,otherwise
bard,b sound
barb,barb
barv,duck (bird)
barc,birth
barl,bare
bold,10^30
born,bury
borp,burp
borz,poison
borl,boil
bund,boundary
bunz,boon
bust,burst
pitx,pitch (sound)
pirs,role/as
pent,paint
pest,paste
pand,upon
paqk,punk
padj,edge
patx,patch
parn,purr
pard,pod
parp,perpendicular
part,part
park,park (car)
parz,p sound
pogz,10^5
podj,purge
potx,pi
post,post (content)
port,important
pork,per
porf,puff
titx,teach
tirn,tour
test,taste
tamp,temperature
taqk,toy
tatx,touch
tals,tall
tarn,10^39
tard,towards
tarp,topology
tarz,reptile
totx,attach
toks,easy
told,t sound
torn,turn
torp,interpolate
kiqk,10^15
kirn,cure
kedj,accept
kamp,camp
kand,command
kast,cast
kaln,kaon
kalt,cult
kalv,kelvin
kard,can
karp,keep
kart,crown
kark,quark
kold,cold
korn,category
korg,encounter
korb,cone
kort,court (justice)
kork,curl
korx,xor
kund,kind (good)
kulx,answer
kurv,curve
hint,hint
hidj,polyhedron
hilk,elk
heqk,angry
hedj,age
heps,ape
hamp,ampere (electric current)
hant,hunt
hanz,house
hadj,hedge
habz,abstract
hatx,hole
hask,explore
halm,hue
hald,elm
hals,ice
halz,hell (emphasize surprise)
halx,hair
halc,ethnicity
harq,along
hard,hard (vs. soft)
hark,arc
host,thirst
hold,h sound
holv,elbow
horn,horn (animal)
hord,ahead
hort,heart (body)
hors,horse
horx,oh
huqk,hunger
hudj,vowel u sound
hutx,itch
sinc,synthetic
siqk,sink (down)
sitx,second (time)
sent,saint
senz,essence
sedj,sage (person)
samp,sentence (text)
sand,sand
saqk,sign
sadj,beside
satx,such
saft,soft
salk,circle
sals,celsius
sard,side
sart,certain
sark,discern
sarz,feature
sarl,swirl
sold,solid
solp,swap
sorm,some
sorg,recent
sorf,surface
sutx,set (math)
finz,finish
fiqk,even (though)
film,film (material)
fent,faint (dizzy)
fand,fund
faqk,funk
fast,fast
farm,far
farg,fog
fart,fart
farv,10^24
farC,feather
folg,fungus
fold,fold
form,form
forn,fine (good)
fort,fort
fork,ant (animal)
forc,there
funt,photon
vist,visit
vedj,vegetable
vant,archaea
vaqk,cow
vast,vast
valv,evolve
varm,vomit
vark,syllable
varz,forest
volt,volt
volz,violent
vord,avoid
vorb,ever
vork,electron
vorx,vowel o sound
vutx,entity
vust,v sound
vurf,verify
zist,resist
zeqk,hand
zetx,1000
zalb,fermion
zalv,dissolve
zalx,toe
zarn,alien
zart,lizard
zark,open
zolt,column
zorn,ear
zord,exit
zuqk,z sound
jalf,j sound
ximp,shrimp (fish)
ximz,happy
xift,shift
xild,shield
xant,ancient
xask,ask
xarm,10^21
xarp,x sound
xark,society
xarz,opposite (anti)
xort,sure
ciqk,think
cets,mole (measurement)
carn,ion
corn,british o vowel sound
corb,distance (tele-)
cutx,tooth
Carv,forever
Cork,large C sound
widj,10^45
widc,width
witx,w sound
wird,weird
wetx,which
wand,wind (coil)
want,want
watx,watch
wald,wild
warp,vowel large A sound
wark,work
warx,worship
wold,world
wolf,wolf
worv,weave
worc,worth
wups,whoops
wurm,worm
limp,limp
lint,lint
list,list
lird,wet
lirk,ratio
legz,leg
ledj,theory
laqk,wool
ladj,l sound
laks,lack
last,last
laft,laugh
larm,limb
larg,element
larp,lepton
lart,let
larv,larva
larx,10^12
lorn,line
lorg,log (diary)
lurv,leave
riqk,rhyme
ritx,ring (math)
risk,risk
rilz,reel
rend,french r sound
reqk,rank
retx,rate (change)
ramp,r sound
rant,rant
ranz,ram
ratx,vowel a sound
rast,rest (remainder)
rask,reminiscent of (-esque)
raft,raft
rond,gnaw
rost,past (distance)
rups,10^39
rutz,race (event)
rusk,vowel english r sound
yiqk,vowel large I sound
yild,yield
yarn,y sound
yard,yard (measurement)
yorm,uniform (consistent)
yorn,yearn
york,10^2
yust,used to
