term,meaning
minstar,administer
misples,misplace
mandjor,manager
manplet,manipulate
mantxam,munch
mantrim,monotreme
mantram,utter
madjnon,mad
mortfan,mortify
nixsrik,ugly
nesgras,lawn
nantxiq,junior
naldjin,analogy
nardjur,nurture
noqtxun,rural
nursrik,nursery
gandjun,champion
gaqklan,gunk
gastreC,gas
galtxal,superb
galfron,gulf
galvnaz,galvanize
gardjar,carrot
gondjuk,instrument
goqtxeq,engineering
gultxup,preach
dipskin,bark (tree)
displek,display
distrik,district
distrak,distract
distrug,destruct
diskres,disgrace
demkrat,democrat
deqgret,denigrate
devstet,devastate
dandjan,dignity
daktrin,doctrine
daskloz,disclose
doltrak,dole
durdjan,malicious
beqdjin,taut
beqkrap,bankrupt
beqkrol,bankroll
bantxap,bunch (up)
baktrak,backtrack
baldjiq,alarm
baldjoq,bulge
bolstar,bolster
pintxoC,pinch
piqdjiz,lull
pentret,penetrate
pestron,pest
pandrom,palindrome
pantsil,pencil
pantxes,punch
pankxet,punctuate
pastxur,posture
pastlet,postulate
paltxim,forsake
pargraf,paragraph
partnor,partner
parklar,particular
parspet,participate
parfrez,paraphrase
postpon,postpone
portfol,portfolio
portxik,perch
porklet,percolate
porskut,persecute
pulprax,pulp
purgtor,purgatory
tindjor,tinge
testvan,testify
tantxeq,candid
tadjrib,experiment
takdjip,talk over
taltxon,tout
tardjan,tear (paper)
tardjak,interject
tarspus,intersperse
toqtxiq,sympathy
tormnet,terminate
torntaj,turn down
tornvun,turn on
tornrik,turn up
tortxus,tortuous
turdzat,turd
kampten,competent
kamplit,complete
kamplem,complement
kamplen,complain
kamplaq,comply
kampraz,comprise
kamtzan,oxygen
kamkruc,come up with
kamflaj,camouflage
kantxut,concrete
kantriv,contrive
kantrak,contract
kantrol,control
kantrup,gargle
kanklud,conclude
kankrit,concrete (abstract)
kanspir,conspire
kanfran,confront
kaqgret,congregate
kaqgres,congress
kapstet,incapacitate
kapslet,encapsulate
kasplen,explain
kastget,castigate
kaskron,cask
kalmnet,culminate
kalbret,calibrate
kaltxob,couch
kaltxur,culture
karnval,carnival
karpvun,keep on
kartzin,quartz
kartzef,scrub
kontrib,contribute
konflas,convalescence
korgraf,choreograph
korpret,incorporate
kurdjun,curd
himgrat,immigrate
himplan,imply
himplav,implore
hindjan,hinge
hindjar,injure
hintvin,intervene
hintrap,interrupt
hintrak,interact
hintrud,intrude
hinstad,instead
hinflit,inflict
hinflem,inflame
hiqgret,integrate
hencral,enthral
heqgros,engross
heqkxas,anxious
hetxram,etch
hekspar,expire
heksrit,excrete
hambrod,embroider
hamptud,amplitude
hampfan,amplify
hamplot,employ
hampran,empower
handgol,undergo
handkof,handcuff
handjan,engineer
handjol,enjoy
hantson,hence
hantxiq,hunch
hantxat,incline
hantlor,antler
hanklud,include
hanstil,instill
hanflak,inflect
hanfrij,infringe
hanxran,enshrine
haqglet,ungulate
haqgrev,engrave
haqkloz,enclose
haqkrab,hunk
habdjak,object (argument)
habsten,abstain
habsruk,obstruct
hatsfir,atmosphere
hatslan,sloth
hatzdiq,salute
hatzdik,justify
hakspet,expect
hakspal,expel
hakstol,extol
haspret,aspirate
hastrod,asteroid
hasklim,exclaim
hasklud,exclude
haskret,execrate
haskrab,ascribe
haldjen,algae
hartkol,article
hartzin,sober
hartzil,hertz
hartzot,lecture
hartxam,honor
harklet,articulate
hovcroq,overthrow
hordjip,orgy
hortxad,orchard
humgrat,emigrate
sindrom,syndrome
sincsaz,synthesize
siqkxap,sink
sistraC,cyst
sirkrab,circumscribe
sentsur,censor
sentxet,accentuate
seqkxam,sanction
santman,sentiment
sabdjak,subject
saskrab,subscribe
salbret,celebrate
soldjar,soldier
sornmes,sun month
sortfan,certify
sumpxam,assumption
subsdaz,subsidize
sukxman,keen
surdjin,surgery
surklet,circulate
filtret,filtrate
fentxad,finch
feltran,felt (material)
fantxul,font
falprat,fall apart
formlet,formulate
formlak,formula
fordjiz,forge
fortxun,fortune
vindkat,vindicate
vidjtet,vegetate
vistrap,vest (clothing)
ventxar,adventure
ventxur,venture
vandlaz,vandalize
vasklar,vascular
vartxun,virtue
voltxar,vulture
zamplar,exemplary
zaspret,exasperate
jakspoz,juxtapose
citdjip,get over
camblez,blaze
candman,undermine
candjur,engender
caqgros,engross.
catgraf,autograph
caksdat,extradite
castxul,eschew
cordjet,originate
waltzan,waltz
warksur,work out
wormrik,warm up
lentxas,lane
lampren,lamprey
lakxmin,prosperity
lajslet,legislate
lorgsur,log out
lorbzat,lobe
lortxik,lurch
lukproz,look for
ritzpan,floor
rantxog,runt
