term,meaning
mintan,mint (make)
minsar,prism
minsul,miniscule
minral,mineral
miqmat,muskox
migdal,tower
midrax,interpret
mitzud,fortress
mikdax,temple
mikzur,recycle
mikxur,mixture
mikran,mechanical
mismis,apricot
mismat,certificate
miskuz,promiscuous
mislid,mislead
misrut,loyalty
mifkad,census
mifrak,joint (biology)
mivrak,telegram
mizvad,luggage
mixdal,transmission
mixtar,regulate
mixkan,ointment
miClar,mediate
milvin,kite
mirman,fraud
mirdat,spare
mirkam,texture
mirxam,recipe
memraz,memorize
mendin,mend
menten,maintain
mentur,mentor
medket,medicate
medlaq,meddle
metfor,metaphor
mekxud,mute
mekrik,make up
mezraz,mesmerize
mambol,mumble
manden,mundane
mandal,round
mandor,meander
manpol,monopoly
manfak,manufacture
manxan,shy
maqkur,manicure
magzin,magazine
magref,rake
madsin,medicine
madfan,modify
madjiq,video
madjat,dive
madret,moderate
matben,coin
matkak,paddle
matsav,situation
matzat,cracker
matzuk,distress
matxor,mature
matrik,metric
makniz,mechanism
maksim,maxim
maklas,refugee
masmir,nail (carpentry)
mastim,must (smell)
mastur,muster
maskit,musk
mazlig,fork (utensil)
mazlog,muzzle
maxkin,pledge
malzal,frizz
marnet,marinate
marbol,marble
martol,mettle
martor,martyr
markan,mark
marsup,marsupial
marvol,marvel
marzas,mars
marjin,margin
marxol,marshal
momret,commemorate
motpik,peak
motvet,motivate
motran,moat
mokxam,fly (bug)
moskit,mosquito
moldos,mold (bacteria)
morniq,morning
mornaq,mourn
morgaj,mortgage
mordur,murder
morpak,mope
mortal,mortal
mortor,mortar
morfoz,metamorphosis
morvig,mighty
mundam,bald
mutxal,mutual
mutlet,mutilate
mustax,mustache
mustal,mustelidae
muskam,convention
muzrig,muse
murkas,mercury
nimnan,depression
nimtul,clay
nitzul,usage
niknas,enter a state
niknum,nickname
nisbet,proportion
niscat,anesthetize
nizkar,remember suddenly after having forgotten
nilkam,wage war
nirvan,extinguish
nirvos,nervous
nirxan,inertia
nekdot,anecdote
nektar,nectar
nefros,kidney
namnet,nominate
namraq,humble
nagret,inaugurate
nabliq,knob
naptas,neptune
natsik,phocidae (seal animal)
natzal,exploit
natxav,notch
natran,sodium
natral,natural
naktir,exhaust
naksur,knock out
nastin,nasty
nastik,skeptic
navget,navigate
naxnal,national
nartik,vagina
nomliq,anomaly
notfak,notify
nolkam,nook
nolrin,area
normal,normal
numret,enumerate
nunxet,annunciate
nudjip,nude
nutlan,newt
nutriC,nutrition
nuklit,ursidae
qizlan,quiz
gimlan,benefut
geqzal,worse
gedjiz,gauge
geprot,gape
gambir,serious
gaqgal,ad
gaqdem,disk
gabrod,gabbro
gaston,gust
gaslin,gasoline
galxiq,loud
galric,gallery
garnix,garnish
garnur,garner
garbal,garble
garzin,axe
gonpiq,fair (just)
goqsip,firm
golpan,gulp
gorgol,gurgle
dimnux,diminution
dimpoz,decompose
dignaf,dignify
diplav,deplore
diplok,deploy
dipras,depress
diprav,deprive
ditxat,ditch
diktet,dictate
diklen,decline
diklar,declare
disnet,disseminate
disden,disdain
dispir,disappear
dispat,despite
dispaz,despise
dispal,dispel
dispar,disability
disput,dispute
distal,distill
disfig,disfigure
dislok,dislocate
disrig,disregard
disrap,disrupt
diflet,deflate
diflak,deflect
difram,diaphragm
difrad,defraud
difras,difference (subtraction)
dijtal,digital
dixdak,dish
dixval,dishevel
dilmit,delimit
diltan,delta (water)
dirdar,elm (tree)
dempal,extend
demsit,democracy
dentok,dent
deqgal,dangle
deqzit,stool
degrad,degrade
depket,deprecate
dampat,damp
damtor,diameter
dandeq,pawn
dandal,drab
dansor,dinosaur
danlod,download
daqkit,donkey
daqkot,dunk
dagram,diagram
dagras,digress
dadlak,deadlock
dapdet,dilapidate
daplit,deplete
datnet,detonate
dakbil,bill (bird)
daktip,duct
dasmis,dismiss
daspet,dissipate
dastin,disparity
dastut,destitute
dalget,delegate
dalket,delicate
dalkes,delicacy
dalfin,dolphin
dartik,dart
darsok,douse
darfan,dwarf
darxam,philosophical system
dokran,mediocre
dolpeq,cloak
dornic,underneath
dunpat,dune
dupket,duplicate
bintal,morbid
biqgan,cookie
bigvun,go on
bitxiq,beach
bikxun,beg
bisman,horror
bistol,bestow
bixmam,horrible
biClak,plead
bilpan,betray
bilkad,hardly
bentul,continent
beqkat,bank (holding)
bedjup,tragic
besral,panic
bambuz,bamboozle
bandiq,band (mark)
banben,variant
bantur,banter
banfut,bat (action)
banzap,bounce
banxiq,deform
banxol,wrench (move with force)
banlin,transact
badkan,prank
badjim,mix
badjur,badger
baptaz,baptize
batsak,dough
batxat,batch
batcam,batcam
batrik,battery
batran,butter
batras,buttress
bakpid,backpedal
bakpak,backpack
baktim,fond
baktan,portion
bakfar,backfire
baklax,backwash
bastik,bust (action)
bastan,bust
baskin,bask
bafmik,buff (strength)
baznis,business
baCmol,cotton
baldiq,building
baldik,cousin
baldar,reciprocate
balbut,bulb
baltin,title
baltan,belt
balfal,erupt
balziq,guarantee
balzeq,assure
barman,table
barnet,barn
barbar,stutter
bartur,barter
barkiz,bark (dog)
barked,barricade
barkuk,plum
barkuv,barbecue
barsim,alfalfa (vegetable)
barzak,barrier
barlot,ballot
botxiq,fickle
boldoq,fluctuate
bolkat,boycott
bordan,board
borliq,burly
bunduk,hazelnut
budjuk,remedy
butxoq,augment
burbir,barbarian
pinlaz,penalize
pidjon,pigeon
pitman,nipple
pitmaz,epitomize
pitput,chatter
pitzan,injury
pitzul,fragment
pitlet,capitulate
pikxar,picture
pizmon,chorus
pilpal,pepper
pilfar,pilfer
pirten,pertain
pirsum,publication
pentiq,penalty
pentas,pant
penrat,pen
peqkum,pay back
pegrac,peg
pedral,pedal
petran,patron
petraf,petrify
pestal,pedestal
pestor,pester
pevram,pave
pampem,dim
pampas,pomp
pampon,pump
pampor,pamper
pandam,pendulum
pandoz,pond
pandor,pander
pantim,pint
pantit,punt
pansul,peninsula
panxam,pan (move)
pancir,panther
padman,lotus
paplar,poplar
patrol,patrol
patruz,pat
paktor,pact
pakziv,disappoint
pakxur,puncture
paklis,populate
pasbal,possible
pastal,pastel
paskal,pascal (measurement)
paskon,period (mark)
pasfag,pacify
pafnin,modulate
pavtak,secure
pavrir,ventilate
paztor,repository
pazkir,cite
pacrun,pass through
palmor,froth
paltir,improvise
paltop,polytope
palsiq,policy
palsiv,repulsive
palset,pulsate
palson,pulse
parmit,permit
pardiq,parody
parpil,obscure
partek,partake
parket,park (place)
parsiq,parse
parsis,persist
parson,personal
parfum,perfume
parvam,perform
parvan,fur
parvat,rugged
parxut,parachute
parleq,parley
parlaz,paralyze
podjup,rundown
podjut,shabby
potxiv,poach
potreq,portray
poklaq,pretty
postud,post (in the ground)
pornag,porn
porpan,porcupine
portal,portal
portun,opportune
portub,perturbation
porkat,pork
porsin,suidae
porsad,persuade
puston,thump
pulnev,pull off
purpoz,purpose
purfet,perforate
purved,pervade
timdat,intimidate
tinmat,tin
tintec,tint
tiqkal,twinkle
tigris,tiger
tiptol,tiptoe
tiprat,tip
titxum,pose (question)
titxun,quit
titrat,titration
tiktak,tick (sound)
tiftuf,trickle
tirdan,bother
tempon,tempo
tempur,temper
tendas,tend (to tend to)
tentor,taint
tenxal,potential
teqgol,tangle
teqtoq,ache
teqket,tank (do bad)
tedjat,sharp
tetxiq,livid
tetxal,spade
tetrex,tetration
teknik,technique
teknev,take off
tekriq,take care of
teslan,tesla (measurement)
tesrak,tesseract
telfon,phone
tamnet,contaminate
tampan,tampon
tampor,tamper
tamlil,lyrics
tamlal,transcribe
tanmin,sweet (emotion)
tanbig,transduction
tantiq,snoop
tantij,taunt
tantum,wire
tansor,tensor
tanzik,blanket
tanzen,naive
tanxiq,elastic
tanxan,attention
tanlum,turbulent
taqgop,adopt
tagmul,compensation
tagnaz,antagonize
taglor,tug
tablet,tabulate
taprak,apple
taknol,technology
takziv,budget
takxat,chisel
takrim,respect (object)
takrit,incident
tasmin,symptom
tasman,testament
taskil,frustrate
tafkid,duty
tavrup,sanitation
talgim,dodge
talxin,defiant
targil,exercise
targat,interrogate
targum,translation
tardim,hibernation
tardig,tardigrada
tardus,thrush (bird)
tarbol,terrible
tarpen,tarp
tarpan,satisfy
tartir,rumble
tartuq,tart
tarkiz,concentrate
tarkam,speculation
tarsak,intersect
tarxim,sketch
tarlig,twirl
toqkut,anguish
toqxin,correspond
toqlaq,flux
tostod,toast (action)
tolpal,bid
tornev,turn off
torpid,torpedo
tortug,turtle
torkit,torque
torson,torso
torxan,torsion
tudjem,schematic
tuktuk,caribou
tuksul,flinch
tukvak,moose
tucnev,set off
tucrik,set up
turmon,term (language)
turnir,competition
turfir,interfere
kidnap,kidnap
kidran,equation
kitzaf,foam
kitzon,external
kitzub,ration
kitxam,kitchen
kitrak,kit
kiknev,kick off
kisfim,longing
kilxon,pitchfork
kendiq,approve
kedjot,cage
keproC,cape
ketsef,sequence
ketxul,demand
kamdin,comedy
kamdir,commandeer
kamban,combine
kambat,combat
kampit,compete
kampir,compare
kampak,compact
kampas,compass
kampal,compile
kampoz,compose
kamput,computer
kamtiq,committee
kamsan,thief
kamran,camera
kandiz,candy
kandet,candidate
kandam,condemn
kandon,condone
kantit,quantity
kanten,contain
kantam,quantity/quanta
kantor,counter
kankak,concoct
kankur,concur
kansid,concede
kansit,conceit
kansiv,conceive
kanses,consist
kansan,consign
kansal,cancel
kansoq,baggy
kansol,console
kansur,connoisseur
kanfig,configure
kanfan,confine
kanfad,confide
kanfat,attitude
kanfur,confer
kanvin,convene
kanvik,convict
kanven,convey
kanvas,canvas
kanzoq,fancy
kanjur,conjure
kagnix,cognition
kagnet,cognate
kadsul,counsel
kadjul,ashamed
kabnet,cabinet
kapten,captain
kapsaz,capsize
kapxam,caption
kapxur,capture
kaprik,cap
kaprat,copyright
katnet,concatenate
katsek,tip (peak)
katvun,cut back on
katzav,butcher
katxip,chip (block)
katlag,catalog
katloC,catalogue
katrig,accuse
kaktas,cactus
kastik,caustic
kastam,custom
kasked,cascade
kaftor,button
kafkaf,flip-flop
kaxkix,babble
kalnin,colony
kalpox,kelp
kalkal,economy
kalkun,caulk
kalxaq,oven
karmaz,carve
karmac,karma
karnev,call off
karnab,cauliflower
karnaf,rhino
karnal,kernel
karbet,carbonate
karbon,carb
karpit,carpet
karpuc,keep up with
kartan,carton
kartoC,character (portray)
karkix,rattle
karset,incarcerate
karsaq,audience
karsol,ankle
karfon,cuff
karvat,market
konduk,conduct (electricity)
konsad,coincide
koqdip,vacate
kodjiz,caliber
koksat,coax
kokzit,coxeter
kolket,collocate
kornab,corn
kornar,corner
kordat,cord
korban,victim
korkaz,cork
korsiq,currency
korson,cursor
korvid,corvid
korlet,correlate
kumtaj,back down
kumkum,kettle
kumlet,accumulate
kumrik,back up
kundal,bowl
kusrat,cuss
kuldan,cool
kurten,curtain
kurtal,curtail
kurkan,cook
kurkul,curriculum
kursuf,artichoke
kurfus,cringe
himpak,impact
himpal,impale
himtet,imitate
himsiq,invent
hindat,indict
hindak,induct
hindor,hinder
hinten,intend
hinkar,inquire
hinkor,incur
hinsis,insist
hinsab,inhabit
hinsal,inhale
hinfek,infect
hinfes,interface
hinfur,infer
hinvet,innovate
hinvok,invoke
hinvos,invoice
hinxal,initial (beginning)
hinlaq,inlay
hiqkam,income
hiqkub,incubate
hignus,igneous
higlan,eagle (bird)
higlut,bed
higruf,fist
hidlan,headline
hiptaz,hypnotize
hitmet,intimate
hitpak,explode
hitkat,ingratiate
hitkaf,spasm
hitzum,climax
hitzuv,design
hitxiq,hitch
hitrap,recover
hiklar,equal
hispik,suffice
hiskep,escape
hivniq,evening
hiznik,neglect
hixpuz,hospital
hixkol,cluster
hixvar,supreme
hiltac,hesitate
hirgat,irrigate
hirdas,iridescence
hembam,embalm
hempac,empathy
hendir,endear
hendol,endow
hendus,induce
hentas,entice
hentot,entitle
henrik,henry (measurement)
heqkor,anchor
heqsur,hang out
heqvun,hang on
hegzal,exhale
hegzum,exhume
hegzud,exude
hedriq,aid
hetxam,yawn
heksat,excite
heksas,excess
heksul,excel
hekrat,acre
hesnop,hail (snow)
hecral,ethereal
helbon,insult
hambas,emboss
hambax,ambush
hampid,impede
hampan,hump
hampor,hamper
hamtet,amputate
hamrid,instigate
hanmik,diminish
handid,indeed
handan,bleak
handag,hound
handav,endeavor
handur,endure
hanbal,enable
hanpas,encompass
hantik,antique
hantil,until
hantan,intertwine
hantal,entail
hantoj,haunt
hankit,impose
hanket,antiquate
hankom,honeycomb
hankod,encode
hansul,ensue
hanfuz,infuse
hanvit,envy
hanvop,envelope
hanzaq,mount
hanxim,resuscitate
hanxet,initiate
hanxaq,serene
hanxur,insure
hanlag,analog
hanlat,enlighten
hanrol,enroll
haqgej,engage
haqkid,honk
haqlek,queue
hagnid,agony
hagbir,boost
hagzim,exaggerate
hagzam,exaggeration
haglid,scar
hagrat,fee
hagrot,hag
hadmix,admission
hadmar,admire
hadgim,demonstrate
hadkik,repress
hadket,adequate
hadsak,displacement of water by submerged body
hadsuk,hat
hadvat,non-dual
hadvas,advice
hadzon,odds
hadjin,adjoin
hadjan,convince
hadjat,propel
hadjak,hijack
hadjal,agile
hadxen,audition
hadret,hydrate
hadres,address
hadron,hadron
habnet,hibernate
habdak,abduct
habtus,obtuse
habses,obsess
habjur,abjure
hablix,abolish
habrid,hybrid
habrop,abrupt
hapdat,expedite
haptat,appetite
haptor,opt
haptud,aptitude
hapsat,upset
hapsod,episode
haplan,apply
haplas,helpless
hapret,operate
haprez,appraise
hapraz,oppose/against
haprut,uproot
hatgar,challenge
hatbil,dip
hatbus,bus
hatkaf,seizure (taking)
hatsap,offer
hatvot,outline
hatzid,parade
hatzir,hay
hatzan,cool (action)
hatzat,ignite
hatzal,shade
hatzar,declaration
hatzum,petition
hatxik,hatch
hatxiv,achieve
hatxol,cooperate
hatxuq,estuary
hatlod,outlaw
hatrid,disturb
hatrib,attribute
hatrak,attract
hakniq,subdue
haknik,choke
hakbid,burden
hakbar,mouse
hakbod,hexapoda
hakpan,occupy
haktiv,activity
haktad,tie
haktor,act
haksim,enchant
haksid,exceed
hakses,access
haksan,axon
haksal,accelerate
haksom,axiom
haksol,axel
hakvet,activate
hakveC,determinant (math)
hakxiv,esteem
hakxaz,actualize
hakxar,imperishable
hakxun,auction
hakliv,staple (action)
haklem,acclaim
haklat,resolution
haklud,occlude
hakret,accurate
hakrad,awkward
hakrav,scorpion
hakrun,accrue
hasgar,closure
hasdir,resolve
haspex,especially
haspot,expert
haspur,aspire
hastek,oust
haskim,consent
haskit,husk
haslim,escalate
hasram,ridiculous
hasrat,film (video)
hafnot,refer
hafbet,alphabet
haftir,exempt
hafkid,deposit
hafkir,forfeit
hafkes,efficacy
hafsat,offset
hafxir,thaw
haflik,afflict
haflet,affiliate
haflot,discriminate
hafrid,afford
havtak,ensure
havkin,distinguish
havlit,highlight
havriz,shirk
havrix,brush
hazmin,invite
hazman,invitation
hazkir,remind
hazlif,sprinkle
hazrik,inject
haxmit,omit
haxmad,extermination
haxpak,influence
haxpal,humiliation
haxtil,transplant
haxlim,reconcile
haxlak,implication
haxrix,implant
hacket,authenticate
haclit,athlete
halmor,helm
halnet,alternate
halgex,allegation
halgor,allegory
halbon,protein
halpen,help
halpan,span
haltor,alter
haltur,moonlighting
halket,allocate
halkal,alcohol
halvon,hallow
halciq,health
harnak,purse
hargiz,irritate
hargal,habit
harbor,harbor
hartiq,discourage
hartak,architect
hartaj,heritage
harkiq,hierarchy
harked,arcade
harkun,argue
harfat,artifact (museum object)
harvik,whale
harxim,impress
harxam,registration
harxak,conviction
harcas,planet earth
harCur,rigorous
harlig,early
hoqnev,hold off
hoqvun,hold on
hoblik,oblique
hopres,oppress
hotrut,oat
hoksip,hoax
hostik,osteichthyes
hostan,host
hostar,hoist
hovxad,overshadow
hocrak,oath
holzem,latter
hornit,wasp
horgan,organic
horden,ordain
horbot,orb
horfan,orphan
horfad,horrify
horlig,hurl
humlet,humiliate
hunmat,frantic
hunlit,wedding
huqgat,aunt/uncle
hudjun,huge
hubtan,obtain
huprat,upright
hutxit,accustom
hutxik,train (car)
hutxuk,fetch
huksuk,blubber
huvkan,diagnose
hurmat,hermit
hurdor,hood (cover)
simbos,symbiosis
simten,simultaenous
simtot,asymptote
simlat,assimilate
simlar,similar
siqket,syncopate
sigrat,swig
sigroC,cigarette
sidjan,obsidian
siptat,precipitate
sipran,seep
sipras,cypress
sitxet,situate
sistor,sister
sifnik,symphony
siltan,silt
sirtun,carcinogenesis
sirkut,circuit
semnar,seminar
sembal,resemble
senxur,censure
sedjun,sage (plant)
seprad,sap (tree)
setras,citrus
sekxam,section
sekrad,sacred
samtan,wholesome
samsar,course
samlar,shock
samriq,summary
santig,scent
santor,saunter
sansiv,sensitive
sanzaq,bulk
sanrik,sign up
saqkat,suspect
sagsig,prosper
sadjam,equipment
sadjad,bow down in respect
sadlan,sideline
sadran,steward
sabmis,submissive
sabdiv,subdivide
sabtut,substitute
sabsid,subsidy
sabsad,subside
sabzum,subsume
sabrag,sob
saplan,supply
sapres,suppress
sapraz,surprise
satras,saturn
saksin,spectate
saksid,succeed (come next)
saklud,seclude
sakrit,secrete
sakran,intrigue
sasnet,assassinate
safket,suffocate
safsir,speculate
safsal,bench
safran,saffron
savral,several
saldom,seldom
saltir,solitary
saltak,salt
salken,silk
salvex,salvation
salriq,salary
sarned,serenade
sardan,sardonic
sarpam,creep
sarvan,entire
sarvom,swerve
sotxat,gleam
solsit,solicit
sorsis,exorcise
sumran,sum (addition)
sundar,charming
sudjil,stochastic
sublat,sublet
supmaz,supervise
sulsin,trivial
surmaz,surmise
surget,surrogate
surpaz,surpass
surfas,face (surface)
survav,survive
fintav,definitive
finsup,incinerate
fiqgor,finger
fiqdug,poise
fidjik,fidget
fitxir,fantastic
fistan,feast
fiClat,violin
filmat,film (residue)
filfil,pepper (vegetable)
fendac,fend
fendul,struggle
fentik,faint
fensan,diffract
fenxip,analysis
fenlaq,heft
feqmin,honey
feqget,signature
fedjul,fad
fedret,federate
fetxaq,extraordinary
fevrat,favorite
fambol,fumble
fandic,found
fandex,foundation
fandal,magnify
fanteq,writhe
fantan,rebound
fantom,phantom
fansik,fantasy
fansur,find out
fanfev,fan (favorite)
faqmul,graze
faqguk,foul
faqdud,demeanor
faqban,handy
faqzik,deter
