term,meaning
metmorf,metamorphic
metraks,matrix (math)
manmant,monument
madjast,majesty
marjant,merchant
nutrant,nutrient
garland,garland
ditrant,deterrent
disdant,dissident
disband,disband
dispatx,dispatch
dispors,disburse
diskard,discard
diskors,discourse
disladj,dislodge
dizmant,dismantle
dizgast,disgust
dastiqk,distinct
dorkast,dork
bigradj,begrudge
bambard,bombard
bandedj,bandage
pigment,pigment
pitzutz,explosion
pevmant,pavement
patridj,partridge
partorv,perturb
parsant,percent
porvort,pervert
porlaps,perhaps
purport,purport
tamkits,incentive
tamrets,stimulate
tandanz,tendency
toltarn,totalitarian
kivlant,equivalent
kemdusk,come across
kambast,combust
kampand,compound
kantemp,contempt
kantand,contend
kantaks,context
kantort,contort
kankest,conquest
kansalt,consult
kansorn,concern
kansort,consort
kanfand,confound
kanfanz,conference
kanform,conform
kanfort,confetti
kanvaks,convex
kanvals,convulsant
kanvors,converse (opposite)
katpult,catapult
katlist,catalyst
kakrotx,cockroach
koglant,coagulant
kormant,cormorant
kumbant,incumbent
himpitx,impeach
himpals,impulse
himpart,impart
hindant,indent
hindors,endorse
hintorn,intern
hinsurt,insert
hinvort,invertebrate
histark,hysterical
hempost,hemp
hemrald,emerald
henform,inform
heqgalf,engulf
hegzalt,exut
hegzort,exhort
hedjant,agency
heksarp,excerpt
heksort,extort
heskort,escort
hambalz,embezzle
hambark,embark
hambold,embolden
hamlitz,recommend
hantaks,antioxidant
hanfors,enforce
hanforl,unfurl
hanvort,invert
hanvors,anniversary
hanlist,enlist
hanredj,enrage
hagzort,exert
hadmant,adamant
hadjast,adjust
hadjorn,adjourn
habsent,absence
habzorb,adsorb
habridj,abridge
haptiks,optics
haprind,apprehend
haprotx,approach
hatmost,utmost
hatzitz,peek
haknedj,acknowledge
haksent,eccentric
haklips,eclipse
hasborg,iceberg
hastand,astound
hafzitz,bomb
haxmitz,libel
haxlend,lend
halmost,almost
hobladj,oblige
hovtorn,overturn
hovkast,overcast
hudjant,huge amount
huzband,husband
sikfant,sycophant
sistanz,persistence
senxant,conscientious
segmint,segment
sedmant,sediment
sefgard,safeguard
sanditx,sandwich
sadjest,suggest
saspend,suspend
salvidj,salvage
salvant,solvent
sarkast,sarcasm
suplant,supplant
survant,servant
firmant,ferment
fandorg,fondle
formost,foremost
forkast,forecast
virtaks,vertex
cimpand,impound
cindaks,index
cintarn,internal
cinvant,inventory
catredj,outrage
wiltant,wilt
wetland,wetland
levradj,leverage
riprotx,reproach
rispand,respond
rumnant,ruminant
