term,meaning
mimak,mimic
miniq,mean (verb)
minet,internet
minan,offering
minag,custom/traditional practice
minor,lamp
minuk,serenity
miget,mitigate
migor,meager
midan,media
midar,myriad
midur,compartment
miput,minority
mikil,burrow
mikar,survey
misat,protest
misal,missile
misok,erase
mizam,initiative
micad,method
micak,myth
miCim,ticket
milit,filling
milan,mill
milat,cement
miriq,merry
mirad,revolt
mirak,miracle
miraj,mirage
memik,maim
memac,mammoth
memon,memo
menat,mane
menak,money
menas,menace
medun,median (math)
meduz,jellyfish
mepal,maple
metan,thing about the thing (meta-)
metak,tension
metar,chord (math)
mekir,err
mesid,stumble
meset,emaciate
mesor,tradition
mezan,maze
mejar,major
melak,mail
melon,melon (vegetable)
mamig,mummy
mamip,mime
mamat,debate
mamar,sorrow
manan,dose
manat,ponder
manaj,manage
manok,motor
manor,manner
manun,passion
manut,occuptation
manuC,humanity
magef,epidemic
magan,dock
magat,maggot
magaf,boot (shoe)
magop,mug (rob)
magux,tray
magur,tuna
madim,uniform (clothing)
madil,armadillo
madam,intoxicate
madat,revel
madaf,shelf
madol,muddle
mabac,mob
mapen,mop
mapon,habitat
matar,shower (water)
matod,nematoda
mator,mutter
makaz,muck
makov,grief
masib,party
masoz,territory
masol,mussel
masor,saw (tool)
masut,character (nature)
mavat,die
mavon,introduction
mavok,maze/labyrinth
mazic,muze
mazal,luck
maxot,oar (boat)
maxov,feedback
malin,filth
maliz,sermon
malok,king
malor,maul
malum,special
marid,sick
maric,marry
marad,nurse
marak,soup
marun,maroon
maruf,decend
moniq,moan
mobal,mobile
motif,motif
motiv,motive
mosad,institution
moleq,mole
mumiq,moo
mutin,mutiny
muton,moot
mukan,dumb
musit,overall
musaq,aardvark
musag,concept
mufol,muffle
muvun,move on
muzik,music
muzul,muscle
muxit,mush
muxak,prolonged
murib,suspicious
nimuk,justification
nidol,needle
nitak,chunk
nituk,severing
nisig,recession
nisan,necessary
nivim,prophecy
nival,harp
nizak,damage
nijak,specific
nixin,herring (fish)
nilet,annihilate
nilam,restraint
nilod,neon
negif,virus
negox,negotiate
nedir,vow
nebul,nebula
nekam,revenge
nekad,naked
nekud,dot
nesag,steer
nesal,nestle
nefil,tumble
neval,navel
nexan,nation
neliq,neigh
nelar,document
namal,port
nagin,eel
nagak,goad
nagon,melody
nagud,contrast
nadiv,generous
nadad,wander
nadak,nod
nadar,cnidaria
nadot,banish
naban,nub
nabog,genius
napek,inflate
napar,nap
napot,sift
natim,parallax
natiq,knight
natir,monitor
natan,gnat
nakik,crevice
nakal,palm tree
nakul,cervidae
nasig,retreat
nasir,ally
nasot,attempt
nafak,capacity
navuk,prophesy
najat,nauseate
naxaf,breeze
naret,narrate
naroq,narrow
notis,notice
notet,annotate
nosep,passenger
nosal,proceed
novak,realize
noval,novel
numan,numb
nunan,none
nubol,nibble
nutan,newton (force)
nukis,nut
nukan,nick
nuzol,nuzzle
nuzul,lodge
gigal,giggle
gibor,hero
gibux,consolidate
gilus,recruitment
girar,gear (wear)
gepar,scold
getiq,gait
gevin,cheese
gezit,gaze
gexiq,personality
gamal,camel
gamor,gum
ganis,gneiss
ganan,reckon
ganav,steal
ganol,gown
gagor,gag
gadas,lentil
gadar,fence
gabil,knead
gaboq,gob
gabol,gobble
gator,gutter
gasav,pride
gavan,guava
gazol,guzzle
gazor,geyser
gaxek,gash
gaxax,scout
gaxox,probe
gacar,affect
gaCim,magnificent
galim,embody
galap,gallop
galat,recite
galut,exile
garam,cost
garaz,lubricate
garon,deficit
garot,provoke
garos,gregarious
garur,delusion
goqik,craft
goqep,industry
goquk,apartment
gokam,factor
govak,height
govun,govern
gojam,parrot
gojan,gouge (indent)
golar,abroad
gorik,gore
gorem,factor (math)
goral,destiny
gunam,quality
gugal,outlandish
gudal,thumb
gudoq,agitate
gudut,solitude
guput,quaint
gutik,pill
gusul,bath
gufap,goof
guvul,border
guxik,scam
gulon,bewitched
diman,demon
dimaz,devise
dimon,imagination
dimot,demote
dimut,figure
dinot,denote
digor,dig
didaq,site
didak,tick tock
diduk,deduct
didus,deduce
diban,slander
dipak,kindle
diten,detain
ditak,detect
dital,detail
diken,decay
dikam,predicament
dikod,decode
dikos,cram
dikur,remembrance
disiv,deceive
diseC,diss
disab,disable
disap,disciple
