term,meaning
magets,iron
madist,modest
masadj,massage
masarg,expensive
masart,massacre
malosk,mollusk
marodj,marry (wed)
moment,moment
momart,momentum
modarn,modern
motant,mutant
nipatx,nip
niputz,smashing
nivast,invest
nilaks,lux (measurement)
nafots,widespread
nobold,noble
givadj,give away
dimalx,demolish
dibaqk,debunk
dipart,department
diport,deport
ditatx,detach
ditast,detest
disand,descend
disant,dissent
disard,dissuade
difand,defend
divast,divest
divors,divorce
dizast,disaster
dizurv,deserve
dijont,disjoint
damand,diamond
davort,divert
bigord,go ahead
bisidj,besiege
bisold,behold
biletx,bewitch
basalt,basalt
bolant,buoyant
budanz,abundant
pinast,grind
piladj,pillage
piratz,gush
peniqk,ink
pezant,peasant
pelard,steel
patant,patent
ponent,component
potant,impotent
puveks,vex
tinedj,teenager
tirant,tyrrany
tenant,tenant
teport,teleport
telorn,tailor
kivutz,compress
kamaqk,comma
kamars,commerce
kamorx,commercial (tv)
kanart,con
kafitz,coil
kazalt,casualty
kacard,coward
kaledj,college
kaletz,rescue
karitz,slot
karafs,celery
komind,commend
komarn,comb (hair)
kodorz,coerce
koxant,quotient (division)
koredj,courage
kurant,current (recent)
himars,immerse
hilaps,elapse
hilutz,constrain
hekorn,acorn
hament,amend
hamant,amount
hanand,bliss
hanaks,annex
hanart,inherit
hanorx,xnor
hagalx,agriculture
hadorn,adorn
hadorz,adore
habort,abort
hapend,append
hapont,appoint
hatest,attest
hatand,attend
hakant,account
hakord,accord
hasend,ascend
hasamp,assemble
hasalt,assault
hafiks,affix
hafend,offend
hafenz,offence
haform,affirm
hafort,effort
havort,avert
haxitz,reproduce
haxaps,inspiration
haland,island
haladj,allege
halask,ayahuasca
halark,luxury
halorg,allow
halord,award
haritz,tyrant
harest,arrest
harand,errand
harats,country
haratx,auroch
harutz,ravine
holast,last (staying)
huforn,hoof
hurast,heuristic
sitark,sweater
sikent,subsequent
siladj,bush
sevors,sever
samolt,simultaneous
saport,support
sakort,saw (cut)
safiks,suffix
savant,savant
savadj,savage
savurt,subvert
sukort,sue
fezant,pheasant
fatorn,factory
fomant,foment
foledj,foliage
viladj,village
viralm,overwhelm
zizant,representative
zilant,resilient
xadist,shroud
xabitz,assign
xapetz,renovate
xapord,shepherd
xarotz,infest
citarq,get along
capold,uphold
cuvorz,reverse
wicold,withhold
wekand,wack
worint,warrant
linant,lenient
linadj,lineage
lipard,leopard
legant,elegant
lefant,elephant
levirc,levy
lejand,legend
leCast,bore (boring)
lamant,lament
rimark,remark
rigard,regard
ripant,repent
ripals,repulse
riport,report
ritort,retort
risand,rescind
risors,resource
risorz,rehearse
rifand,refund
rivamp,revamp
rivalv,revolve
rivort,revert
rizent,resent
riland,rewind
rilant,relent
rilaps,relapse
rilaks,relax
rejast,register
relard,reward
raforC,rough
raveld,revile
ronald,row (boat)
rubaqk,bank (river)
yusorp,usurp
