bacos,bathhouse,ˈbæθhaʊs
bakik,book,bʊk
bakin,balcony,ˈbælkəni
bakob,back,bæk
bakus,box,bɑːks
balak,blanket,ˈblæŋkɪt
bales,balancebeam,ˈbælənsbiːm
balib,belly,ˈbɛli
balof,bluff,blʌf
balor,bladder,ˈblædəɹ
bamap,basecamp,ˈbeɪskæmp
banex,branch,bɹæntʃ
baniz,bronze,bɹɑːnz
batin,bat,bæt
batob,battery,ˈbætəɹi
baton,button,ˈbʌtən
bedaq,body,ˈbɑːdi
bedej,bridge,bɹɪdʒ
bedit,bed,bɛd
bedon,abdomen,ˈæbdəmən
bedor,badger,ˈbædʒəɹ
bedur,boulder,ˈboʊldəɹ
begot,bucket,ˈbʌkɪt
begub,bakery,ˈbeɪkəɹi
belaq,beer,bɪɹ
belik,bank,bæŋk
belin,blade,bleɪd
belob,bay,beɪ
beral,barley,ˈbɑːɹli
berat,bread,bɹɛd
berex,brush,bɹʌʃ
berin,brain,bɹeɪn
beriz,breeze,bɹiːz
berob,boar,bɔːɹ
berus,breast,bɹɛst
besak,biscuit,ˈbɪskɪt
besan,basin,ˈbeɪsən
besib,base,beɪs
besin,obsidian,əbˈsɪdiən
bewit,bolt,boʊlt
bexut,beach,biːtʃ
bifaq,beef,biːf
bifol,buffalo,ˈbʌfəloʊ
bifud,beard,bɪɹd
bilas,bracelet,ˈbɹeɪslət
bilez,blizzard,ˈblɪzəɹd
bilis,breastplate,ˈbɹɛstpleɪt
bilot,belt,bɛlt
bimaq,berry,ˈbɛɹi
bimen,bitumen,bɪˈtuːmən
bimub,bamboo,bæmˈbuː
binab,bee,biː
binan,bean,biːn
binet,bin,bɪn
bitol,bottle,ˈbɑːtəl
bofit,butterfly,ˈbʌtəɹflaɪ
bolaq,bowl,boʊl
bolut,blood,blʌd
bonan,banana,bəˈnænə
bonib,bow,boʊ
bonin,bone,boʊn
borab,bear,bɛɹ
boraC,brother,ˈbɹʌðəɹ
boral,barrel,ˈbæɹəl
boran,barn,bɑːɹn
borec,birth,bɜːɹθ
borem,broom,bɹuːm
boret,bright,bɹaɪt
boriC,broth,bɹɔːθ
borig,bark,bɑːɹk
boris,brass,bɹæs
borix,birch,bɜːɹtʃ
borog,brook,bɹʊk
