english,ipa
hue,hjuː
saturate,ˈsætʃəˌɹeɪt
bright,bɹaɪt
mercury,ˈmɜːrkjəɹi
venus,ˈviːnəs
earth,ɜːɹθ
mars,mɑːɹz
jupiter,ˈdʒuːpɪtəɹ
saturn,ˈsætəɹn
uranus,ˈjʊɹənəs
proton,ˈpɹoʊtɒn
neutron,ˈnuːtɹɒn
electron,ɪˈlɛktɹɒn
quark,kwɔːɹk
photon,ˈfoʊtɒn
gluon,ˈɡluːɒn
neutrino,nuːˈtɹiːnoʊ
aries,ˈɛəɹiːz
taurus,ˈtɔːɹəs
gemini,ˈdʒɛmɪnaɪ
cancer,ˈkænsəɹ
leo,ˈliːoʊ
virgo,ˈvɜːɹɡoʊ
libra,ˈliːbɹə
scorpio,ˈskɔːɹpiˌoʊ
sagittarius,ˌsædʒɪˈtɛəɹiəs
capricorn,ˈkæprɪˌkɔːɹn
aquarius,əˈkwɛəɹiəs
pisces,ˈpaɪsiːz
monday,ˈmʌndeɪ
tuesday,ˈtuːzdeɪ
wednesday,ˈwɛnzdeɪ
thursday,ˈθɜːɹzdeɪ
friday,ˈfɹaɪdeɪ
saturday,ˈsætəɹdeɪ
sunday,ˈsʌndeɪ
january,ˈdʒænjuˌɛɹi
february,ˈfɛbjuˌɛɹi
march,mɑːɹtʃ
april,ˈeɪpɹəl
may,meɪ
june,dʒuːn
july,dʒʊˈlaɪ
august,ˈɔːɡəst
september,sɛpˈtɛmbəɹ
october,ɒkˈtoʊbəɹ
november,noʊˈvɛmbəɹ
december,dɪˈsɛmbəɹ
dog,dɔːɡ
cat,kæt
cow,kaʊ
pig,pɪɡ
horse,hɔːɹs
sheep,ʃiːp
goat,ɡoʊt
chicken,ˈtʃɪkɪn
duck,dʌk
goose,ɡuːs
bird,bɜːɹd
fish,fɪʃ
lion,ˈlaɪən
tiger,ˈtaɪɡəɹ
bear,bɛɹ
wolf,wʊlf
fox,fɑːks
deer,dɪɹ
rabbit,ˈɹæbɪt
mouse,maʊs
rat,ræt
elephant,ˈɛləfənt
monkey,ˈmʌŋki
ape,eɪp
gorilla,ɡəˈɹɪlə
zebra,ˈzɛbɹə
giraffe,dʒəˈɹæf
hippo,ˈhɪpoʊ
rhino,ˈɹaɪnoʊ
kangaroo,ˌkæŋɡəˈɹuː
koala,koʊˈɑːlə
panda,ˈpændə
camel,ˈkæməl
llama,ˈlɑːmə
otter,ˈɑːtəɹ
seal,siːl
whale,weɪl
dolphin,ˈdɑːlfɪn
shark,ʃɑːɹk
octopus,ˈɑːktəpəs
crab,kɹæb
lobster,ˈlɑːbstəɹ
snake,sneɪk
lizard,ˈlɪzəɹd
frog,fɹɔːɡ
toad,toʊd
turtle,ˈtɜːɹtəl
spider,ˈspaɪdəɹ
ant,ænt
bee,biː
butterfly,ˈbʌtəɹflaɪ
fly,flaɪ
mosquito,məˈskiːtoʊ
horsefly,ˈhɔːɹsflaɪ
donkey,ˈdɑːŋki
buffalo,ˈbʌfəloʊ
bison,ˈbaɪsən
yak,jæk
moose,muːs
elk,ɛlk
boar,bɔːɹ
weasel,ˈwiːzəl
badger,ˈbædʒəɹ
skunk,skʌŋk
hedgehog,ˈhɛdʒhɔːɡ
bat,bæt
owl,aʊl
eagle,ˈiːɡəl
hawk,hɔːk
falcon,ˈfɔːlkən
crow,kɹoʊ
raven,ˈɹeɪvən
parrot,ˈpæɹət
penguin,ˈpɛŋɡwɪn
ostrich,ˈɑːstɹɪtʃ
tree,tɹiː
plant,plænt
grass,ɡɹæs
leaf,liːf
root,ruːt
stem,stɛm
branch,bɹæntʃ
bark,bɑːɹk
flower,ˈflaʊəɹ
seed,siːd
fruit,fɹuːt
berry,ˈbɛɹi
nut,nʌt
grain,ɡɹeɪn
wheat,wiːt
rice,raɪs
corn,kɔːɹn
oat,oʊt
barley,ˈbɑːɹli
rye,raɪ
bean,biːn
pea,piː
lentil,ˈlɛntəl
soy,sɔɪ
herb,ɜːɹb
spice,spaɪs
mint,mɪnt
basil,ˈbæzəl
thyme,taɪm
sage,seɪdʒ
rosemary,ˈroʊzˌmɛɹi
lavender,ˈlævəndəɹ
fern,fɜːɹn
moss,mɔːs
algae,ˈældʒiː
cactus,ˈkæktəs
vine,vaɪn
bamboo,bæmˈbuː
oak,oʊk
pine,paɪn
maple,ˈmeɪpəl
birch,bɜːɹtʃ
cedar,ˈsiːdəɹ
willow,ˈwɪloʊ
apple,ˈæpəl
pear,pɛɹ
peach,piːtʃ
plum,plʌm
cherry,ˈtʃɛɹi
orange,ˈɔːɹɪndʒ
lemon,ˈlɛmən
lime,laɪm
banana,bəˈnænə
mango,ˈmæŋɡoʊ
grape,ɡɹeɪp
melon,ˈmɛlən
pumpkin,ˈpʌmpkɪn
carrot,ˈkæɹət
potato,pəˈteɪtoʊ
onion,ˈʌnjən
garlic,ˈɡɑːɹlɪk
pepper,ˈpɛpəɹ
tomato,təˈmeɪtoʊ
cabbage,ˈkæbɪdʒ
lettuce,ˈlɛtɪs
spinach,ˈspɪnɪtʃ
broccoli,ˈbɹɑːkəli
table,ˈteɪbəl
chair,tʃɛɹ
bed,bɛd
sofa,ˈsoʊfə
desk,dɛsk
lamp,læmp
light,laɪt
door,dɔːɹ
window,ˈwɪndoʊ
wall,wɔːl
floor,flɔːɹ
ceiling,ˈsiːlɪŋ
shelf,ʃɛlf
cabinet,ˈkæbɪnət
drawer,drɔːɹ
mirror,ˈmɪrəɹ
clock,klɑːk
watch,wɑːtʃ
rug,rʌɡ
carpet,ˈkɑːɹpɪt
curtain,ˈkɜːɹtən
blanket,ˈblæŋkɪt
pillow,ˈpɪloʊ
sheet,ʃiːt
towel,ˈtaʊəl
basket,ˈbæskɪt
box,bɑːks
bin,bɪn
bucket,ˈbʌkɪt
bottle,ˈbɑːtəl
cup,kʌp
glass,ɡlæs
plate,pleɪt
bowl,boʊl
spoon,spuːn
fork,fɔːɹk
knife,naɪf
pan,pæn
pot,pɑːt
kettle,ˈkɛtəl
stove,stoʊv
oven,ˈʌvən
fridge,fɹɪdʒ
freezer,ˈfriːzəɹ
sink,sɪŋk
faucet,ˈfɔːsɪt
soap,soʊp
sponge,spʌndʒ
brush,bɹʌʃ
broom,bɹuːm
mop,mɑːp
vacuum,ˈvækjuːm
iron,ˈaɪəɹn
hanger,ˈhæŋəɹ
house,haʊs
home,hoʊm
room,ɹuːm
roof,ɹuːf
gate,ɡeɪt
fence,fɛns
yard,jɑːɹd
garden,ˈɡɑːɹdən
path,pæθ
road,ɹoʊd
bridge,bɹɪdʒ
stone,stoʊn
rock,ɹɑːk
sand,sænd
clay,kleɪ
soil,sɔɪl
mud,mʌd
dust,dʌst
ash,æʃ
wood,wʊd
metal,ˈmɛtəl
gold,ɡoʊld
silver,ˈsɪlvəɹ
copper,ˈkɑːpəɹ
water,ˈwɔːtəɹ
fire,faɪəɹ
smoke,smoʊk
steam,stiːm
ice,aɪs
snow,snoʊ
rain,ɹeɪn
cloud,klaʊd
wind,wɪnd
storm,stɔːɹm
sky,skaɪ
sun,sʌn
moon,muːn
star,stɑːɹ
river,ˈɹɪvəɹ
lake,leɪk
sea,siː
ocean,ˈoʊʃən
mountain,ˈmaʊntən
hill,hɪl
valley,ˈvæli
island,ˈaɪlənd
forest,ˈfɔːɹəst
desert,ˈdɛzəɹt
body,ˈbɑːdi
head,hɛd
face,feɪs
eye,aɪ
ear,ɪɹ
nose,noʊz
mouth,maʊθ
tooth,tuːθ
tongue,tʌŋ
neck,nɛk
arm,ɑːɹm
hand,hænd
finger,ˈfɪŋɡəɹ
leg,lɛɡ
foot,fʊt
toe,toʊ
heart,hɑːɹt
brain,bɹeɪn
blood,blʌd
bone,boʊn
skin,skɪn
hair,hɛɹ
mind,maɪnd
voice,vɔɪs
sound,saʊnd
song,sɔːŋ
word,wɜːɹd
name,neɪm
book,bʊk
paper,ˈpeɪpəɹ
pen,pɛn
pencil,ˈpɛnsəl
tool,tuːl
rope,ɹoʊp
nail,neɪl
hammer,ˈhæməɹ
wheel,wiːl
cart,kɑːɹt
boat,boʊt
ship,ʃɪp
train,tɹeɪn
truck,tɹʌk
car,kɑːɹ
key,kiː
ring,ɹɪŋ
belt,bɛlt
shoe,ʃuː
shirt,ʃɜːɹt
pants,pænts
coat,koʊt
hat,hæt
glove,ɡlʌv
torso,ˈtɔːɹsoʊ
skull,skʌl
forehead,ˈfɔːɹhɛd
temple,ˈtɛmpəl
cheek,tʃiːk
chin,tʃɪn
jaw,dʒɔː
lip,lɪp
gum,ɡʌm
palate,ˈpælət
throat,θɹoʊt
shoulder,ˈʃoʊldəɹ
chest,tʃɛst
breast,bɹɛst
back,bæk
spine,spaɪn
rib,ɹɪb
waist,weɪst
hip,hɪp
belly,ˈbɛli
abdomen,ˈæbdəmən
navel,ˈneɪvəl
elbow,ˈɛlboʊ
wrist,ɹɪst
palm,pɑːm
thumb,θʌm
knuckle,ˈnʌkəl
thigh,θaɪ
knee,niː
shin,ʃɪn
calf,kæf
ankle,ˈæŋkəl
heel,hiːl
sole,soʊl
joint,dʒɔɪnt
muscle,ˈmʌsəl
tendon,ˈtɛndən
ligament,ˈlɪɡəmənt
cartilage,ˈkɑːɹtəlɪdʒ
hide,haɪd
fur,fɜːɹ
beard,bɪɹd
plasma,ˈplæzmə
lymph,lɪmf
vein,veɪn
artery,ˈɑːɹtəɹi
lung,lʌŋ
liver,ˈlɪvəɹ
kidney,ˈkɪdni
stomach,ˈstʌmək
intestine,ɪnˈtɛstɪn
colon,ˈkoʊlən
bladder,ˈblædəɹ
nerve,nɜːɹv
iris,ˈaɪɹɪs
pupil,ˈpjuːpəl
retina,ˈɹɛtɪnə
nostril,ˈnɑːstɹəl
smell,smɛl
taste,teɪst
breath,bɹɛθ
pulse,pʌls
wound,wuːnd
scar,skɑːɹ
bruise,bɹuːz
fever,ˈfiːvəɹ
cough,kɔːf
rash,ɹæʃ
itch,ɪtʃ
pain,peɪn
sleep,sliːp
dream,dɹiːm
birth,bɜːɹθ
death,dɛθ
corpse,kɔːɹps
skeleton,ˈskɛlətən
genome,ˈdʒiːnoʊm
embryo,ˈɛmbɹioʊ
fetus,ˈfiːtəs
offspring,ˈɔːfsprɪŋ
parent,ˈpɛɹənt
mother,ˈmʌðəɹ
father,ˈfɑːðəɹ
sister,ˈsɪstəɹ
brother,ˈbɹʌðəɹ
cousin,ˈkʌzən
matter,ˈmætəɹ
stuff,stʌf
material,məˈtɪɹiəl
substance,ˈsʌbstəns
medium,ˈmiːdiəm
liquid,ˈlɪkwɪd
solid,ˈsɑːlɪd
gas,ɡæs
vapor,ˈveɪpəɹ
mist,mɪst
fog,fɔːɡ
haze,heɪz
powder,ˈpaʊdəɹ
soot,sʊt
sludge,slʌdʒ
slime,slaɪm
muck,mʌk
silt,sɪlt
gravel,ˈɡɹævəl
pebble,ˈpɛbəl
cobble,ˈkɑːbəl
boulder,ˈboʊldəɹ
mineral,ˈmɪnəɹəl
crystal,ˈkɹɪstəl
gem,dʒɛm
quartz,kwɔːɹts
feldspar,ˈfɛldspɑːɹ
mica,ˈmaɪkə
obsidian,əbˈsɪdiən
granite,ˈɡɹænɪt
basalt,bəˈsɔːlt
limestone,ˈlaɪmstoʊn
sandstone,ˈsændstoʊn
shale,ʃeɪl
slate,sleɪt
marble,ˈmɑːɹbəl
chalk,tʃɔːk
flint,flɪnt
chert,tʃɜːɹt
pumice,ˈpʌmɪs
tuff,tʌf
ore,ɔːɹ
steel,stiːl
bronze,bɹɑːnz
brass,bɹæs
tin,tɪn
lead,lɛd
zinc,zɪŋk
nickel,ˈnɪkəl
chromium,ˈkɹoʊmiəm
titanium,taɪˈteɪniəm
