tune,english
klift,
land,land
spal,about to
klok,pertaining to
twird,
basp,
bafk,
badj,
glidj,
txaf,
cranz,
xlutx,
frazd,
drumd,
Card,
hurd,
vlulp,
swart,
grutx,
vlugz,
trist,
jitx,
spitx,
slufk,
kruz,
frofk,
srusk,
crord,
jurc,
glard,
buft,
krast,
klast,
hafk,
drulp,
spum,
blart,
cratx,
glurk,
wraqk,
wralt,
txudj,
slozd,
mors,
brulp,
hosk,
blulp,
xmis,
bromd,
crard,
Culz,
huzd,
klisp,
snarp,
smod,
vlorc,
swax,
vlist,
xlard,
truqk,
jorp,
glort,
Cagz,
djorp,
curs,
fudj,
plim,
pratx,
drifk,
glorz,
romz,
djolt,
djoft,
brond,
vrimz,
luqk,
sraqk,
crazd,
hatx,
dronz,
xrorC,
gloqk,
djork,
frad,
fard,
frutx,
mwal,
sralp,
vriqk,
wradj,
bloft,
crozd,
hork,
xlogz,
bromz,
klalt,
kloz,
cord,
xmad,
crast,
vrarz,
xlarz,
frigz,
dratx,
tward,
cronz,
slard,
bruc,
djusp,
krind,
blamd,
xrarb,
snid,
rask,
grax,
vrigz,
flurk,
djarc,
tranz,
liqk,
wridj,
klidj,
bramz,
slomd,
djizd,
gloC,
smuf,
flomz,
lorf,
fruft,
sridj,
xurz,
prult,
smam,
plasp,
prand,
djos,
snun,
vlurc,
solp,
plorp,
klard,
glumz,
xlast,
xlosp,
hurg,
ludj,
prinz,
xmob,
sorv,
gronz,
txagz,
xrard,
xlaC,
brord,
vruft,
Caft,
biqk,
Ciqk,
prasp,
klolp,
corv,
nord,
proj,
sluft,
glad,
flort,
gritx,
vlift,
hirt,
rolz,
sros,
glorC,
xrimd,
vlult,
colt,
floc,
snosp,
klomd,
logj,
vlost,
txalt,
flulz,
sromd,
cust,
xmin,
krugz,
brudj,
julz,
Casp,
brork,
frand,
glarg,
sluc,
lifk,
vloft,
xrimz,
vrizd,
klond,
djigz,
sorb,
kriq,
srust,
ladj,
grusk,
slogz,
krorg,
txuzd,
brodj,
vlomz,
txor,
kriqk,
craft,
xrarC,
triqk,
fric,
drift,
srulp,
djurd,
trusp,
slisk,
jost,
flub,
vlomd,
snuc,
xmur,
klorC,
twaC,
slamz,
xlurt,
blam,
spaf,
spub,
groz,
rind,
xrart,
ligz,
drisk,
klord,
croft,
prolt,
vlutx,
prisk,
srorb,
srorg,
txamz,
klufk,
trix,
wrarg,
furv,
fulz,
pliC,
xraft,
vurz,
txolp,
plond,
cunz,
plard,
florb,
klarC,
norb,
murv,
txazd,
snolp,
drigz,
twal,
spasp,
faft,
blorg,
rogz,
drask,
larb,
groqk,
mirt,
vlusp,
prulz,
blurc,
brund,
slurC,
glozd,
djast,
srund,
brac,
xarz,
frosp,
vrarc,
blinz,
blugz,
vrofk,
bland,
somz,
spuf,
glodj,
spird,
srufk,
krodj,
glust,
drort,
ranz,
trisk,
mitx,
slifk,
klifk,
srab,
lost,
plab,
xrask,
brust,
vlarg,
vlimd,
wrork,
krolt,
smij,
trozd,
druf,
xrozd,
klask,
pralp,
doft,
drust,
Carg,
frolt,
draC,
slanz,
lumz,
xloft,
drim,
xruft,
spult,
krigz,
djod,
rand,
flim,
sarf,
vrulz,
plift,
mimd,
srorc,
blofk,
brad,
dust,
txolt,
xlult,
prob,
lutx,
crork,
krolp,
grast,
djul,
kloq,
cromz,
prask,
srib,
Cuqk,
glund,
krafk,
snis,
sosp,
txuqk,
djufk,
flurg,
xraqk,
sruqk,
wroqk,
fiqk,
plib,
blor,
xrond,
flatx,
vrorc,
krist,
xlurz,
drind,
mogj,
srosp,
brol,
trok,
blasp,
prorz,
brosk,
klamz,
lafk,
djuf,
