tune,english
vavafa,equal
dinama,equally
naziga,equanimity
titiba,equate
bageka,equation
soxuga,equilibrium
fosufa,equity
ganika,equivalence
hafora,equivalent
nefufa,erasable
kehaxa,erase
garova,erect
nerola,ergo
lofuda,error
zezara,escalate
minofa,escape
dumida,essence
hezuva,essentialism
heyida,establish
lumima,esteem
hiyoda,estimation
loreda,etcetera
kiwaza,eternal
kikesa,ethics
basoba,ethnicity
xadika,euphoria
xohaka,evaluate
bifufa,evaporate
gimava,eve
fifala,evening
darifa,event
ninufa,eventful
temupa,ever
dahara,everywhere
doxeka,evidence
mebola,evident
debima,evoke
tinapa,evolution
zogesa,evolutionarily
sayixa,evolve
bukaza,exact
gokula,exaggerate
fonama,exalt
xazola,examine
damoba,example
zukuma,excavate
dimuna,exceed
nubura,excellent
hafesa,excellently
nabofa,except
fezuxa,exception
kosiza,exceptionable
fibeda,exceptionality
sakaga,excess
bomura,exchange
nomuba,excites
rodusa,exclude
sigega,exclusion
rinafa,excuse
busuda,execute
hebura,executive
mumora,exempt
zekasa,exercise
nuxiza,exert
losoda,exhaust
xevola,exhaustive
niputa,exhaustively
hisisa,exhibit
zovufa,exist
lebuda,existence
nonuda,existential
hekeza,exotic
duhara,expand
misada,expansion
vayeba,expect
weheva,expectation
yehava,expecting
tenita,expectingly
boxika,expensive
zamuza,experience
gigifa,experiential
rixeva,experimental
leyaga,experimentalism
basisa,experimentally
mifora,experimentation
lenuba,experimenter
koyusa,expert
veroza,expire
remuba,explain
konova,explanation
laxiva,explicit
nuzeka,explode
lesufa,exploit
tetura,exploration
vozula,exponent
keriza,exponential
hifima,expose
bivaga,exposition
marola,expression of intense feeling
xemexa,exquisite
ridala,extend
waluga,extension
wanega,external
xumiga,extinct
xavala,extinguish
hevoxa,extinguish (put out)
diniba,extract
vodava,extract (object)
numuna,extrapolate
buvixa,extreme
bonora,eye
lulora,fabricate
sokaza,fabulous
gaxena,fabulously
demama,face
xoroza,face/surface
panepa,facially
wegura,facilitate
romuma,factorial
yizosa,factory (making place)
tefeta,faculty
hurana,fade
webika,faded
yakena,fadedly
guruza,fail
hedosa,faint (air)
gawesa,faint (visibility)
duleba,faintly
xoweba,fair (equal)
zimuka,faith
leduba,faithful
yoyiba,fake
soyoza,fall
lugiga,fallacy
luhora,familiar
muweka,familiarity
bodena,familiarly
guzida,family
vafoza,famous
gulaxa,famously
sohuma,fancy
dewala,fantastic
fohana,fantastically
dezaza,fantasy
suwaka,far
tasupa,farther
hawaxa,farthest
yogoda,fashion
vahava,fast
mupapa,fasten
ratota,fastest
fomoma,fasting
divega,fat
famula,fatal
sibina,fatally
murina,fate
nesefa,fate/predestiny
xamiga,father
fidina,fatly
nafana,fault
koraza,faulty
yuhoga,favor
gugena,favorable
yezeba,fear
hixaxa,fear (action)
daboma,fearful
dihida,fearless
naviza,feast
kadava,feature
sahina,feed
rawala,fence
migiga,fend
kavema,ferocity
vimoka,fertile
vuvena,fertilize
lakoga,fetch
banusa,fiber
resura,fiction
dufuda,fiddle
xoxasa,fidget
makaka,field
nibana,fierce
hulaba,fight
zebava,figure out
bezaxa,file
kihoxa,fill
kosika,filth
yasoka,filthy
nomesa,final
sedusa,finance
butata,find
xidika,fine
viveda,finely
nidafa,finger
zamiza,finish
zinoza,fire
dalana,firm
gaxifa,firmness
gunuza,fish
disona,fission
liyufa,fit
zixofa,fittest
pufota,fix
zisiva,flabbily
lerama,flabby
wevofa,flag
kariva,flake
kalega,flash
givama,flask
sisima,flat
minuna,flatly
futopa,flaunt
mahama,flavor
fidema,flee
zomava,flesh (life material with nerves)
yemiva,flex
fudusa,flexible
lenena,flick
beyisa,flinch
lutepa,flirt
fanofa,float
pitola,flock
domiba,flock (object)
yigusa,flood
segoka,floor
dohula,flop
zumeva,floppily
farofa,floppy
liwesa,floss (clean between)
mavava,flow
boheba,flower
xebika,fluctuate
davova,fluff
yakesa,fluid (flowable)
piyipa,fluidly
zegeda,flunk
yukora,flurry
gumixa,flush
rifasa,flutter
yagefa,fluttering
rayuba,flux
yaxada,fly
vahuga,foaming
penipa,foamingly
zibeva,fog
kimuza,fold
bomoba,folk
vazola,follow
suwexa,follower
royida,following
daxaka,fond
vekesa,food
vikara,fool
haxuxa,foolish
goyala,for
bohida,forbid
foyiva,forbidden
yogula,force
semoda,fore
voriga,forecast
lukuza,foreign
kuliza,foremost
