tune,english
nogzan,beanie (clothing/gear)
buhend,belt (clothing/gear)
yulzid,bloomers (clothing/gear)
djefan,blouse (clothing/gear)
turkaq,bottoms (clothing/gear)
hugart,boxers (clothing/gear)
baspip,bra (clothing/gear)
bodos,bracelet (clothing/gear)
fircaj,caftan (clothing/gear)
yumduq,camisole (clothing/gear)
birkeb,camouflage (clothing/gear)
Cespir,cap (clothing/gear)
viqkuC,cardigan (clothing/gear)
vamzas,chemise (clothing/gear)
henor,clip (clothing/gear)
yurcoq,cloak (clothing/gear)
xastop,clogs (clothing/gear)
suwerp,clothe (clothing/gear)
lestoj,coat (clothing/gear)
xetxar,corset (clothing/gear)
kastij,cravat (clothing/gear)
Cutxib,crown (clothing/gear)
Curdig,cuff (clothing/gear)
histux,dashiki (clothing/gear)
candix,diaper (clothing/gear)
gomdav,dirndl (clothing/gear)
kunzeg,drawers (clothing/gear)
vulter,dress (clothing/gear)
txufif,duds (clothing/gear)
puspic,dungarees (clothing/gear)
molpip,earmuffs (clothing/gear)
gundoC,earrings (clothing/gear)
masefk,elastic (clothing/gear)
cufolp,fatigues (clothing/gear)
limzec,fedora (clothing/gear)
corkif,fez (clothing/gear)
sises,flops (clothing/gear)
kukarc,gabardine (clothing/gear)
vixitx,gaiters (clothing/gear)
pidjuv,galoshes (clothing/gear)
protat,garb (clothing/gear)
kordit,garment (clothing/gear)
zawugj,garters (clothing/gear)
duCand,getup (clothing/gear)
despid,gilet (clothing/gear)
djubal,girdle (clothing/gear)
txonaC,glasses (clothing/gear)
zugof,gloves (clothing/gear)
runzol,gown (clothing/gear)
CoCin,handbag (clothing/gear)
daspap,handkerchief (clothing/gear)
bustof,hat (clothing/gear)
prusuj,hat (clothing/gear)
poters,heels (clothing/gear)
gazid,helmet (clothing/gear)
srudur,hem (clothing/gear)
debuC,hoodie (clothing/gear)
yigugj,houndstooth (clothing/gear)
nefers,jacket (clothing/gear)
txodum,jeans (clothing/gear)
muzdiz,jersey (clothing/gear)
rugzav,jewelry (clothing/gear)
waftip,jodhpurs (clothing/gear)
vruqef,johns (clothing/gear)
robisp,jumper (clothing/gear)
kadjov,kerchief (clothing/gear)
djuvuv,khakis (clothing/gear)
nerteg,kilt (clothing/gear)
mesuC,kimono (clothing/gear)
seCalt,knickers (clothing/gear)
curpev,lapel (clothing/gear)
damorg,leggings (clothing/gear)
huzdur,leotard (clothing/gear)
doskaf,lingerie (clothing/gear)
nisurg,loafers (clothing/gear)
madjic,loincloth (clothing/gear)
mastax,mittens (clothing/gear)
yovalp,moccasins (clothing/gear)
pramof,muffler (clothing/gear)
pendeb,muumuu (clothing/gear)
retxob,neckerchief (clothing/gear)
xigirg,necklace (clothing/gear)
curgor,onesies (clothing/gear)
Coskud,pajamas (clothing/gear)
moskax,pants (clothing/gear)
lazduk,parka (clothing/gear)
vluzob,peplum (clothing/gear)
lefirf,pinafore (clothing/gear)
modjul,pleat (clothing/gear)
buftid,pocket (clothing/gear)
Cefedj,poncho (clothing/gear)
fenzer,ring (clothing/gear)
vifkoC,robe (clothing/gear)
rulzob,sandals (clothing/gear)
derCeb,sari (clothing/gear)
pospov,sarong (clothing/gear)
nospum,scarf (clothing/gear)
yunzun,scarf (clothing/gear)
dertol,scrubs (clothing/gear)
figzar,shawl (clothing/gear)
duqkad,shirt (clothing/gear)
westin,shoe (clothing/gear)
wondez,shorts (clothing/gear)
furter,skirt (clothing/gear)
hizdin,sneakers (clothing/gear)
momdof,suit (clothing/gear)
yinzad,tam (clothing/gear)
bezdur,teddy (clothing/gear)
nircab,threads (clothing/gear)
boltek,tiara (clothing/gear)
cirCoj,tie (clothing/gear)
purzij,tights (clothing/gear)
giviqk,toga (clothing/gear)
xrumid,top (clothing/gear)
gigif,tuxedo (clothing/gear)
peftom,umbrella (clothing/gear)
hidad,underwear (clothing/gear)
yespuz,uniform (clothing/gear)
vrabiv,veil (clothing/gear)
lidjom,velcro (clothing/gear)
zeftat,vest (clothing/gear)
huspec,vestments (clothing/gear)
malpuc,visor (clothing/gear)
parduq,waders (clothing/gear)
yurCeg,waistcoat (clothing/gear)
djanej,warmers (clothing/gear)
zurpop,wellingtons (clothing/gear)
yehix,wetsuit (clothing/gear)
furpuj,wig (clothing/gear)
xidorz,woolens (clothing/gear)
baguv,wrap (clothing/gear)
wikind,yoke (clothing/gear)
vercul,zipper (clothing/gear)
carguz,zoris (clothing/gear)
