english,tune
We hear children.,biba hiri gag yasa
The leaf is green.,dan patrama bami kidjanu
You see red dirt.,siqa sici hodam refixa
The small child jumps.,dan xadjal gaga natari
My parents are here.,suq poz dada yasa bami davu
What is the year?,suk bami dan xana
I have a good family.,mima havi nav tov mixpaka
There are two fruits.,fut bami dob camaraya
This leaf is small and green.,lig patrama bami smalu hon yaroku
My sibling is home again.,suq poz biba bami durona rinu
The white rock moves.,dan loven gravana muvi
Are you calm today?,bami siqa tanranu lig yoma
Find the purple fruit!,wadjadi dan mofik camara
Who is your sibling?,miq bami siq poz biba
I am behind the tree.,suqa bami hutiq dan dipa
The dirt is black.,dan refixa bami kalimu
Can you see us?,kani siqa paxyati biba
They cannot hear you.,rova nan kan srinoti siqa
Jump three times.,natari san djixula
Find it again.,wadjadi sita rinu
Her friend is climbing a tree.,fim sit poz mitrama bami tapisiha nav dipa
The red fruit is close to you.,dan hodam camara bami klos tak siqa
How do I find the biggest tree?,gav kari suqa wadjadi dan mis brat dipa
It is time to dig for rocks.,sita bami kala tak kanani for gravan yasa
What color is the star tonight?,suk raqgama bami dan miqxiqa lig laylaqa
I do not know the time.,suqa kari nan bodi dan kala
Is your rock purple or white?,bami siq poz gravana mofiku wul lovenu
Calling her parents is too hard.,karakiha fim sit poz dadaya bami gam nanyimu
Did you see the yellow star?,karihu siqa paxyati dan sahov miqxiqa
"Count one, two, three.","djixuli zen, dob, san."
She will call me tomorrow.,fim sita karakihi suqa fid yoma
He was your first friend.,mif bamihu siq poz zenu mitrama
"I want to see, too.","siqa ratsani tak paxyati, gamu"
I see a lot of dirt over there.,siqa paxyati lat refixa tub futa
This is not a very ripe piece of fruit.,lig bami nan nav varin baxel kuwama xal camara
"Why will she be wild today, do you think?",rob fim sita bamihi txaqdjemu lig yoma
I am the middle child of my family.,suqa bami dan zoqdjan gaga xal suq poz mixpaka
She was very small last year.,fim sita bamihu varin xadjalu zehol xana
Do not move my small fruit!,kari nan muvi suq poz xadjal camara
Will I find them behind a tree?,vasami suqa wadjadi rova hutiq nav dipa
She said I should not climb there.,fim sita homarihu suqa yiqgali nan tapesi futa
I like that you always have a plan.,suqa xihani huzu siqa tamid havi nav djihuka
