before	after
br    	br
bl    	bl
dr    	dr
fr    	fr
fl    	fl
gr    	gr
gl    	gl
kr    	kr
kl    	kl
pr    	pr
pl    	pl
tr    	tr
vr    	vr
sk    	sk
sp    	sp
st    	st
sl    	sl
sm    	sm
sn    	sn
sw    	sw
tw    	tw
kw    	kw
tx    	tx
spr   	spr
spl   	spl
str   	str
skr   	skr
skl   	skl
skw   	sk
mp    	mp
mpf   	pf
mps   	ms
nt    	nt
ntx   	ntx
nd    	nd
nts   	ts
ndz   	dz
ntc   	nt
qk    	qk
qkx   	qk
qks   	ks
lp    	lp
lb    	lb
lf    	lf
lv    	lv
ls    	ls
lx    	lx
lz    	lz
lt    	lt
lc    	lc
ld    	ld
lk    	lk
rp    	rp
rb    	rb
rf    	rf
rv    	rv
rs    	rs
rz    	rz
rt    	rt
rd    	rd
rk    	rk
rg    	rg
rx    	rx
ft    	ft
ps    	ps
px    	px
ks    	ks
kx    	kx
bz    	bz
gz    	gz
ts    	ts
dj    	dj
dz    	dz
sk    	sk
sp    	sp
st    	st
xt    	xt
bzbl  	bl
bzbr  	br
bzdr  	zd
bzfl  	bv
bzfr  	br
bzgl  	zg
bzgr  	br
bzkl  	bl
bzkr  	br
bzkw  	zg
bzpl  	zb
bzpr  	br
bzsk  	sk
bzskl 	bl
bzskr 	br
bzskw 	sk
bzsl  	bl
bzsm  	bm
bzsn  	bn
bzsp  	sp
bzspl 	bl
bzspr 	br
bzst  	st
bzstr 	br
bzsw  	bz
bztr  	br
bztw  	zd
bztx  	tx
bzvr  	bv
djbl  	dl
djbr  	br
djdr  	dr
djfl  	dl
djfr  	fr
djgl  	gl
djgr  	gr
djkl  	dl
djkr  	dr
djkw  	dj
djpl  	dl
djpr  	dr
djsk  	sk
djskl 	dl
djskr 	dr
djskw 	dj
djsl  	sl
djsm  	dm
djsn  	dn
djsp  	dj
djspl 	sp
djspr 	dr
djst  	st
djstr 	dr
djsw  	dz
djtr  	tr
djtw  	dj
djtx  	tx
djvr  	vr
dzbl  	dl
dzbr  	zb
dzdr  	dr
dzfl  	dz
dzfr  	fr
dzgl  	zg
dzgr  	dr
dzkl  	dl
dzkr  	dr
dzkw  	dz
dzpl  	dz
dzpr  	dr
dzsk  	sk
dzskl 	dl
dzskr 	dr
dzskw 	dz
dzsl  	dl
dzsm  	dzm
dzsn  	dn
dzsp  	sp
dzspl 	dl
dzspr 	dr
dzst  	st
dzstr 	dr
dzsw  	dz
dztr  	dr
dztw  	dz
dztx  	tx
dzvr  	dv
ftbl  	fp
ftbr  	fr
ftdr  	fr
ftfl  	fl
ftfr  	ftr
ftgl  	ft
ftgr  	fr
ftkl  	fl
ftkr  	fr
ftkw  	fk
ftpl  	fp
ftpr  	fr
ftr   	ftr
ftsk  	sk
ftskl 	fl
ftskr 	fr
ftskw 	ft
ftsl  	fl
ftsm  	sm
ftsn  	fn
ftsp  	fp
ftspl 	fl
ftspr 	fr
ftst  	ft
ftstr 	fr
ftsw  	ts
ftvr  	tr
ftw   	ft
ftx   	fx
gzbl  	gl
gzbr  	zb
gzdr  	zd
gzfl  	gl
gzfr  	gz
gzgl  	gl
gzgr  	gr
gzkl  	gl
gzkr  	gr
gzkw  	gz
gzpl  	gl
gzpr  	gz
gzsk  	sk
gzskl 	gl
gzskr 	gr
gzskw 	gz
gzsl  	gl
gzsm  	gm
gzsn  	gn
gzsp  	sp
gzspl 	gl
gzspr 	gr
gzst  	st
gzstr 	gr
gzsw  	gz
gztr  	gr
gztw  	gz
gztx  	tx
gzvr  	gz
ksbl  	ks
ksbr  	kr
ksdr  	ks
ksfl  	ks
ksfr  	kr
ksgl  	ks
ksgr  	gr
ksk   	sk
kskl  	skl
kskr  	skr
kskw  	sk
ksl   	kl
ksm   	ksm
ksn   	kn
ksp   	kp
kspl  	kl
kspr  	kr
kst   	st
kstr  	kr
kstw  	st
kstx  	kx
ksvr  	vr
ksw   	ks
kxbl  	xp
kxbr  	kr
kxdr  	kt
kxfl  	xf
kxfr  	kr
kxgl  	gl
kxgr  	gr
kxkl  	kl
kxkr  	kr
kxkw  	xk
kxpl  	kl
kxpr  	kr
kxsk  	xk
kxskl 	kl
kxskr 	kr
kxskw 	ks
kxsl  	kl
kxsm  	km
kxsn  	kn
kxsp  	xp
kxspl 	kl
kxspr 	kr
kxst  	st
kxstr 	kr
kxsw  	ks
kxtr  	kr
kxtw  	kt
kxtx  	tx
kxvr  	kr
lbdr  	ld
lbfl  	bl
lbfr  	lf
lbgl  	bl
lbgr  	lg
lbkl  	bl
lbkr  	br
lbkw  	lk
lbl   	bl
lbpl  	bl
lbpr  	br
lbr   	br
lbsk  	sk
lbskl 	bl
lbskr 	br
lbskw 	sk
lbsl  	bl
lbsm  	bm
lbsn  	bn
lbsp  	sp
lbspl 	bl
lbspr 	br
lbst  	lt
lbstr 	br
lbsw  	ls
lbtr  	br
lbtw  	lt
lbtx  	lx
lbvr  	lv
lcbl  	bl
lcbr  	br
lcdr  	ldr
lcfl  	fl
lcfr  	lfr
lcgl  	gl
lcgr  	gr
lckl  	kl
