cluster,difficulty,simplified,simplified_difficulty,changed,source,candidate_count
br,0,br,0,false,start,0
bl,0,bl,0,false,start,0
dr,0,dr,0,false,start,0
fr,0,fr,0,false,start,0
fl,0,fl,0,false,start,0
gr,0,gr,0,false,start,0
gl,0,gl,0,false,start,0
kr,0,kr,0,false,start,0
kl,0,kl,0,false,start,0
pr,0,pr,0,false,start,0
pl,0,pl,0,false,start,0
tr,0,tr,0,false,start,0
vr,0,vr,0,false,start,0
sk,0,sk,0,false,start,0
sp,0,sp,0,false,start,0
st,0,st,0,false,start,0
sl,1,sl,1,false,start,0
sm,0,sm,0,false,start,0
sn,2,sn,2,false,start,0
sw,99,sw,99,false,start,0
tw,99,tw,99,false,start,0
kw,99,kw,99,false,start,0
tx,0,tx,0,false,start,0
spr,2,spr,2,false,start,3
spl,2,spl,2,false,start,3
str,2,str,2,false,start,3
skr,2,skr,2,false,start,3
skl,2,skl,2,false,start,3
skw,99,sk,0,true,start,1
mp,0,mp,0,false,end,0
mpf,5,pf,0,true,end,3
mps,3,ms,0,true,end,3
nt,0,nt,0,false,end,0
ntx,2,ntx,2,false,end,3
nd,0,nd,0,false,end,0
nts,5,ts,0,true,end,3
ndz,5,dz,0,true,end,3
ntc,99,nt,0,true,end,1
qk,0,qk,0,false,end,0
qkx,4,qk,0,true,end,3
qks,0,ks,0,true,end,0
lp,1,lp,1,false,end,0
lb,1,lb,1,false,end,0
lf,0,lf,0,false,end,0
lv,0,lv,0,false,end,0
ls,1,ls,1,false,end,0
lx,0,lx,0,false,end,0
lz,1,lz,1,false,end,0
lt,0,lt,0,false,end,0
lc,99,lc,99,false,end,0
ld,0,ld,0,false,end,0
lk,1,lk,1,false,end,0
rp,1,rp,1,false,end,0
rb,1,rb,1,false,end,0
rf,0,rf,0,false,end,0
rv,0,rv,0,false,end,0
rs,1,rs,1,false,end,0
rz,1,rz,1,false,end,0
rt,0,rt,0,false,end,0
rd,0,rd,0,false,end,0
rk,1,rk,1,false,end,0
rg,1,rg,1,false,end,0
rx,0,rx,0,false,end,0
ft,0,ft,0,false,end,0
ps,1,ps,1,false,end,0
