           	mis
           	miv
           	mir
           	meq
           	mes
           	mej
           	mad
           	mab
            suz         source
           	map
           	mak
           	mol
           	mud
           	mut
           	muk
           	mus
body       	muc
           	nir
           	net
           	nek
           	nes
           	naq
           	nak
           	nas
           	giz
           	gop
body       	gut
           	bod
           	vor
            moc         mouth
           	vus
           	zin
           	ziq
           	zig
           	zab
           	zap
           	zav
           	zum
           	zub
           	zuz
            Cad         white
           	xit
           	xen
           	xal
           	xok
           	xut
           	xut
           	cak
code       	cok
           	cub
           	liq
            sim         simulate
           	log
           	rip
           	reg
           	rad         ride
           	rap
           	yol
math       	yul
           	miq       	motion
           	mid       	positive
           	mik       	meet
           	men       	main
           	mek       	make
           	mam       	mother
           	maf       	male/man
color      	maj       	magenta
           	moq       	about/encompass
number     	mop       	twelve
           	mok       	align
code       	hax       	hash
           	mox       	immutable
           	mun       	gut sense
           	muq       	mmm
           	zum       	(past particle)
           	mul       	unreal
           	niq       	omniscient
           	nid       	need
           	nik       	pink
           	nos       	nest (recursion)
           	nev       	off
           	nen       	negate
           	niz       	as
           	nal       	neutral
           	nop       	no
x          	not       	note
x          	nox       	notion
x          	nol       	toward
           	num       	know
x          	nuq       	bond
x          	nub       	separate
           	nuv       	empty
           	nuz       	distribute
           	nuj       	hell
           	nul       	forget
           	gim       	magic
           	gin       	sync
           	gib       	guide
           	git       	infinite
           	gik       	user
           	gir       	that
           	gem       	game
           	gan       	garden
           	gab       	eat
           	gav       	how (missing-action-focus)
           	gaz       	possess
           	gal       	too (amount)
           	gar       	language
           	gaC       	gather
           	goq       	job
           	got       	antenna
           	gol       	goal
           	gum       	come
           	gub       	like (filler)
           	guv       	end
           	guz       	lose
math       	gul       	exponent
           	dim       	you
math       	dig       	sine
           	did       	deed
           	dif       	define
           	div       	drive
           	dez       	dynamic
color      	dej       	orange
           	dam       	morality
           	dan       	the
           	dad       	content
           	dak       	physical
           	das       	understand
           	daf       	previous
           	doz       	here
           	dum       	negative
           	dud       	friend
           	dub       	aware
           	duk       	minute
           	dus       	reduce
           	duz       	do
           	dul       	delete
           	bim       	target
           	big       	go
           	bid       	ignorant
           	bib       	we
           	bip       	output
           	bit       	beat
           	biz       	intense
           	bil       	limit/restrict
           	beq       	bang
           	bed       	bite
           	beb       	baby
           	bes       	base
           	ban       	together/bind
math       	bad       	tangent (math)
           	bab       	father
           	bat       	beauty
           	baC       	by
           	bos       	possessive plural
code       	bov       	debug
           	boz       	private
           	bum       	boom
math       	bug       	cosine
           	bud       	awake
           	bub       	boob
           	but       	unstable
           	buz       	bosom
           	pim       	permeate
           	pip       	individual
           	pem       	they
           	peq       	pay
           	pam       	pray
           	pan       	yes
           	pak       	package
           	pas       	space
           	par       	depart/from
           	pod       	free
           	pot       	honorific (address)
           	por       	poor
           	pul       	pull
           	tim       	team
           	tin       	between
           	tiq       	mental experience
           	tiv       	conscious
           	tiz       	ellipse
           	tix       	tingle
number     	tic       	fourteen
color      	ten       	tan (color)
           	tam       	meditate
body       	tad       	tail
           	tab       	stable
           	tat       	sibling
           	tas       	test
           	tac       	set (get)
           	tar       	tire (sleep)
science    	tom       	atom
           	tod       	term
           	tos       	task
           	tup       	impure
code       	tuv       	input (computing)
           	tuc       	emotion
           	tur       	turf
           	kim       	climb
           	kiq       	action
           	kid       	could
           	kip       	tune
           	kik       	kick
           	kis       	bottom
           	kiv       	intent
color      	kil       	cyan
