rank,variant,beauty,even,one_rule,marked,family,lean,why
1,11,0.527,0.781,1,0.100,0.500,594,"loses 2 liquid as an opening or closing; one cut, stated once; breaks a coda family; shapes near even"
2,09,0.450,0.548,0,0.800,0.500,579,"openings and closings cut differently; breaks a coda family"
3,10,0.390,0.711,0,0.450,0.500,599,"loses 1 liquid as an opening or closing; openings and closings cut differently; breaks a coda family; shapes near even"
4,05,0.367,0.425,0,0.450,0.500,680,"loses 1 liquid as an opening or closing; openings and closings cut differently; breaks a coda family"
5,07,0.260,0.627,0,0.100,0.500,594,"loses 2 liquid as an opening or closing; openings and closings cut differently; breaks a coda family"
6,12,0.247,0.510,0,0.100,0.500,619,"loses 2 liquid as an opening or closing; openings and closings cut differently; breaks a coda family"
7,01,0.229,0.370,0,0.100,0.500,646,"loses 2 liquid as an opening or closing; openings and closings cut differently; breaks an onset family; shapes lopsided"
8,04,0.228,0.473,0,0.100,0.500,600,"loses 2 liquid as an opening or closing; openings and closings cut differently; breaks a coda family"
9,08,0.211,0.273,0,0.100,0.500,656,"loses 2 liquid as an opening or closing; openings and closings cut differently; breaks a coda family; shapes lopsided"
10,02,0.204,0.552,0,0.000,0.500,579,"loses 2 liquid as an opening or closing; openings and closings cut differently; breaks a coda family"
11,06,0.171,0.370,0,0.100,0.000,682,"loses 2 liquid as an opening or closing; openings and closings cut differently; breaks an onset family; breaks a coda family; shapes lopsided"
12,03,0.094,0.075,0,0.000,0.000,724,"loses 2 liquid as an opening or closing; openings and closings cut differently; breaks an onset family; breaks a coda family; shapes lopsided"
