sound,weight,wanted_share,got_share,words
a,1,4.527,6.270,940
s,1,4.527,5.904,885
r,1,4.527,5.884,882
o,0.9,4.074,5.623,843
u,0.75,3.395,5.183,777
l,0.85,3.848,5.136,770
i,0.85,3.848,5.130,769
e,0.9,4.074,5.116,767
p,1,4.527,4.583,687
t,1,4.527,4.516,677
k,1,4.527,4.503,675
d,1,4.527,4.142,621
b,1,4.527,4.002,600
f,1,4.527,3.942,591
g,1,4.527,3.909,586
n,1,4.527,3.776,566
z,1,4.527,3.749,562
m,1,4.527,3.682,552
v,1,4.527,3.595,539
x,0.6,2.716,1.988,298
q,0.6,2.716,1.748,262
tx,0.5,2.263,1.241,186
dj,0.5,2.263,1.221,183
w,0.45,2.037,0.947,142
y,0.45,2.037,0.934,140
h,0.3,1.358,0.867,130
c,0.16,0.724,0.847,127
j,0.15,0.679,0.807,121
C,0.13,0.589,0.754,113
