variant,family,cvc,cvcc,ccvc,all,lean,open,close,onset,coda,why
01,rich,1280,1536,1280,4096,533,16,16,16,27,"the two one cluster shapes balance exactly; every shape a multiple of 256; every shape a multiple of 64; as many openings as onset clusters"
02,rich,1344,1408,1344,4096,529,16,18,16,23,"the two one cluster shapes balance exactly; every shape a multiple of 64; as many openings as onset clusters"
03,double,1200,1696,1200,4096,496,16,15,16,32,"the two one cluster shapes balance exactly; as many openings as onset clusters"
04,double,1232,1632,1232,4096,517,16,16,16,30,"the two one cluster shapes balance exactly; as many openings as onset clusters"
05,double,1184,1728,1184,4096,524,16,16,16,33,"the two one cluster shapes balance exactly; as many openings as onset clusters"
06,double,1360,1376,1360,4096,509,16,17,16,22,"the two one cluster shapes balance exactly; as many openings as onset clusters"
07,double,1312,1472,1312,4096,545,16,17,16,25,"the two one cluster shapes balance exactly; as many openings as onset clusters"
08,double,1264,1568,1264,4096,505,16,17,16,28,"the two one cluster shapes balance exactly; as many openings as onset clusters"
09,double,1392,1312,1392,4096,539,16,18,16,20,"the two one cluster shapes balance exactly; as many openings as onset clusters"
10,double,1424,1248,1424,4096,513,16,19,16,18,"the two one cluster shapes balance exactly; as many openings as onset clusters"
11,single,1152,1728,1216,4096,602,18,14,19,27,"every shape a multiple of 64"
12,single,1280,1920,896,4096,555,20,14,14,27,"every shape a multiple of 64"
13,single,1280,1600,1216,4096,585,20,14,19,19,"every shape a multiple of 64"
