sound,weight,wanted_share,got_share,words
a,1,4.527,6.059,904
o,0.9,4.074,5.770,861
e,0.9,4.074,5.442,812
i,0.85,3.848,5.228,780
s,1,4.527,5.040,752
u,0.75,3.395,4.953,739
r,1,4.527,4.886,729
p,1,4.527,4.390,655
k,1,4.527,4.356,650
t,1,4.527,4.336,647
z,1,4.527,4.303,642
l,0.85,3.848,4.209,628
d,1,4.527,4.108,613
f,1,4.527,4.108,613
n,1,4.527,4.095,611
g,1,4.527,4.095,611
b,1,4.527,4.068,607
m,1,4.527,3.887,580
v,1,4.527,3.726,556
x,0.6,2.716,2.285,341
q,0.6,2.716,2.031,303
y,0.45,2.037,1.327,198
w,0.45,2.037,1.320,197
dj,0.5,2.263,1.293,193
tx,0.5,2.263,1.293,193
h,0.3,1.358,0.999,149
c,0.16,0.724,0.851,127
j,0.15,0.679,0.791,118
C,0.13,0.589,0.751,112
