sound,weight,wanted_share,got_share,words
r,1,4.527,6.073,897
a,1,4.527,5.951,879
s,1,4.527,5.761,851
o,0.9,4.074,5.578,824
i,0.85,3.848,5.578,824
e,0.9,4.074,5.504,813
l,0.85,3.848,5.125,757
u,0.75,3.395,5.118,756
p,1,4.527,4.577,676
k,1,4.527,4.570,675
t,1,4.527,4.346,642
f,1,4.527,4.211,622
g,1,4.527,4.109,607
b,1,4.527,4.089,604
n,1,4.527,3.744,553
d,1,4.527,3.744,553
m,1,4.527,3.642,538
v,1,4.527,3.547,524
z,1,4.527,3.270,483
x,0.6,2.716,2.078,307
q,0.6,2.716,1.902,281
tx,0.5,2.263,1.137,168
dj,0.5,2.263,1.117,165
y,0.45,2.037,0.968,143
w,0.45,2.037,0.968,143
c,0.16,0.724,0.921,136
j,0.15,0.679,0.880,130
C,0.13,0.589,0.812,120
h,0.3,1.358,0.677,100
