cluster,used,reason
mp,yes,used
nt,yes,used
nd,yes,used
qk,yes,used
lp,yes,used
lb,yes,used
lf,yes,used
lv,yes,used
ls,yes,used
lx,no,holds_hush
lz,yes,used
lt,yes,used
lc,yes,used
ld,yes,used
lk,yes,used
rp,yes,used
rb,yes,used
rf,yes,used
rv,yes,used
rs,yes,used
rz,yes,used
rt,yes,used
rd,yes,used
rk,yes,used
rg,yes,used
rx,no,holds_hush
ft,yes,used
ps,yes,used
px,no,holds_hush
ks,yes,used
kx,no,holds_hush
bz,yes,used
gz,yes,used
ts,yes,used
dj,yes,used
dz,yes,used
sk,yes,used
sp,yes,used
st,yes,used
xt,no,holds_hush
