word,shape,onset,vowel,coda
mim,CVC,m,i,m
min,CVC,m,i,n
miq,CVC,m,i,q
mig,CVC,m,i,g
mid,CVC,m,i,d
mib,CVC,m,i,b
mip,CVC,m,i,p
mit,CVC,m,i,t
mik,CVC,m,i,k
mis,CVC,m,i,s
miz,CVC,m,i,z
miv,CVC,m,i,v
mif,CVC,m,i,f
mix,CVC,m,i,x
mij,CVC,m,i,j
miC,CVC,m,i,C
mic,CVC,m,i,c
mem,CVC,m,e,m
men,CVC,m,e,n
meq,CVC,m,e,q
meg,CVC,m,e,g
med,CVC,m,e,d
meb,CVC,m,e,b
mep,CVC,m,e,p
met,CVC,m,e,t
mek,CVC,m,e,k
mes,CVC,m,e,s
mez,CVC,m,e,z
mev,CVC,m,e,v
mef,CVC,m,e,f
mex,CVC,m,e,x
mej,CVC,m,e,j
meC,CVC,m,e,C
mec,CVC,m,e,c
mam,CVC,m,a,m
man,CVC,m,a,n
maq,CVC,m,a,q
mag,CVC,m,a,g
mad,CVC,m,a,d
mab,CVC,m,a,b
map,CVC,m,a,p
mat,CVC,m,a,t
mak,CVC,m,a,k
mas,CVC,m,a,s
maz,CVC,m,a,z
mav,CVC,m,a,v
maf,CVC,m,a,f
max,CVC,m,a,x
maj,CVC,m,a,j
maC,CVC,m,a,C
mac,CVC,m,a,c
mar,CVC,m,a,r
mal,CVC,m,a,l
mom,CVC,m,o,m
mon,CVC,m,o,n
moq,CVC,m,o,q
mog,CVC,m,o,g
mod,CVC,m,o,d
mob,CVC,m,o,b
mop,CVC,m,o,p
mot,CVC,m,o,t
mok,CVC,m,o,k
mos,CVC,m,o,s
moz,CVC,m,o,z
mov,CVC,m,o,v
mof,CVC,m,o,f
mox,CVC,m,o,x
moj,CVC,m,o,j
moC,CVC,m,o,C
moc,CVC,m,o,c
mor,CVC,m,o,r
mol,CVC,m,o,l
mum,CVC,m,u,m
mun,CVC,m,u,n
muq,CVC,m,u,q
mug,CVC,m,u,g
mud,CVC,m,u,d
mub,CVC,m,u,b
mup,CVC,m,u,p
mut,CVC,m,u,t
muk,CVC,m,u,k
mus,CVC,m,u,s
muz,CVC,m,u,z
muv,CVC,m,u,v
muf,CVC,m,u,f
mux,CVC,m,u,x
muj,CVC,m,u,j
muC,CVC,m,u,C
muc,CVC,m,u,c
mur,CVC,m,u,r
mul,CVC,m,u,l
nim,CVC,n,i,m
nin,CVC,n,i,n
niq,CVC,n,i,q
nid,CVC,n,i,d
nib,CVC,n,i,b
nip,CVC,n,i,p
nit,CVC,n,i,t
nis,CVC,n,i,s
niz,CVC,n,i,z
niv,CVC,n,i,v
nif,CVC,n,i,f
nix,CVC,n,i,x
nij,CVC,n,i,j
niC,CVC,n,i,C
nic,CVC,n,i,c
nem,CVC,n,e,m
nen,CVC,n,e,n
neq,CVC,n,e,q
ned,CVC,n,e,d
neb,CVC,n,e,b
nep,CVC,n,e,p
net,CVC,n,e,t
nes,CVC,n,e,s
nez,CVC,n,e,z
nev,CVC,n,e,v
nef,CVC,n,e,f
nex,CVC,n,e,x
nej,CVC,n,e,j
neC,CVC,n,e,C
nec,CVC,n,e,c
nam,CVC,n,a,m
nan,CVC,n,a,n
naq,CVC,n,a,q
nag,CVC,n,a,g
nad,CVC,n,a,d
nab,CVC,n,a,b
nap,CVC,n,a,p
nat,CVC,n,a,t
nak,CVC,n,a,k
nas,CVC,n,a,s
naz,CVC,n,a,z
nav,CVC,n,a,v
naf,CVC,n,a,f
nax,CVC,n,a,x
naj,CVC,n,a,j
naC,CVC,n,a,C
nac,CVC,n,a,c
nar,CVC,n,a,r
nal,CVC,n,a,l
nom,CVC,n,o,m
non,CVC,n,o,n
noq,CVC,n,o,q
nog,CVC,n,o,g
nod,CVC,n,o,d
nob,CVC,n,o,b
nop,CVC,n,o,p
not,CVC,n,o,t
nok,CVC,n,o,k
nos,CVC,n,o,s
noz,CVC,n,o,z
nov,CVC,n,o,v
nof,CVC,n,o,f
nox,CVC,n,o,x
noj,CVC,n,o,j
noC,CVC,n,o,C
noc,CVC,n,o,c
nor,CVC,n,o,r
nol,CVC,n,o,l
num,CVC,n,u,m
nun,CVC,n,u,n
nuq,CVC,n,u,q
nud,CVC,n,u,d
nub,CVC,n,u,b
nup,CVC,n,u,p
nut,CVC,n,u,t
nuk,CVC,n,u,k
nus,CVC,n,u,s
nuz,CVC,n,u,z
nuv,CVC,n,u,v
nuf,CVC,n,u,f
nux,CVC,n,u,x
nuj,CVC,n,u,j
nuC,CVC,n,u,C
nuc,CVC,n,u,c
nur,CVC,n,u,r
nul,CVC,n,u,l
gim,CVC,g,i,m
gin,CVC,g,i,n
giq,CVC,g,i,q
gig,CVC,g,i,g
gid,CVC,g,i,d
gib,CVC,g,i,b
gip,CVC,g,i,p
git,CVC,g,i,t
gik,CVC,g,i,k
gis,CVC,g,i,s
giz,CVC,g,i,z
giv,CVC,g,i,v
gif,CVC,g,i,f
gix,CVC,g,i,x
gij,CVC,g,i,j
giC,CVC,g,i,C
gic,CVC,g,i,c
gem,CVC,g,e,m
gen,CVC,g,e,n
geq,CVC,g,e,q
geg,CVC,g,e,g
ged,CVC,g,e,d
geb,CVC,g,e,b
gep,CVC,g,e,p
get,CVC,g,e,t
gek,CVC,g,e,k
ges,CVC,g,e,s
gez,CVC,g,e,z
gev,CVC,g,e,v
gef,CVC,g,e,f
gex,CVC,g,e,x
gej,CVC,g,e,j
geC,CVC,g,e,C
gec,CVC,g,e,c
gam,CVC,g,a,m
gan,CVC,g,a,n
gaq,CVC,g,a,q
gag,CVC,g,a,g
gad,CVC,g,a,d
gab,CVC,g,a,b
gap,CVC,g,a,p
gat,CVC,g,a,t
gak,CVC,g,a,k
gas,CVC,g,a,s
gaz,CVC,g,a,z
gav,CVC,g,a,v
gaf,CVC,g,a,f
gax,CVC,g,a,x
gaj,CVC,g,a,j
gaC,CVC,g,a,C
gac,CVC,g,a,c
gar,CVC,g,a,r
gal,CVC,g,a,l
gom,CVC,g,o,m
gon,CVC,g,o,n
goq,CVC,g,o,q
gog,CVC,g,o,g
god,CVC,g,o,d
gob,CVC,g,o,b
gop,CVC,g,o,p
got,CVC,g,o,t
gok,CVC,g,o,k
gos,CVC,g,o,s
goz,CVC,g,o,z
gov,CVC,g,o,v
gof,CVC,g,o,f
gox,CVC,g,o,x
goj,CVC,g,o,j
goC,CVC,g,o,C
goc,CVC,g,o,c
gor,CVC,g,o,r
gol,CVC,g,o,l
gum,CVC,g,u,m
gun,CVC,g,u,n
guq,CVC,g,u,q
gug,CVC,g,u,g
gud,CVC,g,u,d
gub,CVC,g,u,b
gup,CVC,g,u,p
gut,CVC,g,u,t
gus,CVC,g,u,s
guz,CVC,g,u,z
guv,CVC,g,u,v
guf,CVC,g,u,f
gux,CVC,g,u,x
guj,CVC,g,u,j
guC,CVC,g,u,C
guc,CVC,g,u,c
gur,CVC,g,u,r
gul,CVC,g,u,l
dim,CVC,d,i,m
din,CVC,d,i,n
diq,CVC,d,i,q
dig,CVC,d,i,g
did,CVC,d,i,d
dib,CVC,d,i,b
dip,CVC,d,i,p
dit,CVC,d,i,t
dik,CVC,d,i,k
dis,CVC,d,i,s
diz,CVC,d,i,z
div,CVC,d,i,v
dif,CVC,d,i,f
dix,CVC,d,i,x
dij,CVC,d,i,j
diC,CVC,d,i,C
dic,CVC,d,i,c
dem,CVC,d,e,m
den,CVC,d,e,n
deq,CVC,d,e,q
deg,CVC,d,e,g
ded,CVC,d,e,d
deb,CVC,d,e,b
dep,CVC,d,e,p
det,CVC,d,e,t
dek,CVC,d,e,k
des,CVC,d,e,s
dez,CVC,d,e,z
dev,CVC,d,e,v
def,CVC,d,e,f
dex,CVC,d,e,x
dej,CVC,d,e,j
deC,CVC,d,e,C
dec,CVC,d,e,c
dam,CVC,d,a,m
dan,CVC,d,a,n
daq,CVC,d,a,q
dag,CVC,d,a,g
dad,CVC,d,a,d
dab,CVC,d,a,b
dap,CVC,d,a,p
dat,CVC,d,a,t
dak,CVC,d,a,k
das,CVC,d,a,s
daz,CVC,d,a,z
dav,CVC,d,a,v
daf,CVC,d,a,f
dax,CVC,d,a,x
daj,CVC,d,a,j
daC,CVC,d,a,C
dac,CVC,d,a,c
dar,CVC,d,a,r
dal,CVC,d,a,l
dom,CVC,d,o,m
don,CVC,d,o,n
doq,CVC,d,o,q
dog,CVC,d,o,g
dod,CVC,d,o,d
dob,CVC,d,o,b
dop,CVC,d,o,p
dot,CVC,d,o,t
dok,CVC,d,o,k
dos,CVC,d,o,s
doz,CVC,d,o,z
dov,CVC,d,o,v
dof,CVC,d,o,f
dox,CVC,d,o,x
doj,CVC,d,o,j
doC,CVC,d,o,C
doc,CVC,d,o,c
dor,CVC,d,o,r
dol,CVC,d,o,l
dum,CVC,d,u,m
dun,CVC,d,u,n
duq,CVC,d,u,q
dug,CVC,d,u,g
dud,CVC,d,u,d
dub,CVC,d,u,b
dup,CVC,d,u,p
dut,CVC,d,u,t
duk,CVC,d,u,k
dus,CVC,d,u,s
duz,CVC,d,u,z
duv,CVC,d,u,v
duf,CVC,d,u,f
dux,CVC,d,u,x
duj,CVC,d,u,j
duC,CVC,d,u,C
duc,CVC,d,u,c
dur,CVC,d,u,r
dul,CVC,d,u,l
bim,CVC,b,i,m
bin,CVC,b,i,n
biq,CVC,b,i,q
big,CVC,b,i,g
bid,CVC,b,i,d
bib,CVC,b,i,b
bip,CVC,b,i,p
bit,CVC,b,i,t
bik,CVC,b,i,k
bis,CVC,b,i,s
biz,CVC,b,i,z
biv,CVC,b,i,v
bif,CVC,b,i,f
bix,CVC,b,i,x
bij,CVC,b,i,j
biC,CVC,b,i,C
bic,CVC,b,i,c
bem,CVC,b,e,m
ben,CVC,b,e,n
beq,CVC,b,e,q
beg,CVC,b,e,g
bed,CVC,b,e,d
beb,CVC,b,e,b
bep,CVC,b,e,p
bet,CVC,b,e,t
bek,CVC,b,e,k
bes,CVC,b,e,s
bez,CVC,b,e,z
bev,CVC,b,e,v
bef,CVC,b,e,f
bex,CVC,b,e,x
bej,CVC,b,e,j
beC,CVC,b,e,C
bec,CVC,b,e,c
bam,CVC,b,a,m
ban,CVC,b,a,n
baq,CVC,b,a,q
bag,CVC,b,a,g
bad,CVC,b,a,d
bab,CVC,b,a,b
bap,CVC,b,a,p
bat,CVC,b,a,t
bak,CVC,b,a,k
bas,CVC,b,a,s
baz,CVC,b,a,z
bav,CVC,b,a,v
baf,CVC,b,a,f
bax,CVC,b,a,x
baj,CVC,b,a,j
baC,CVC,b,a,C
bac,CVC,b,a,c
bar,CVC,b,a,r
bal,CVC,b,a,l
bom,CVC,b,o,m
bon,CVC,b,o,n
boq,CVC,b,o,q
bog,CVC,b,o,g
bod,CVC,b,o,d
bob,CVC,b,o,b
bop,CVC,b,o,p
bot,CVC,b,o,t
bok,CVC,b,o,k
bos,CVC,b,o,s
boz,CVC,b,o,z
bov,CVC,b,o,v
bof,CVC,b,o,f
box,CVC,b,o,x
boj,CVC,b,o,j
boC,CVC,b,o,C
boc,CVC,b,o,c
bor,CVC,b,o,r
bol,CVC,b,o,l
bum,CVC,b,u,m
bun,CVC,b,u,n
buq,CVC,b,u,q
bug,CVC,b,u,g
bud,CVC,b,u,d
bub,CVC,b,u,b
bup,CVC,b,u,p
but,CVC,b,u,t
buk,CVC,b,u,k
bus,CVC,b,u,s
buz,CVC,b,u,z
buv,CVC,b,u,v
buf,CVC,b,u,f
bux,CVC,b,u,x
buj,CVC,b,u,j
buC,CVC,b,u,C
buc,CVC,b,u,c
bur,CVC,b,u,r
bul,CVC,b,u,l
pim,CVC,p,i,m
pin,CVC,p,i,n
piq,CVC,p,i,q
pig,CVC,p,i,g
pid,CVC,p,i,d
pib,CVC,p,i,b
pip,CVC,p,i,p
pit,CVC,p,i,t
pik,CVC,p,i,k
pis,CVC,p,i,s
piz,CVC,p,i,z
piv,CVC,p,i,v
pif,CVC,p,i,f
pix,CVC,p,i,x
pij,CVC,p,i,j
piC,CVC,p,i,C
pic,CVC,p,i,c
pem,CVC,p,e,m
pen,CVC,p,e,n
peq,CVC,p,e,q
peg,CVC,p,e,g
ped,CVC,p,e,d
peb,CVC,p,e,b
pep,CVC,p,e,p
pet,CVC,p,e,t
pek,CVC,p,e,k
pes,CVC,p,e,s
pez,CVC,p,e,z
pev,CVC,p,e,v
pef,CVC,p,e,f
pex,CVC,p,e,x
pej,CVC,p,e,j
