word,shape,onset,vowel,coda
mib,CVC,m,i,b
miz,CVC,m,i,z
meg,CVC,m,e,g
mej,CVC,m,e,j
mal,CVC,m,a,l
moj,CVC,m,o,j
mud,CVC,m,u,d
mur,CVC,m,u,r
nit,CVC,n,i,t
niv,CVC,n,i,v
nic,CVC,n,i,c
nem,CVC,n,e,m
nab,CVC,n,a,b
nat,CVC,n,a,t
nas,CVC,n,a,s
naf,CVC,n,a,f
non,CVC,n,o,n
nok,CVC,n,o,k
nup,CVC,n,u,p
nus,CVC,n,u,s
nuv,CVC,n,u,v
bip,CVC,b,i,p
bik,CVC,b,i,k
biv,CVC,b,i,v
bej,CVC,b,e,j
bag,CVC,b,a,g
bat,CVC,b,a,t
bof,CVC,b,o,f
box,CVC,b,o,x
buz,CVC,b,u,z
bur,CVC,b,u,r
dim,CVC,d,i,m
did,CVC,d,i,d
diz,CVC,d,i,z
dec,CVC,d,e,c
dab,CVC,d,a,b
dar,CVC,d,a,r
dom,CVC,d,o,m
dud,CVC,d,u,d
dug,CVC,d,u,g
dup,CVC,d,u,p
git,CVC,g,i,t
gix,CVC,g,i,x
geb,CVC,g,e,b
geC,CVC,g,e,C
gok,CVC,g,o,k
goz,CVC,g,o,z
gov,CVC,g,o,v
gut,CVC,g,u,t
guj,CVC,g,u,j
gul,CVC,g,u,l
pin,CVC,p,i,n
pid,CVC,p,i,d
pic,CVC,p,i,c
pez,CVC,p,e,z
pab,CVC,p,a,b
par,CVC,p,a,r
pom,CVC,p,o,m
pud,CVC,p,u,d
pup,CVC,p,u,p
puk,CVC,p,u,k
tig,CVC,t,i,g
tip,CVC,t,i,p
tiv,CVC,t,i,v
tej,CVC,t,e,j
tat,CVC,t,a,t
tak,CVC,t,a,k
tos,CVC,t,o,s
tof,CVC,t,o,f
tox,CVC,t,o,x
tuC,CVC,t,u,C
tur,CVC,t,u,r
kik,CVC,k,i,k
kis,CVC,k,i,s
ken,CVC,k,e,n
kef,CVC,k,e,f
kat,CVC,k,a,t
kax,CVC,k,a,x
kar,CVC,k,a,r
kom,CVC,k,o,m
kub,CVC,k,u,b
kuc,CVC,k,u,c
him,CVC,h,i,m
hip,CVC,h,i,p
hik,CVC,h,i,k
hiC,CVC,h,i,C
hed,CVC,h,e,d
hes,CVC,h,e,s
hef,CVC,h,e,f
hex,CVC,h,e,x
hap,CVC,h,a,p
hak,CVC,h,a,k
har,CVC,h,a,r
hom,CVC,h,o,m
hod,CVC,h,o,d
hov,CVC,h,o,v
hug,CVC,h,u,g
hup,CVC,h,u,p
hus,CVC,h,u,s
hux,CVC,h,u,x
hur,CVC,h,u,r
sib,CVC,s,i,b
set,CVC,s,e,t
sod,CVC,s,o,d
sum,CVC,s,u,m
sup,CVC,s,u,p
sus,CVC,s,u,s
suf,CVC,s,u,f
sux,CVC,s,u,x
zim,CVC,z,i,m
zig,CVC,z,i,g
zif,CVC,z,i,f
zes,CVC,z,e,s
zej,CVC,z,e,j
zaq,CVC,z,a,q
zak,CVC,z,a,k
zav,CVC,z,a,v
zal,CVC,z,a,l
zug,CVC,z,u,g
zuC,CVC,z,u,C
zul,CVC,z,u,l
fib,CVC,f,i,b
fig,CVC,f,i,g
fit,CVC,f,i,t
feq,CVC,f,e,q
fap,CVC,f,a,p
fum,CVC,f,u,m
fub,CVC,f,u,b
fut,CVC,f,u,t
fux,CVC,f,u,x
viz,CVC,v,i,z
viv,CVC,v,i,v
vej,CVC,v,e,j
vec,CVC,v,e,c
vad,CVC,v,a,d
vag,CVC,v,a,g
var,CVC,v,a,r
vos,CVC,v,o,s
vof,CVC,v,o,f
vug,CVC,v,u,g
vuC,CVC,v,u,C
vul,CVC,v,u,l
xid,CVC,x,i,d
xap,CVC,x,a,p
xac,CVC,x,a,c
xub,CVC,x,u,b
xut,CVC,x,u,t
xuf,CVC,x,u,f
xux,CVC,x,u,x
jin,CVC,j,i,n
jip,CVC,j,i,p
jiz,CVC,j,i,z
jif,CVC,j,i,f
jix,CVC,j,i,x
jeg,CVC,j,e,g
jam,CVC,j,a,m
jad,CVC,j,a,d
jaz,CVC,j,a,z
jav,CVC,j,a,v
jaj,CVC,j,a,j
jog,CVC,j,o,g
jol,CVC,j,o,l
jum,CVC,j,u,m
jus,CVC,j,u,s
juC,CVC,j,u,C
civ,CVC,c,i,v
cij,CVC,c,i,j
cic,CVC,c,i,c
cez,CVC,c,e,z
cag,CVC,c,a,g
cav,CVC,c,a,v
caj,CVC,c,a,j
car,CVC,c,a,r
cug,CVC,c,u,g
cuC,CVC,c,u,C
cul,CVC,c,u,l
Cid,CVC,C,i,d
Cap,CVC,C,a,p
Cub,CVC,C,u,b
Cut,CVC,C,u,t
Cux,CVC,C,u,x
liq,CVC,l,i,q
lid,CVC,l,i,d
lip,CVC,l,i,p
lix,CVC,l,i,x
liC,CVC,l,i,C
laq,CVC,l,a,q
lab,CVC,l,a,b
lat,CVC,l,a,t
lar,CVC,l,a,r
lov,CVC,l,o,v
lud,CVC,l,u,d
lul,CVC,l,u,l
ris,CVC,r,i,s
reg,CVC,r,e,g
ref,CVC,r,e,f
raz,CVC,r,a,z
rok,CVC,r,o,k
roj,CVC,r,o,j
run,CVC,r,u,n
rup,CVC,r,u,p
ruz,CVC,r,u,z
ruc,CVC,r,u,c
miqk,CVCC,m,i,qk
mips,CVCC,m,i,ps
mist,CVCC,m,i,st
mift,CVCC,m,i,ft
ment,CVCC,m,e,nt
maqk,CVCC,m,a,qk
mats,CVCC,m,a,ts
masp,CVCC,m,a,sp
mask,CVCC,m,a,sk
mald,CVCC,m,a,ld
malz,CVCC,m,a,lz
mark,CVCC,m,a,rk
morf,CVCC,m,o,rf
mump,CVCC,m,u,mp
mund,CVCC,m,u,nd
mudz,CVCC,m,u,dz
must,CVCC,m,u,st
mulz,CVCC,m,u,lz
nidz,CVCC,n,i,dz
niks,CVCC,n,i,ks
nisk,CVCC,n,i,sk
nabz,CVCC,n,a,bz
naks,CVCC,n,a,ks
naft,CVCC,n,a,ft
nalp,CVCC,n,a,lp
nuqk,CVCC,n,u,qk
nugz,CVCC,n,u,gz
nups,CVCC,n,u,ps
nusk,CVCC,n,u,sk
nuft,CVCC,n,u,ft
nult,CVCC,n,u,lt
nulk,CVCC,n,u,lk
nurb,CVCC,n,u,rb
bimp,CVCC,b,i,mp
bigz,CVCC,b,i,gz
bisp,CVCC,b,i,sp
bats,CVCC,b,a,ts
bald,CVCC,b,a,ld
balc,CVCC,b,a,lc
bark,CVCC,b,a,rk
bond,CVCC,b,o,nd
bogz,CVCC,b,o,gz
bosk,CVCC,b,o,sk
boft,CVCC,b,o,ft
borz,CVCC,b,o,rz
buqk,CVCC,b,u,qk
bulk,CVCC,b,u,lk
bulc,CVCC,b,u,lc
burd,CVCC,b,u,rd
burp,CVCC,b,u,rp
blib,CCVC,bl,i,b
bliz,CCVC,bl,i,z
bluf,CCVC,bl,u,f
brab,CCVC,br,a,b
braf,CCVC,br,a,f
brok,CCVC,br,o,k
dind,CVCC,d,i,nd
diqk,CVCC,d,i,qk
didz,CVCC,d,i,dz
dips,CVCC,d,i,ps
desk,CVCC,d,e,sk
deft,CVCC,d,e,ft
daqk,CVCC,d,a,qk
dabz,CVCC,d,a,bz
dasp,CVCC,d,a,sp
dalp,CVCC,d,a,lp
domp,CVCC,d,o,mp
dolv,CVCC,d,o,lv
dudz,CVCC,d,u,dz
dups,CVCC,d,u,ps
dusp,CVCC,d,u,sp
drim,CCVC,dr,i,m
drit,CCVC,dr,i,t
drik,CCVC,dr,i,k
driv,CCVC,dr,i,v
drej,CCVC,dr,e,j
dram,CCVC,dr,a,m
drat,CCVC,dr,a,t
dras,CCVC,dr,a,s
drox,CCVC,dr,o,x
drol,CCVC,dr,o,l
drum,CCVC,dr,u,m
drud,CCVC,dr,u,d
drup,CCVC,dr,u,p
druz,CCVC,dr,u,z
gibz,CVCC,g,i,bz
gend,CVCC,g,e,nd
geqk,CVCC,g,e,qk
gets,CVCC,g,e,ts
garz,CVCC,g,a,rz
goft,CVCC,g,o,ft
golc,CVCC,g,o,lc
gunt,CVCC,g,u,nt
gugz,CVCC,g,u,gz
gurt,CVCC,g,u,rt
gurz,CVCC,g,u,rz
gurv,CVCC,g,u,rv
glim,CCVC,gl,i,m
glag,CCVC,gl,a,g
glax,CCVC,gl,a,x
glar,CCVC,gl,a,r
glud,CCVC,gl,u,d
glug,CCVC,gl,u,g
glux,CCVC,gl,u,x
grif,CCVC,gr,i,f
grix,CCVC,gr,i,x
greb,CCVC,gr,e,b
greC,CCVC,gr,e,C
groz,CCVC,gr,o,z
grul,CCVC,gr,u,l
pind,CVCC,p,i,nd
piqk,CVCC,p,i,qk
pidz,CVCC,p,i,dz
pips,CVCC,p,i,ps
pift,CVCC,p,i,ft
pesk,CVCC,p,e,sk
paqk,CVCC,p,a,qk
pabz,CVCC,p,a,bz
palp,CVCC,p,a,lp
palv,CVCC,p,a,lv
post,CVCC,p,o,st
pump,CVCC,p,u,mp
pudz,CVCC,p,u,dz
pups,CVCC,p,u,ps
purv,CVCC,p,u,rv
plin,CCVC,pl,i,n
plif,CCVC,pl,i,f
plex,CCVC,pl,e,x
plar,CCVC,pl,a,r
plom,CCVC,pl,o,m
plot,CCVC,pl,o,t
prig,CCVC,pr,i,g
pret,CCVC,pr,e,t
praC,CCVC,pr,a,C
pros,CCVC,pr,o,s
prox,CCVC,pr,o,x
prub,CCVC,pr,u,b
pruC,CCVC,pr,u,C
prur,CCVC,pr,u,r
tigz,CVCC,t,i,gz
tist,CVCC,t,i,st
temp,CVCC,t,e,mp
tand,CVCC,t,a,nd
tagz,CVCC,t,a,gz
tats,CVCC,t,a,ts
tald,CVCC,t,a,ld
tars,CVCC,t,a,rs
tosk,CVCC,t,o,sk
torg,CVCC,t,o,rg
tund,CVCC,t,u,nd
tuqk,CVCC,t,u,qk
tuks,CVCC,t,u,ks
tuft,CVCC,t,u,ft
tulp,CVCC,t,u,lp
turd,CVCC,t,u,rd
turs,CVCC,t,u,rs
trib,CCVC,tr,i,b
tris,CCVC,tr,i,s
trab,CCVC,tr,a,b
traf,CCVC,tr,a,f
trog,CCVC,tr,o,g
truf,CCVC,tr,u,f
kimp,CVCC,k,i,mp
kisp,CVCC,k,i,sp
kisk,CVCC,k,i,sk
keks,CVCC,k,e,ks
keft,CVCC,k,e,ft
kamp,CVCC,k,a,mp
kabz,CVCC,k,a,bz
kast,CVCC,k,a,st
kalk,CVCC,k,a,lk
kalv,CVCC,k,a,lv
kard,CVCC,k,a,rd
karp,CVCC,k,a,rp
kosk,CVCC,k,o,sk
kuqk,CVCC,k,u,qk
kubz,CVCC,k,u,bz
kuts,CVCC,k,u,ts
kusp,CVCC,k,u,sp
kulk,CVCC,k,u,lk
kurb,CVCC,k,u,rb
klik,CCVC,kl,i,k
klom,CCVC,kl,o,m
kret,CCVC,kr,e,t
kres,CCVC,kr,e,s
krov,CCVC,kr,o,v
krup,CCVC,kr,u,p
hiqk,CVCC,h,i,qk
hidz,CVCC,h,i,dz
higz,CVCC,h,i,gz
hips,CVCC,h,i,ps
hisk,CVCC,h,i,sk
hift,CVCC,h,i,ft
hent,CVCC,h,e,nt
hesp,CVCC,h,e,sp
