word,meaning
min,not know
miq,motion
mig,
mid,positive
mib,
mip,
mit,meet
mis,miss (longing)
miv,idea
mif,
mix,network
men,main
meq,mine
mek,make
mes,month
mej,model
mam,mother
man,mind
maq,harmony
mag,fruit
mad,middle
mab,source
map,map (map/reduce)
mat,forward
mak,meat
mas,
maz,flow (speech utterance)
mav,many
maf,male
maj,magenta
mac,great
mar,symbol
mal,molecule
mom,
mon,
moq,about/encompass
mog,meaning
mod,mode
mob,
mop,twelve
mot,mountain
mok,align
mos,
moz,hash
mov,
mof,
mox,immutable
moj,emerge
mor,the model of the action (e.g. the transform)
mol,high
mun,gut sense
muq,mmm
mug,(past particle)
mud,mood
mut,mutate
muk,earth (dirt)
mus,mercy
muz,pain
muv,move
muj,message
muc,mouth
mur,
mul,unreal
niq,omniscient
nid,need
nib,
nip,
niz,nest (structure)
nif,a (isolated-element-focus)
nix,listen
nen,
neq,
ned,static
neb,
nep,nature
net,knit
nes,nice
nez,
nev,off
nef,
nam,name
nan,negate
nad,
nap,
nat,
nak,knock
nas,nest
naz,as
nav,center
nar,person
nal,neutral
nom,
non,not (un- or -im)
nog,
nob,
nop,no
not,note
nok,
noz,nose
nof,
nox,notion
nor,
nol,toward
num,know
nuq,bond
nub,separate
nuz,distribute
nuv,empty
nuj,hell
nuc,long
nur,
nul,forget
gim,magic
gin,sync
giq,
gig,
gid,
gib,guide
gip,
git,infinite
gik,user
gis,will (future)
giz,position
giv,
gif,give
gix,
gic,red
gem,game
gen,
geq,
geg,
ged,
geb,
gep,
gek,
ges,
gez,
gev,
gef,
gan,garden
gag,child
gad,god
gab,eat
gaz,possess
gav,how (missing-action-focus)
gaC,gather
gar,language
gal,too
gom,
gon,
goq,job
gog,
god,gold
gob,
gop,
got,antenna
gok,back
gos,
goz,
gov,
gof,
gor,
gol,goal
gum,come
gun,representation
gug,
gub,like (filler)
gut,gut
gus,back (front)
guz,lose
guv,end
guf,
guj,memory
gur,
gul,exponent
dim,you
dig,sine
did,deed
dib,connect
dip,tree
dis,number
div,drive
dif,define
den,
deq,
deg,
ded,
deb,
dep,
det,datetime stamp/instance in time
dek,
des,
dez,dynamic
dev,
def,
dej,orange
dam,morality
dan,the
daq,
dag,dog
dad,content
dap,
dat,word
dak,physical
das,understand
daz,
dav,divine
daf,orange
dac,death
dar,
dal,matter (physics)
dom,state
doq,
dog,
dob,two
dop,
dot,down
doz,here
dov,
dof,
dor,door
dum,negative
dun,join (to one)
dug,drink
dud,friend
dub,aware
dup,
dut,
duk,minute
dus,reduce
duz,do
duv,
dux,condition (general state)
dur,
dul,delete
bim,target
bin,
biq,being
big,go
bid,ignorant
bib,we
bip,output
bit,beat
bik,
biz,intense
biv,
bif,
bix,
ben,
beq,bang
beg,
bed,bite
beb,baby
bep,left
bet,under
bek,
bes,base
bez,
bev,
bef,
bam,create
ban,together/bind
baq,be
bag,insect
bad,tangent (math)
bab,father
bat,beauty
bak,send
bax,bird
baC,by
bar,bear (carry)
bom,
bon,
boq,
bog,
bod,
bob,
bop,
bot,boat
bok,
bos,possessive plural
boz,private
bov,debug
bof,
bor,condition (case)
bum,boom
bug,cosine
bud,awake
bub,boob
bup,energy
but,unstable
buz,bosom
bux,yellow
bul,blue
pim,permeate
pin,
piq,request
pig,
pid,
pib,
pip,individual
pit,pure
pik,master
pis,
piz,
piv,
pif,
pix,
pem,they (communicating-agent-external-reference-focus)
pen,
peq,pay
peg,
ped,
peb,
pep,
pek,
pes,green
pez,
pev,
pef,
pex,
pam,pray
pan,yes
paq,response
pad,
pap,
pat,dimension
pak,package
pas,space
paz,
pav,
pac,path
par,depart/from
pal,
pom,different
pon,
poq,
pog,
pod,free
pob,right
pop,property (of object)
pot,honorific (address)
pos,
poz,
pov,
pof,
por,poor
pum,time (count)
pud,
puk,
puf,
pur,
pul,pull
tim,team
tin,between
tiq,mental experience
tig,
tib,
tip,step
tit,
tiz,ellipse
tiv,conscious
tif,
tix,tingle
tic,fourteen
ten,tan (color)
teq,like (as if)
ted,up
tet,signal
tek,take
tes,
tef,left
tam,meditate
tan,
taq,tongue
tad,tail
tab,stable
tap,
tat,sibling
tak,talk
tas,test
taz,
tav,
taf,good
taj,down (to be cool with something)
taC,blue
tac,set (get)
tar,tire (sleep)
tal,tell
tom,atom
ton,agent (one who does x)
tog,
tod,term
tok,structure
tos,task
toz,position (cardinal)
tox,text
tor,before
tuq,type
tud,
tub,tube
tup,impure
tuz,because
tuv,input (computing)
tux,intuition
tuc,emotion
tur,turf
tul,tool
kim,climb
kiq,action
kig,
kid,could
kib,
kip,tune
kik,kick
kis,bottom
kiz,if
kiv,intent
kif,
kix,process
ken,communicate
keq,
keg,front
ked,
keb,
kep,clone
ket,but
kek,agree
kes,case (situation)
kez,
kev,
kef,
kam,calm
kan,aggregate
kaq,object
kad,
kab,receive
kat,focus
kas,
kaz,cause
kav,
kaf,cough
kax,perfect
kar,call
kal,time
kom,five
kon,and
kog,
kod,code
kob,
kop,scope
kok,disagree
koz,z-axis
kov,cover
kof,default
kox,cell (biology)
koj,violet
kol,all
kum,back area
kuq,manner
kud,miss (didn't touch)
kub,cube
kup,tone
kus,constant
kuv,divide
kuf,clue
kur,down
kul,cool (interjection)
him,nothing
hin,hi
hid,not hidden
hip,group
hit,heat
hik,hike
his,snake
hix,peach (color)
hem,hey
heq,hang
hek,hour
hez,every
ham,hmm
han,zero
had,head
hap,event
hat,at
hak,hack (work)
has,hyper
haz,have
har,era
hal,how
hom,home
hoq,hold
hod,period of x (-hood)
hop,hope
hok,okay
hoz,cardinal number
hov,floating point
hol,whole
hum,urge
hun,illusion
huq,uh
hud,hide
hub,x-axis
hut,heed
huk,hook
huz,duration
huv,handle
sig,front
sid,seed
sip,asleep
sit,medium
sik,seek
sis,
siz,peace
siv,perceive
sif,purple
six,all encompasing thing
siC,hush
sem,same (sym-)
sen,
seq,
seg,
sed,
seb,
sep,swipe
set,
sek,percept
ses,
sez,sir
sev,save
sef,continue
sex,
seC,etc.
sam,sound
san,sun
saq,song
sag,beyond (extra- or hyper-)
sad,
sab,describe
sap,present (now)
sat,sight
sak,
sas,parent
saz,emphasize
sav,silver
sax,wash
saj,etc
sar,surf
sal,like (similar)
som,drug
sog,reason
sod,mystery
sob,
sop,so/transition
sok,around/surround
soz,also
sof,each
sor,file (computer)
sol,soul
sud,
sub,I
sup,above (super)/hover
sut,store
suk,top
suz,
suv,observe
suf,self (auto-)
suC,three
sur,assert
sul,still (time)
zim,pleasure
zin,decision
ziq,zing
zig,gain
zib,
zip,graph
zis,
zif,
zem,plasma (matter)
zen,
zeq,
zeg,
zed,
zeb,
zep,
zet,olive (color)
zek,
zes,
zez,
zev,
zef,
zan,one
zaq,presence
zad,
zab,public
zap,zap
zat,
zak,effect
zas,
zav,lie
zaf,equal (iso-)
zar,vowel
zal,
zom,so/great
zon,zone
zoq,
zog,
zod,
zob,
zop,
zok,try
zoz,
zov,
zof,
zox,sense
zor,
zum,zoom
zub,absorb
zut,identity
zuk,where
zus,experience
zuz,converse (talk)
zur,fall
zul,animal
vim,way/style
vin,fill (-full)
viq,everything
vig,start
vid,veer
vib,
vip,six
vit,information
vis,see
vif,
vix,preserve
vic,bit
ven,
veq,
veg,
ved,study or science of (-ology)
veb,byte
vep,
vek,filter
ves,vessel
vez,
vev,
vef,
vex,reveal
van,having the nature of (-ivity)
vad,
vab,vibe
vap,
vat,body
vak,multiply
vas,aspect
vaz,
vav,repeat
vax,it
var,variable
val,value
von,sin
voq,
vog,black
vod,void
vob,
vop,
vot,vote
voz,voice
vov,axis
vof,
vor,
vun,on
vuq,data
vud,
vut,
vus,flex
vuc,catch
vur,
vul,via
fim,female
fin,
fiq,
fig,
fid,next
fib,
fip,
fit,
fik,
fis,
fiz,
fiv,
fif,
fix,belief
fen,
feq,
feg,
fed,
feb,
fep,
fet,eight
fek,fake
fes,face
fez,
fev,
fef,
fex,
feC,
fam,family
fan,find
fad,
faz,green
far,
fal,
fom,
fon,device
foq,
fog,
fod,
fob,
fop,
fot,right (direction)
fok,halt
fos,else
foz,
fov,
fof,
for,fire
fun,within (endo-)
fuq,function
fug,figure (it out)
fup,borrow
fut,bad
fus,discontinuous
fuz,fusion
fuf,
fuj,refuge
fur,fail
ful,fuel
xim,speech
xin,machine
xiq,will
xig,
xid,grey
xib,
xip,imagine
xit,provide
xiv,destroy
xif,
xic,eye
xen,result
xed,should
xep,
xes,
xev,
xef,
xam,chime
xab,seven
xat,or
xax,eternal
xar,
xal,share
xom,now
xok,copy
xol,show
xum,sky
xun,change
xud,quiet
xup,ship
xut,shout
xuv,return
xul,subtract
jin,paradise
jit,digit
jet,throw
jan,spirit
jaq,count
jak,wisdom
jas,just (close-focus)
jom,pattern
jul,universe
Ciz,kaledoscope
Cev,without
Cef,
Can,than/compare
Cas,thus
Car,there (abstract reference)
Con,transition
Cog,though/regard
Coz,except
ciq,thing (hatchling)
cit,get
cam,then
cad,life
cat,mud
cak,thank
cok,spec
cov,brown
cub,torture
cuk,eleven
cuv,field (ether)
cux,key
yin,north
yiq,impermanent
yig,
yib,
yip,
yit,night
yif,
yix,something
yem,yum (food)
yen,
yeq,
yeg,
yed,
yeb,
yep,
yek,
yes,
yez,
yev,sort
yef,
yam,day
yan,vehicle
yaq,permanent
yad,away
yap,yep
yat,way
yaj,measure
yar,year
yal,turquoise
yoq,
yog,practice of focusing on x (-ism)
yob,
yop,
yoz,
yov,of
yof,
yor,
yol,yell
yut,yet
yuk,black
yuz,use
yuv,view
yuc,with (con-)
yur,
yul,polynomial
rim,
rin,run
riq,
rig,
rid,read
rib,ribbit
rip,rich
rit,soil
rik,up
ris,express
riz,rise
riv,to/arrive
rif,close (near)
rix,
riC,algorithm
ric,straight
ren,rain
req,
reg,edit
red,red
reb,
rep,
ret,after
rek,
res,
rez,
rev,
ref,success
rex,array
reC,progress
ram,dark
ran,frog
raq,wrong
rag,
rad,
rab,ride
rap,wrap
rat,write
rak,rock
ras,in
raz,resonate
rav,particle
raf,reference
rax,
raj,range
raC,rhythm
rar,rare
ral,raw
ron,environment
roq,
rog,east
rod,
rob,
rop,
rot,false
ros,force
roz,rose
rov,copper
rof,
ror,
rol,cycle
rum,realm
run,glyph
ruq,
rug,this
rud,update
rub,logarithm
rup,right (time)
rut,
ruk,location
rus,
ruz,consonant
ruv,local
ruf,
rur,
rul,rule (in system)
lim,
lin,learn
liq,simulate
lig,square root
lid,lead
lib,
lip,chain
lit,light
lik,link
liz,
liv,
lif,leaf
lij,orient
lem,low
lep,push
lek,collect
les,air
lev,
lef,
leC,point
lam,real
lan,land
laq,object feature type
lag,organ (body)
lad,yellow
lap,
lat,grey
lak,like
las,
laz,very much of (-some)
lav,love
laf,four
lax,add
lar,
lal,y-axis
lom,plural (many)
lon,loan
log,permute
lod,load
lob,error
lot,lot (land)
lok,place (space location)
los,less of (-less) empty
lox,string (computing)
lor,lord
lum,branch
lun,moon
luq,question
lud,
lup,loop
lut,south
luk,look
lus,
luv,
luf,far (large-distance-focus)
luj,logic
lur,
lul,
wim,bounty
win,when (time location)
wiq,wing
wig,kaleidoscope
wib,
wip,white
wis,inverse
wiz,solve
wiv,connection network (neighborhood)
wif,
wem,warm
wen,
weg,
wed,
web,west
wep,
wet,wait
wek,week
wes,
wez,fifteen
wev,wave
wef,
wan,why
waq,um
wad,
wat,white
wak,walk
was,
wav,exist
waC,water
war,wear
wal,while
wom,well (good)
wob,
woz,problem
wof,
wor,forceful (like hard hit)
wol,wow
wum,swim
wun,woo
wug,emanate
wut,what
wux,system
wur,
grim,
grin,
griq,
grig,
grid,
grib,
grit,hello
griz,
griv,grieve
grif,
grem,grim
gren,
greq,
greg,
gred,grade (score)
grep,grape
gret,
gres,guess
grez,
grev,
gref,
grex,
gram,gram (measure)
gran,
graq,
grad,grid
grap,issue
grat,
gras,grass
graz,
grav,graviton
grax,
grac,jaw
gral,foot
grom,
gron,
groq,lion
grog,
grod,
grob,
groz,
grov,
grof,
grox,
gror,growl
grum,row
grun,grow
gruq,
grud,
grup,group (math)
grut,grit (strength)
gruz,
gruv,rub
gruf,
grux,
glim,
glin,
gliq,
glig,
glid,
glib,
glip,lip
glit,
glik,
gliz,
gliv,
glif,
glix,
glem,
glen,gluon
gleq,
gleg,
gled,lay
gleb,
glep,
glet,gate
glek,
glez,10^4
glev,
glef,
glex,
glam,
glan,glide
glaq,
glag,
glad,
glab,
glap,
glat,
glak,
glaz,
glav,glove
glaf,
glax,
glom,
glon,
gloq,
glog,
glod,
glob,planet
glop,
glot,goat
glok,your
gloz,
glov,
glof,
glox,
gloj,
gloC,
gloc,
glor,glare
glum,
glun,
gluq,
glug,
glud,
glub,
glup,
glut,
gluk,lick
gluz,
gluv,
gluf,
glux,
djim,
djin,gene
djiq,
djig,
djid,
djib,
djip,over
djit,
djik,
djiz,jeez
djiv,
djif,
djix,
djij,
djiC,
djic,
djem,
djen,
djeq,
djeg,
djed,
djeb,
djep,
djet,
djek,reject
djez,
djev,
djef,
djex,
djej,
djeC,
djec,
djam,jam
djan,
djaq,
djag,
djad,
djab,
djat,deal
djak,fingernail
djas,justice
djaz,joy
djav,
djaf,
djax,
djaj,
djaC,
djac,
djom,
djon,
djoq,
djog,
djod,
djob,
djop,
djot,
djok,joke
djoz,
djov,
djof,
djox,
djoj,
djoC,
djoc,
djum,
djun,
djuq,
djug,
djud,jew
djub,
djup,
djut,
djuk,
djus,juice
djuz,
djuv,
djuf,
djux,
djuj,
djuC,
djuc,
djul,jewel
drim,dream
drin,
driq,
drig,degree
drid,
drib,10^6
drit,
drik,
driz,
driv,fate
drif,
drix,direction
drem,
dren,
dreq,
dreg,drag
dred,
dreb,
drep,
dret,
drek,
drez,
drev,
dref,definite
drex,hyphen
drej,
drec,
dram,human
dran,
draq,
drag,
drad,put
drab,
drap,drop
drat,
drak,harm
draz,
drav,candela (measurement)
draf,
drax,
draj,
draC,
drac,
dral,dry
drom,
dron,drone (sound)
droq,
drog,
drod,
drob,
drop,
drot,
droz,enter
drov,multicellular life
drof,
drox,
drum,drum
drun,
druq,
drug,
drud,
drub,
drup,d sound
drut,electricity
drus,radius
druz,
druv,
druf,
drux,
drul,drool
brim,
brin,
briq,bring
brig,insecta
brid,
brip,beep
brit,orbit
briz,simple
briv,
brif,brief
brix,
brem,
bren,brain
breq,
bred,braid
breb,
bret,
brek,break (pieces)
brez,
brev,brave
bref,
brex,
bram,
bran,
braq,
brad,
brat,big
brak,bacteria
braz,box
brav,
brax,
bral,ball
brom,
bron,
broq,membrane
brog,
brod,bone
brob,decimal
broz,
brov,
brof,
brox,
brol,brow
brum,
brun,
bruq,
brud,
brub,
bruk,beak
bruz,buzz
bruv,
bruf,
brux,
blim,beam
blin,belly
bliq,
blig,
blid,
blib,
blip,
blit,
blik,
bliz,our
bliv,
blif,
blix,
blem,
blen,
bleq,eject
bleg,
bled,
bleb,
blep,
blet,bait
blek,
blez,
blev,
blef,
blex,
blam,
blan,
blaq,
blag,
blad,
blab,blob
blap,
blat,
blak,
blaz,
blav,
blaf,
blax,
blom,
blon,
bloq,
blog,
blod,
blob,
blop,
blot,
blok,
bloz,boson
blov,
blof,blow
blox,
bloj,
bloC,blood
bloc,
blor,blur
blum,bloom
blun,
bluq,
blug,
blud,
blub,
blup,
blut,butt
bluk,
bluz,
bluv,
bluf,
blux,
prim,prime (primative)
prik,opaque
priz,
priv,
pred,
pres,pressure
prez,
prev,
prex,precious
pram,primordial
pran,
prag,pig
prad,
prab,probable
prat,apart
pras,press (force)
praz,prize
prav,
prax,ash
prod,
prot,proton
proz,for/purpose
prov,
pruk,pick
pruz,
pruv,prove
plim,
plin,discipline
pliq,
plig,
plid,
plib,
plip,
plit,
plik,
pliz,please
pliv,
plif,
plix,
plem,
plen,plane (geometry)
pleq,
pleg,plague
pled,
pleb,
plep,plop
plet,plate
plek,their
plez,
plev,
plef,
plex,
plam,
plan,plan
plaq,
plag,
plad,
plab,
plap,glottal stop
plat,
plak,pluck
plas,compassion
plaz,
plav,
plaf,
plax,accomplish
plar,play
plom,
plon,pion
ploq,
plog,
plod,implode
plob,
plop,
plot,
ploz,
plov,
plof,
plox,
plum,
plun,
pluq,
plug,
plud,pound (measure)
plub,
plup,poop
plut,
pluz,
pluv,
pluf,
plux,
txim,
txin,teen
txiq,
txig,
txid,
txib,
txip,
txit,
txik,
txiz,
txiv,
txif,
txix,
txij,
txiC,
txic,
txem,
txen,
txeq,q sound
txeg,
txed,
txeb,
txep,
txet,shit
txek,
txes,chase
txez,
txev,
txef,
txex,
txej,
txeC,
txec,
txam,
txan,
txaq,
txag,
txad,
txab,
txap,chip
txat,
txak,check
txaz,100
txav,
txaf,
txax,
txaj,
txaC,
txac,
txal,shell
txom,
txon,
txoq,
txog,
txod,
txob,
txop,
txot,loose
txok,
txoz,
txov,
txof,
txox,
txoj,
txoC,
txoc,
txor,saturate
txum,tissue
txun,sneeze
txuq,
txug,
txud,
txub,
txup,
txut,chew
txuk,
txuz,choose
txuv,
txuf,
txux,
txuj,
txuC,
txuc,
txul,actual
trim,
trin,neutrino
triq,
trid,vowel i sound
trik,trick
tris,interest
triz,
triv,
trix,
trij,treasure
trem,
tren,
treq,
treg,
tred,trade
treb,
tret,trait
tres,trace
trez,
trev,
trex,
tram,
tran,
traq,triangle
trag,10^42
trad,west
trab,tribe
trap,trap
trat,tight
trak,track (path)
tras,torus
traz,
trav,
traf,
trax,
trom,spectrum
tron,
troq,
trod,
troz,
trov,
trof,
trox,
trum,
trun,
truq,
trud,
truz,
truv,
trux,
kriq,care
krid,liquid
kriz,
kriv,
krem,chemical
kred,credit
krep,crypto
kret,secret
krek,cake
krez,
krev,crave
kran,
kraq,ring (sound)
krag,node
krad,
krak,crack
kras,cross
kraz,
krav,
kraf,comfort
krax,crash
krom,ohm (measurement)
krot,right (vs. wrong)
krok,croak
kroz,
krov,
krol,cull
kruz,
klim,
klin,clean
kliq,k sound
klig,
klid,
klib,
klip,
klit,
klik,
klis,nucleus
kliz,
