term              context      role          uses  head
----------------  -----------  ------------  ----  ----
a                              determiner       4     0
abandon                        verb             1     1
able                           adjective       42    24
about                          preposition      8     6
above                          adjective       19     4
abroad                         adverb           0     0
absence                        noun             0     0
absense                        noun             0     0
absent                         adjective        0     0
absolute                       adjective        2     0
absorb                         verb             4     4
abstain                        noun             1     1
abstract                       adjective        0     0
absurd                         adjective        1     0
abundant                       adjective        2     0
accelerate                     verb             1     1
accent                         verb             1     1
accept                         verb            10     4
access                         verb             3     2
accident                       noun             3     2
accompany                      verb             0     0
accord                         verb             0     0
account                        verb             2     2
accumulate                     verb             0     0
accurate                       adjective        0     0
accuse                         verb             5     2
ache                           verb             3     3
achieve                        verb             5     3
acid                           noun             8     7
acquire                        verb             2     1
across                         preposition     15     5
act                            verb           151   145
actual                         adjective        0     0
adapt                          verb             0     0
add                            verb            27     5
addict                         noun             1     1
address                        verb             0     0
adequate                       adjective        2     0
adhesive                       adjective        1     0
adjacent                       adjective        0     0
adjust                         verb             4     3
admin                          noun             1     0
administer                     verb             0     0
admire                         noun             0     0
admit                          verb             1     0
adopt                          verb             0     0
adult                          adjective        2     1
advance                        verb             6     1
advantage                      noun             3     1
adventure                      noun             1     0
advice                         noun             4     4
advise                         verb             0     0
affair                         noun             0     0
affect                         verb             3     2
affix                          verb             0     0
afford                         verb             0     0
afraid                         adjective        0     0
after                          preposition     34     7
afterward                      noun             0     0
again                          adverb         258    47
against                        adjective       53     9
age                            verb            17    15
agent                          noun            18    18
aggregate                      verb             0     0
aggressive                     adjective        1     0
ago                                             0     0
agree                          verb            22    18
ahead                          adjective        7     5
aid                            verb            13    11
aim                            verb             7     6
air                            verb            86    26
alcohol                        noun             6     6
alert                          adjective        3     0
algorithm                      noun             0     0
alien                          noun             1     0
align                          verb             4     4
alike                          adjective        2     2
alive                          adjective        2     2
all                            adjective       18     3
allergy                        noun             3     3
allocate                       verb             0     0
allow                          verb            21    10
alloy                          noun             4     4
allure                         noun             3     0
almost                         adverb           2     0
alone                          adjective       10     4
along                          preposition      5     5
already                        adverb           0     0
also                           adverb           0     0
alter                          verb             1     1
alternate                      adjective        0     0
although                       conjunction      0     0
altitude                       noun             1     0
always                         adverb           7     1
amaze                          verb             8     1
ambiguous                      adjective        0     0
among                          preposition      3     0
amount                         noun            70    67
amp                            noun             1     1
amplitude                      noun             0     0
amuse                          verb             3     0
analyze                        verb             0     0
ancient                        adjective        5     0
and                            conjunction      3     0
anesthetic                     adjective        1     1
angel                          noun             1     0
anger                          verb            11     9
angle                          noun            30    23
animate                        verb             2     0
ankle                          noun             0     0
announce                       verb             3     1
annoy                          verb             6     2
another                        determiner       0     0
answer                         verb            17    14
ant                            noun             2     0
anti                           noun             6     0
anticipate                     verb             0     0
antler                         noun             0     0
anus                           noun             1     1
anxious                        adjective        2     1
any                            determiner       5     0
apart                          adverb          37    33
apparatus                      noun             0     0
apparent                       adjective        1     0
appear                         verb             9     8
appendix                       noun             2     0
applause                       noun             1     1
apple                          noun             0     0
application                    noun             2     2
appoint                        verb             0     0
appreciate                     verb             1     0
approach                       verb             3     1
appropriate                    adjective        0     0
approve                        verb             6     6
approximate                    adjective        0     0
arc                            noun             3     3
arch                           verb             2     1
area                           noun           137   127
arena                          noun             1     0
argue                          verb             7     4
arithmetic                     noun             0     0
arm                            verb            19     9
army                           noun             2     1
aromatic                       adjective        1     0
around                         preposition     46    34
arouse                         verb             0     0
arrange                        verb            19    11
arrive                         verb             6     6
arrogant                       adjective        1     0
arrow                          noun             1     1
arson                          noun             1     0
art                            noun            27    17
artery                         noun             2     1
artifact                       noun             0     0
artificial                     adjective        1     0
as                             preposition      5     1
ascend                         verb             0     0
ash                            noun             3     2
ashame                         noun             1     1
ask                            verb            21    10
asleep                         adjective        0     0
aspect                         noun             1     1
assail                         verb             1     1
assault                        noun             1     1
assemble                       verb             0     0
assess                         verb             3     1
assign                         verb             4     2
associate                      verb             1     0
assume                         verb             3     0
assurance                      noun             2     1
at                             preposition     11     9
athlete                        noun             1     1
atmosphere                     noun             1     0
atom                           noun             7     5
attach                         verb             4     0
attack                         verb            21    14
attempt                        verb             1     1
attend                         verb             1     0
attention                      noun             4     4
attentive                      adjective        1     1
attitude                       noun             4     4
attract                        verb             7     1
attribute                      verb             0     0
audio                          noun             0     0
aunt                           noun             0     0
author                         noun             4     3
automatic                      adjective        3     0
autumn                         noun             0     0
available                      adjective        0     0
average                        adjective        4     1
aversion                       noun             1     0
avoid                          verb             6     1
await                          verb             1     0
awake                          adjective        3     3
award                          verb             4     2
aware                          adjective        7     3
away                           adverb         119    80
awful                          adjective        1     0
awkward                        adjective        3     1
axe                            noun             4     4
axis                           noun             1     1
baby                           noun            16     7
back                           verb           151   104
bacteria                       noun             0     0
bad                            adjective      172    19
badge                          noun             1     1
bag                            noun            24    21
bait                           noun             0     0
bake                           verb             3     1
balance                        verb             7     2
ball                           noun            16    16
balloon                        noun             1     0
balm                           noun             2     2
ban                            verb             1     1
banana                         noun             1     0
band                           verb            13     8
bandit                         noun             1     0
bank              money        verb             4     2
baptism                        noun             2     2
bar                            verb            11     6
barbecue                       noun             1     0
bare                           adjective        5     2
bark              tree         verb             4     4
barley                         noun             1     0
barrel                         noun             0     0
barrier                        noun             4     4
base                           verb            27    24
basin                          noun             0     0
basis                          noun             1     1
basket                         noun             3     1
bat               animal       noun             3     1
bath                           noun             3     2
bathe                          verb             0     0
battery                        noun             0     0
battle                         verb            10     5
bay                            noun             2     2
be                             verb            45    30
beach                          noun             0     0
bead                           noun             1     1
beak                           noun             0     0
beam                           noun             8     7
bean                           noun             2     0
bear              animal       verb            19    13
beard                          noun             0     0
beast                          noun             3     3
beat                           verb            16     7
beauty                         noun            11     8
because                        conjunction      0     0
become                         verb             5     0
bed                            noun            36    15
bee                            noun            15     1
beech                          noun             4     1
beef                           verb             2     0
beer                           noun             1     0
beet                           noun             1     0
before                         conjunction     74     5
beg                            verb             2     1
begin                          verb            19     4
behave                         verb             0     0
behind                         adjective        6     3
believe                        verb            39    35
bell                           noun             9     3
belong                         verb             2     0
belove                         noun             1     0
below                          adjective       37     0
belt                           verb             2     0
bend                           verb            32    12
beneath                        adjective        1     0
beneficial                     adjective        0     0
benefit                        verb             5     5
berry                          noun             2     2
beside                         adjective        4     0
besides                        preposition      0     0
bet                            verb             3     1
between                        preposition     37     3
bewilder                       verb             1     0
beyond                         adjective       26     4
bias                           verb             4     3
bible                          noun             1     1
bicycle                        noun             0     0
bid                            verb             1     0
big                            adjective      121     9
bill                           noun             0     0
binary                         adjective        0     0
bind                           verb            15    11
bird                           noun            33    17
birth                          noun            21    13
bit                            verb             9     9
bite                           verb            11     7
bitter                         adjective        5     1
black                          adjective        6     2
bladder                        noun             1     0
blade                          noun            11     9
blame                          verb            14    11
bland                          adjective        0     0
blanket                        noun             1     1
blast                          verb             4     0
blaze                          noun             2     2
bleed                          verb             3     1
blemish                        noun             1     1
blend                          verb             9     4
bless                          verb             3     1
blind                          adjective        1     1
blink                          verb             1     1
block                          verb            39    20
blog                           noun             1     1
bloom                          noun             3     2
blot                           noun             1     0
blow                           verb            12     3
blue                           adjective        1     1
blunt                          adjective        1     1
blur                           verb             0     0
board                          verb            13    13
boat                           verb            16     8
bob                            noun             2     0
body                           noun           109    48
boil                           verb             7     3
bold                           adjective       13     6
bolt                           noun             2     1
bomb                           verb             5     3
bond                           verb            12    11
bone                           verb            26    20
bonus                          noun             1     0
book                           verb            45    24
boot                           verb             1     0
border                         verb            12     1
bore              dig          verb             3     0
bore              tedium       verb             3     0
born                           verb             0     0
borrow                         verb             1     0
boss                           noun             2     2
both                           determiner       4     1
bottle                         verb             1     0
bottom                         adjective       12     4
bounce                         verb             6     2
bow                            noun             6     5
bowel                          noun             2     1
bowl                           noun             6     4
box                            verb            58    49
boy                            noun             5     4
brace                          noun             2     2
brag                           noun             1     0
braid                          noun             1     0
brain                          noun            17     4
brake                          verb             0     0
branch                         verb             4     3
brand                          verb             2     1
brave                          adjective       12     2
bread                          noun            14     6
break                          verb            79    34
breast                         noun            10     0
breath                         noun            29    14
breathe                        verb            11     6
breed                          verb             3     2
breeze                         noun             2     1
bribe                          verb             1     1
brick                          noun             3     1
bride                          noun             2     1
bridge                         verb             0     0
brief                          adjective        9     5
bright                         adjective       28    11
bring                          verb            55     8
brittle                        noun             0     0
broad                          adjective        4     0
broken                         adjective        0     0
brother                        noun             7     1
brown                          adjective        2     1
browse                         noun             0     0
bruise                         verb             1     0
brush                          verb             3     2
bubble                         verb            15     8
bucket                         noun             0     0
buddy                          noun             3     1
bug                            noun            20    15
build                          verb            52    35
bulb                           noun             0     0
bulge                          noun             4     2
bull                           noun             2     0
bullet                         noun             0     0
bump                           verb             7     6
bun                            noun             1     1
bunch                          noun             6     6
bundle                         verb             3     3
burden                         verb             3     2
burn                           verb            32     9
burp                           verb             1     0
burrow                         noun             1     0
burst                          verb            17     7
bury                           verb             7     0
bush                           noun             4     2
but                            conjunction      0     0
butter                         noun             0     0
buy                            verb            12     7
buzz                           verb             3     0
by                             preposition     18     3
cabbage                        noun             1     0
cable                          noun             2     0
cage                           verb             0     0
cake                           verb             8     7
calculate                      verb             2     1
calendar                       noun             2     0
call                           verb            27    14
calm                           adjective       33     6
camera                         noun             8     6
camp                           verb             4     3
can               able         verb            16     2
cancel                         verb             5     1
candle                         noun             2     1
candy                          noun             3     2
canvas                         noun             0     0
canyon                         noun             0     0
cap                            verb             7     6
capacity                       noun             0     0
capital                        noun             0     0
captain                        noun             1     1
captive                        adjective        1     1
capture                        verb             8     6
car                            noun            26    12
carbon                         noun            11     9
card                           verb             3     1
care                           verb            53    34
carry                          verb            30    13
cart                           noun             8     5
carve                          verb             5     1
case                           noun            32    30
cast                           verb             7     5
castle                         noun             0     0
casual                         adjective        1     0
cat                            noun             6     4
catalog                        verb             0     0
catalyst                       noun             0     0
catch                          verb            32    14
category                       noun             1     1
cattle                         noun             2     0
caulk                          verb             1     1
cause                          verb            50    17
caution                        verb             1     0
cautious                       adjective        3     0
cave                           verb             5     1
cease                          verb             2     1
ceiling                        noun             0     0
celebrate                      verb             1     0
cell                           noun            31    20
cement                         noun             0     0
cent                           noun             0     0
center                         verb            21    10
centimeter                     noun             0     0
central                        adjective        3     0
century                        noun             0     0
ceramic                        adjective        1     1
cereal                         noun             2     1
ceremony                       noun             5     3
certain                        adjective        5     0
certificate                    noun             1     0
chain                          verb            12     8
chair                          verb             1     1
chalk                          noun             0     0
challenge                      verb             6     4
chamber                        noun             8     6
champion                       noun             1     1
chance                         noun            25    19
change                         verb           152    86
channel                        verb             3     3
chant                          verb             1     1
chaos                          noun             2     1
chaotic                        adjective        1     0
char                           noun             1     0
character                      noun             9     8
charge                         verb            19    16
charm                          verb            12     6
chart                          verb             7     5
chase                          noun             3     1
chat                           verb             6     5
cheap                          adjective        0     0
cheat                          verb             4     0
check                          verb            30    17
cheek                          noun             1     0
cheer                          verb             3     1
cheese                         noun             0     0
chemical                       adjective       11     4
chemistry                      noun             2     2
chest                          noun             8     2
chew                           verb             4     2
chick                          noun             1     0
chief                          adjective       10     3
child                          noun            37    24
chimney                        noun             0     0
chin                           noun             0     0
chip                           verb             4     3
chocolate                      noun             0     0
choir                          noun             1     0
choke                          noun             1     0
choose                         verb            13     4
chop                           verb             3     2
chronic                        adjective        1     0
chuckle                        noun             1     0
chunk                          noun             1     1
church                         noun             6     5
chute                          verb             1     1
cigarette                      noun             0     0
cinema                         noun             0     0
circle                         verb            28    10
circuit                        noun             0     0
circular                       adjective        0     0
citizen                        noun             1     0
city                           noun            12     6
civilize                       verb             1     1
claim                          verb            22    19
clamp                          noun             1     0
clan                           noun             1     0
clap                           verb             2     0
clarify                        verb             1     0
clarity                        noun             1     1
clash                          noun             6     4
clasp                          noun             1     1
class                          noun            18    14
clatter                        noun             1     0
clause                         noun             1     1
claw                           verb             1     0
clay                           noun             3     1
clean                          adjective       60    17
clear                          adjective       87    38
clerk                          noun             0     0
clever                         adjective        8     2
click                          verb             1     1
client                         noun             1     1
cliff                          noun             1     0
climate                        noun             1     1
climb                          verb            11     3
clip                           verb             1     1
clock                          noun             4     4
close                          adjective       52    28
clot                           noun             1     0
cloth                          noun            61    51
clothes                        noun             0     0
cloud                          verb             3     2
club                           verb             3     1
clue                           noun             2     2
clump                          noun             3     2
clumsy                         adjective        2     0
cluster                        noun             1     0
coarse                         adjective        0     0
coast                          noun             1     1
coat                           verb            14    12
cob                            noun             1     0
cock                           noun             1     0
code                           verb            19    15
coffee                         noun             1     1
coil                           noun             2     1
coin                           verb             1     1
cold                           adjective       22     4
collaborate                    verb             0     0
collapse                       verb             2     0
collar                         noun             1     1
collect                        verb             4     2
college                        noun             1     0
collide                        verb             0     0
colon                          noun             1     0
color                          verb            71    50
column                         noun             0     0
comb                           noun             1     1
combat                         verb             1     0
combine                        verb            17     2
come                           verb            27     5
comedy                         noun             2     1
comfort                        verb             9     3
command                        verb             6     4
commit                         verb             1     1
common                         adjective       16     0
commotion                      noun             2     2
communicate                    verb             0     0
community                      noun             2     0
company                        noun             3     2
compare                        noun             2     1
comparison                     noun             1     1
compass                        noun             0     0
compete                        verb             1     0
complacent                     adjective        1     0
complain                       verb             2     1
complaint                      noun             0     0
complete                       adjective       32    10
complex                        adjective        4     2
comply                         verb             1     1
component                      noun             0     0
compound                       verb             7     7
compress                       noun             1     0
compute                        verb             0     0
concentrate                    verb             0     0
concept                        noun             1     1
concern                        verb             2     2
concert                        noun             0     0
conclude                       verb             0     0
concrete                       adjective        0     0
condemn                        verb             1     0
condense                       verb             0     0
condition                      noun            32    30
conduct                        verb             5     5
cone                           noun             0     0
confess                        verb             1     0
confidence                     noun             0     0
confident                      adjective        0     0
confine                        noun             1     0
