term            parts                     how
--------------  ------------------------  --------
abstraction     abstract + act            affix
acceleration    accelerate + act          affix
accidental      accident + like           affix
accordance      accord + act              affix
accuracy        accurate + nature         affix
achievement     achieve + act             affix
action          act + act                 affix
active          act + like                affix
activist        active + agent            affix
activity        active + nature           affix
actor           act + agent               affix
adaptation      adapt + act               affix
addition        add + act                 affix
administration  administer + act          affix
admiration      admire + act              affix
advertisement   advertise + act           affix
agreement       agree + act               affix
allowed         allow + done              affix
ally            all + like                affix
angry           anger + like              affix
animal          animate + like            affix
annoyance       annoy + act               affix
appearance      appear + act              affix
appointment     appoint + act             affix
appreciation    appreciate + act          affix
approximately   approximate + manner      affix
archive         arch + like               affix
argument        argue + act               affix
armor           arm + agent               affix
armory          armor + like              affix
arousal         arouse + like             affix
arrangement     arrange + act             affix
artist          art + agent               affix
ascending       ascend + act              affix
ashamed         ashame + done             affix
assembly        assemble + like           affix
assist          as + agent                affix
associated      associate + done          affix
association     associate + act           affix
asymmetric      asymmetry + like          affix
asymmetry       asymmetric + like         affix
athletic        athlete + like            affix
attached        attach + done             affix
attendance      attend + act              affix
attraction      attract + act             affix
attractive      attract + like            affix
authority       author + nature           affix
autonomous      autonomy + like           affix
autonomy        autonomous + like         affix
awareness       aware + nature            affix
balanced        balance + done            affix
banner          ban + agent               affix
barren          bar + make                affix
basement        base + act                affix
basic           base + like               affix
bearing         bear + act                affix
beautiful       beauty + full             affix
beautify        beauty + make             affix
beginning       begin + act               affix
behavior        behave + agent            affix
belly           bell + like               affix
billion         bill + act                affix
blessing        bless + act               affix
bored           bore + done               affix
boredom         bore + state              affix
boring          bore + act                affix
bother          both + agent              affix
boundary        bound + like              affix
branching       branch + act              affix
brightness      bright + nature           affix
building        build + act               affix
bully           bull + like               affix
busy            bus + like                affix
canal           can + like                affix
candor          candy + agent             affix
careful         care + full               affix
catchy          catch + like              affix
celebration     celebrate + act           affix
centralize      central + make            affix
centralized     centralize + done         affix
charity         char + nature             affix
cheerful        cheer + full              affix
chicken         chick + make              affix
civilization    civilize + act            affix
classic         class + like              affix
classify        class + make              affix
closed          close + done              affix
closer          close + agent             affix
clothing        cloth + act               affix
cloudy          cloud + like              affix
collection      collect + act             affix
collective      collect + like            affix
colorful        color + full              affix
combination     combine + act             affix
comment         come + act                affix
commitment      commit + act              affix
committee       commit + target           affix
communication   communicate + act         affix
companion       company + act             affix
compassion      compass + act             affix
competition     compete + act             affix
completely      complete + manner         affix
compression     compress + act            affix
conditional     condition + like          affix
conductive      conduct + like            affix
conductor       conduct + agent           affix
connected       connect + done            affix
connection      connect + act             affix
conscience      conscious + act           affix
consciousness   conscious + nature        affix
consistent      consist + agent           affix
construction    construct + act           affix
container       contain + agent           affix
continuous      continue + like           affix
contraction     contract + act            affix
cooked          cook + done               affix
correlated      correlate + done          affix
cowardly        coward + manner           affix
creation        create + act              affix
creative        create + like             affix
curved          curve + done              affix
customer        custom + agent            affix
dangerous       danger + like             affix
darkness        dark + nature             affix
declaration     declare + act             affix
decoration      decorate + act            affix
deduction       deduce + act              affix
defeated        defeat + done             affix
definition      define + act              affix
delayed         delay + done              affix
delivery        deliver + like            affix
density         dense + nature            affix
department      depart + act              affix
dependent       depend + agent            affix
derivation      derive + act              affix
derived         derive + done             affix
descending      descend + act             affix
desirable       desire + able             affix
destination     destiny + act             affix
development     develop + act             affix
devotion        devote + act              affix
digestion       digest + act              affix
digital         digit + like              affix
direction       direct + act              affix
disabled        disable + done            affix
discussion      discuss + act             affix
display         displace + like           affix
disrespectful   disrespect + full         affix
distributed     distribute + done         affix
distribution    distribute + act          affix
diversity       diverse + nature          affix
documentary     document + like           affix
doubtful        doubt + full              affix
easy            ease + like               affix
education       educate + act             affix
effective       effect + like             affix
election        elect + act               affix
electricity     electric + nature         affix
elevation       elevate + act             affix
eleven          elevate + make            affix
employee        employ + target           affix
employer        employ + agent            affix
enabled         enable + done             affix
endurance       endure + act              affix
engineer        engine + agent            affix
entity          entice + like             affix
entrance        entry + act               affix
entry           enter + like              affix
equality        equal + nature            affix
exactly         exact + manner            affix
exception       except + act              affix
excessive       excess + like             affix
excited         excite + done             affix
exhaustion      exhaust + act             affix
existence       exist + act               affix
expectation     expect + act              affix
expression      express + act             affix
factory         factor + like             affix
fairness        fair + nature             affix
fairy           fair + like               affix
faithful        faith + full              affix
farmer          farm + agent              affix
fasten          fast + make               affix
faster          fast + agent              affix
featuring       feature + act             affix
feeling         feel + act                affix
fertilize       fertile + make            affix
fibrous         fiber + like              affix
filthy          filth + like              affix
finance         fin + act                 affix
finish          fin + like                affix
fisher          fish + agent              affix
fixed           fix + done                affix
flatter         flat + agent              affix
flexible        flex + able               affix
floater         float + agent             affix
follower        follow + agent            affix
foolish         fool + like               affix
forbidden       forbid + make             affix
forced          force + done              affix
forceful        force + full              affix
foreigner       foreign + agent           affix
former          form + agent              affix
fortify         fort + make               affix
foundation      found + act               affix
freedom         free + state              affix
friendly        friend + manner           affix
frighten        fright + make             affix
fruitful        fruit + full              affix
funny           fun + like                affix
furious         fur + like                affix
generalize      general + make            affix
generation      generate + act            affix
generator       generate + agent          affix
generous        generate + like           affix
giver           give + agent              affix
government      govern + act              affix
graceful        grace + full              affix
grainy          grain + like              affix
gravity         grave + nature            affix
gray            grate + like              affix
greater         great + agent             affix
greedy          greed + like              affix
guilty          guilt + like              affix
hairy           hair + like               affix
handy           hand + like               affix
happen          happy + make              affix
harden          hard + make               affix
harmful         harm + full               affix
hazy            haze + like               affix
header          head + agent              affix
healthy         health + like             affix
helper          help + agent              affix
heroic          hero + like               affix
hesitant        hesitate + agent          affix
higher          high + agent              affix
holder          hold + agent              affix
honesty         honest + like             affix
hopeful         hope + full               affix
humanity        human + nature            affix
humidity        humid + nature            affix
hungry          hunger + like             affix
hunter          hunt + agent              affix
hurtful         hurt + full               affix
identifier      identify + agent          affix
ignorant        ignore + agent            affix
illness         ill + nature              affix
imaginary       imagine + like            affix
imagination     imagine + act             affix
imitation       imitate + act             affix
infection       infect + act              affix
inferior        infer + agent             affix
informal        inform + like             affix
information     inform + act              affix
inheritance     inherit + act             affix
initial         initiate + like           affix
injury          injure + like             affix
inner           inn + agent               affix
inquiry         inquire + like            affix
instruction     instruct + act            affix
insulating      insulate + act            affix
insulator       insulate + agent          affix
integrity       integer + nature          affix
intensity       intense + nature          affix
intention       intent + act              affix
intentional     intention + like          affix
interesting     interest + act            affix
interpretation  interpret + act           affix
investigation   investigate + act         affix
irony           iron + like               affix
jealousy        jealous + like            affix
justify         just + make               affix
keeper          keep + agent              affix
keeping         keep + act                affix
kingdom         king + state              affix
lacking         lack + act                affix
larger          large + agent             affix
lawful          law + full                affix
layer           lay + agent               affix
leader          lead + agent              affix
learner         learn + agent             affix
legacy          leg + nature              affix
lengthen        length + make             affix
lessen          less + make               affix
lesser          less + agent              affix
lighten         light + make              affix
likely          like + manner             affix
liter           lice + agent              affix
liver           live + agent              affix
living          live + act                affix
location        locate + act              affix
logic           log + like                affix
lonely          lone + manner             affix
lower           low + agent               affix
lustful         lust + full               affix
lyric           lyre + like               affix
magician        magic + agent             affix
magnetic        magnet + like             affix
magnetism       magnet + practice         affix
maker           make + agent              affix
manager         manage + agent            affix
manner          man + agent               affix
many            man + like                affix
meaning         mean + act                affix
mechanism       mechanic + practice       affix
memorize        memory + make             affix
metric          meter + like              affix
microscopic     microscope + like         affix
migration       migrate + act             affix
mission         miss + act                affix
mixed           mix + done                affix
modify          mode + make               affix
mostly          most + manner             affix
motivation      motive + act              affix
multiply        multiple + like           affix
musician        music + agent             affix
necessity       necessary + nature        affix
nested          nest + done               affix
noisy           noise + like              affix
notion          not + act                 affix
objective       object + like             affix
obligation      oblige + act              affix
observation     observe + act             affix
obsession       obsess + act              affix
occasional      occasion + like           affix
occupied        occupy + done             affix
occurrence      occur + act               affix
offering        offer + act               affix
officer         office + agent            affix
older           old + agent               affix
oneness         one + nature              affix
opening         open + act                affix
operation       operate + act             affix
optional        option + like             affix
ordinal         ordinary + like           affix
organic         organ + like              affix
organism        organ + practice          affix
organization    organ + act               affix
organize        organ + make              affix
organized       organize + done           affix
