term,why
chemistry,a discipline, which is a field plus study
ecology,a discipline, which is a field plus study
geometry,a discipline, which is a field plus study
grammar,a discipline, which is a field plus study
history,a discipline, which is a field plus study
medicine,a discipline, which is a field plus study
surgery,a discipline, which is a field plus study
carbon,chemical element
hydrogen,chemical element
lead,chemical element
nitrogen,chemical element
silver,chemical element
sulfur,chemical element
tin,chemical element
artery,clinical or taxonomic jargon
atom,clinical or taxonomic jargon
cell,clinical or taxonomic jargon
fungus,clinical or taxonomic jargon
gene,clinical or taxonomic jargon
mammal,clinical or taxonomic jargon
molecule,clinical or taxonomic jargon
nucleus,clinical or taxonomic jargon
organ,clinical or taxonomic jargon
reptile,clinical or taxonomic jargon
testis,clinical or taxonomic jargon
tissue,clinical or taxonomic jargon
vein,clinical or taxonomic jargon
virus,clinical or taxonomic jargon
algorithm,modern technology, may not last
battery,modern technology, may not last
camera,modern technology, may not last
engine,modern technology, may not last
film,modern technology, may not last
motor,modern technology, may not last
radio,modern technology, may not last
robot,modern technology, may not last
rocket,modern technology, may not last
television,modern technology, may not last
video,modern technology, may not last
march,named after a person or place
may,named after a person or place
sandwich,named after a person or place
vulcanise,named after a person or place
acid,named molecule or drug
alcohol,named molecule or drug
acetone,not a candidate, parked for the record
acre,not a candidate, parked for the record
adrenaline,not a candidate, parked for the record
advil,not a candidate, parked for the record
aids,not a candidate, parked for the record
aldehyde,not a candidate, parked for the record
alkali,not a candidate, parked for the record
alkane,not a candidate, parked for the record
alkene,not a candidate, parked for the record
alkyne,not a candidate, parked for the record
aluminum,not a candidate, parked for the record
amide,not a candidate, parked for the record
amine,not a candidate, parked for the record
ammonia,not a candidate, parked for the record
ampere,not a candidate, parked for the record
antibody,not a candidate, parked for the record
antigen,not a candidate, parked for the record
antimony,not a candidate, parked for the record
api,not a candidate, parked for the record
argon,not a candidate, parked for the record
arsenic,not a candidate, parked for the record
aspirin,not a candidate, parked for the record
atp,not a candidate, parked for the record
band-aid,not a candidate, parked for the record
barium,not a candidate, parked for the record
benzene,not a candidate, parked for the record
beryllium,not a candidate, parked for the record
bismuth,not a candidate, parked for the record
boron,not a candidate, parked for the record
bromine,not a candidate, parked for the record
byte,not a candidate, parked for the record
cadmium,not a candidate, parked for the record
caffeine,not a candidate, parked for the record
calcium,not a candidate, parked for the record
calorie,not a candidate, parked for the record
carbohydrate,not a candidate, parked for the record
carbonate,not a candidate, parked for the record
cellulose,not a candidate, parked for the record
celsius,not a candidate, parked for the record
