word,meaning
mix,network
mej,model
man,mind
map,map (map/reduce)
mod,mode
moz,hash
mox,immutable
niz,nest (structure)
ned,static
git,infinite
gik,user
giz,position
gad,god
gul,exponent
dig,sine
dip,tree
dis,number
det,datetime stamp/instance in time
dez,dynamic
dus,reduce
bip,output
bes,base
bad,tangent (math)
boz,private
bov,debug
bug,cosine
pop,property (of object)
tiz,ellipse
tok,structure
toz,position (cardinal)
tuq,type
tuv,input (computing)
kiq,action
kiz,if
kix,process
kaq,object
kar,call
kod,code
kop,scope
koz,z-axis
kof,default
kub,cube
kus,constant
kuv,divide
hoz,cardinal number
hov,floating point
hub,x-axis
sor,file (computer)
sut,store
zip,graph
zab,public
zaf,equal (iso-)
zus,experience
vit,information
vic,bit
veb,byte
vek,filter
val,value
vod,void
vov,axis
fos,else
fuq,function
xin,machine
xuv,return
cam,then
cux,key
yev,sort
rex,array
reC,progress
raf,reference
raj,range
rot,false
rol,cycle
lik,link
leC,point
lam,real
lal,y-axis
lum,branch
lup,loop
wal,while
wux,system
grad,grid
krag,node
klak,clock
skar,square
skal,scale
skor,score
fret,frame
mask,mask
nord,order
padj,edge
kurv,curve
salk,circle
sutx,set (math)
fold,fold
reqk,rank
list,list
last,last
