kind,word,shape,group,makes,applies,gloss,test,examples
act,,,phase,thing,action,"the bare doing, no bounds in view",the X of it by them,"building, reading, hunting, telling"
process,kix,CVC,phase,thing,action,the doing unfolding through stages,the X took three hours,"digestion, erosion, negotiation, decay"
event,hap,CVC,phase,thing,action,one bounded countable occurrence,an X happened,"explosion, wedding, eclipse, collision"
result,xen,CVC,phase,thing,action,the state of affairs it leaves,the X was total,"destruction, improvement, connection, ruin"
product,,,phase,thing,action,the made object it leaves,the X is on the table,"painting, translation, invention, brew"
state,dom,CVC,phase,thing,action,the condition of being in or after it,the X lasted,"sleep, ownership, bankruptcy, exile"
attempt,,,phase,thing,action,"the trying, success not implied",the X failed,"bid, application, approach, venture"
habit,,,phase,thing,action,the repeated doing as a disposition,he has a X for it,"leaning, weakness, streak, bent"
start,vig,CVC,phase,thing,action,its beginning,at the X of it,"outbreak, onset, launch, dawn"
finish,,,phase,thing,action,its ending,at the X of it,"close, expiry, finale, sunset"
stage,,,phase,thing,action,one step inside the process,the third X,"phase, round, leg, step"
cycle,rol,CVC,phase,thing,action,the recurring round of it,one full X,"season, orbit, rotation, term"
repeat,vav,CVC,phase,thing,action,another run of the same,a X of it,"rerun, encore, remake, replay"
chance,,,phase,thing,action,the opportunity for it,he got his X,"opening, shot, window, slot"
pause,,,phase,thing,action,the break inside it,a X in it,"interval, recess, lull, respite"
agent,,,role,thing,action,one who does it,the X did it,"painter, driver, editor, inspector"
target,bim,CVC,role,thing,action,one it is done to,the X was affected,"employee, trainee, broiler, captive"
recipient,,,role,thing,action,one who receives it,the X got it,"addressee, payee, grantee, heir"
tool,,,role,thing,action,what it is done with,with a X,"opener, printer, cutter, detector"
method,,,role,thing,action,how it is done,by X,"approach, procedure, technique, route"
place,,,role,thing,action,where it is done,at the X,"bakery, residence, forge, court"
time,kal,CVC,role,thing,action,when it is done,during the X,"harvest, shift, curfew, term"
source,mab,CVC,role,thing,action,what it comes from,out of the X,"spring, origin, seed, wellhead"
goal,gol,CVC,role,thing,action,what it aims at,toward the X,"destination, aim, quarry, target"
content,dad,CVC,role,thing,action,what it conveys,the X said that,"announcement, statement, message, report"
measure,yaj,CVC,role,thing,action,how much of it,a X of three,"mileage, output, dosage, load"
rate,,,role,thing,action,how fast it goes,at a X of ten,"speed, tempo, pace, flow"
fee,,,role,thing,action,what is paid for it,he paid the X,"postage, rental, tuition, fare"
record,,,role,thing,action,the document of it,he filed the X,"agreement, receipt, certificate, log"
cause,kaz,CVC,role,thing,action,what brings it about,the X of it was heat,"trigger, factor, spark, seed"
holder,,,role,thing,action,what keeps or carries it,it is in the X,"container, case, vessel, frame"
path,pac,CVC,role,thing,action,the route it takes,along the X,"channel, track, course, lane"
part,part,4,part,thing,thing,a component of it,a X of it,"limb, wheel, clause, chapter"
whole,hol,CVC,part,thing,thing,what it is a part of,the X it belongs to,"body, machine, text, set"
edge,padj,4,part,thing,thing,its boundary,the X of it,"rim, shore, margin, hem"
heart,,,part,thing,thing,its centre,the X of it,"kernel, pith, hub, nucleus"
cover,kov,CVC,part,thing,thing,what encloses it,under the X,"shell, hide, lid, bark"
unit,,,part,thing,thing,one countable piece of it,one X of it,"grain, drop, sheet, loaf"
share,xal,CVC,part,thing,thing,a portion of it,his X of it,"slice, cut, ration, quota"
waste,,,part,thing,thing,the leftover of it,sweep up the X,"sawdust, scrap, ash, chaff"
trace,tres,4,part,thing,thing,the evidence it leaves,he found the X,"footprint, scar, stain, echo"
mark,,,part,thing,thing,the sign of it,it bears the X,"badge, brand, stamp, sigil"
nature,nep,CVC,quality,thing,feature,"the property as such, uncountable",the X of it,"kindness, density, warmth, clarity"
essence,,,quality,thing,feature,what it is at bottom,the X of it,"spirit, gist, pith, substance"
degree,drig,4,quality,thing,feature,how much of the property,a high X,"intensity, severity, depth, magnitude"
instance,,,quality,thing,feature,one bearer of the property,"a X, and X-es","curiosity, necessity, cruelty, oddity"
ability,,,quality,thing,feature,the capacity for it,he has X,"judgment, stamina, eyesight, knack"
tendency,,,quality,thing,feature,the leaning toward it,a X to do it,"volatility, fragility, bias, bent"
lack,laks,4,quality,thing,feature,the absence of it,the X of it,"blindness, drought, famine, void"
excess,,,quality,thing,feature,too much of it,an X of it,"glut, flood, surplus, bloat"
norm,,,quality,thing,feature,the standard amount of it,the X for it,"average, baseline, par, benchmark"
flaw,,,quality,thing,feature,the defect in it,a X in it,"crack, fault, blemish, glitch"
worth,,,quality,thing,feature,the value of it,the X of it,"price, merit, weight, stake"
rank,reqk,4,quality,thing,feature,its position in an order,his X,"grade, tier, standing, station"
force,ros,CVC,quality,thing,feature,it as a power acting,the X of it,"gravity, pull, pressure, drive"
disease,,,quality,thing,feature,it as an illness,he has X,"arthritis, sclerosis, blight, rot"
thing,,,quality,thing,feature,"it as a bare object, no further reading",a X,"item, object, piece, article"
young,,,life,thing,thing,its offspring,a X of it,"calf, cub, kitten, piglet"
male,maf,CVC,life,thing,thing,the male one,the X of it,"bull, rooster, stallion, buck"
female,fim,CVC,life,thing,thing,the female one,the X of it,"cow, hen, mare, doe"
home,hom,CVC,life,thing,thing,where it lives,it went to its X,"nest, den, hive, burrow"
sound,sam,CVC,life,thing,thing,the noise it makes,it gave a X,"bark, moo, chirp, roar"
meat,mak,CVC,life,thing,thing,its flesh as food,a plate of X,"beef, pork, venison, mutton"
skin,skin,4,life,thing,thing,its hide or coat,a coat of X,"leather, fur, pelt, fleece"
practice,,,body,thing,thing action,the doing of it as a discipline,he studies X,"surgery, tourism, carpentry, husbandry"
study,,,body,thing,thing action,the science of it,X is a science,"biology, geology, phonology, ecology"
society,xark,4,body,thing,thing action,the body of people,the X voted,"government, membership, board, guild"
domain,,,body,thing,thing action,the field or territory,in the X,"jurisdiction, industry, sector, realm"
language,gar,CVC,body,thing,thing action,the way of speaking,he speaks X,"japanese, legalese, cant, jargon"
collection,,,body,thing,thing action,the set of them,a X of them,"machinery, furniture, herd, fleet"
system,wux,CVC,body,thing,thing action,them arranged and working,the X works,"network, grid, circuit, economy"
period,,,body,thing,thing action,the span of being it,during his X,"childhood, reign, tenure, apprenticeship"
office,,,body,thing,thing action,the position held,he held the X,"presidency, chair, seat, bishopric"
art,,,body,thing,thing action,the craft of it,he learned the X,"masonry, weaving, forging, healing"
belief,fix,CVC,body,thing,thing action,the holding of it as true,he holds the X,"creed, doctrine, faith, dogma"
school,,,body,thing,thing action,the tradition of thought,he follows the X,"realism, stoicism, cubism, monetarism"
trade,tred,4,body,thing,thing action,the occupation,he is in the X,"smithing, plumbing, farming, tailoring"
rite,,,body,thing,thing action,the ceremony of it,they performed the X,"baptism, funeral, wedding, vigil"
law,,,body,thing,thing action,the rule-body for it,under the X,"statute, code, canon, charter"
game,gem,CVC,body,thing,thing action,it as a played thing,they played a X,"chess, tag, poker, hurling"
right,,,standing,thing,action,the permission to do it,he has the X,"franchise, licence, title, freedom"
duty,,,standing,thing,action,the obligation to do it,it is his X,"obligation, charge, watch, service"
ban,,,standing,thing,action,the prohibition of it,there is a X,"embargo, curfew, taboo, veto"
rule,,,standing,thing,action,the norm governing it,the X says,"regulation, bylaw, precept, canon"
need,nid,CVC,standing,thing,action,the requirement for it,there is a X,"demand, want, call, hunger"
risk,risk,4,standing,thing,action,the chance of harm from it,the X is high,"hazard, peril, exposure, threat"
claim,klem,4,standing,thing,action,the assertion of entitlement,he filed a X,"title, lien, stake, demand"
debt,,,standing,thing,action,what is owed from it,he owes the X,"arrears, dues, levy, tax"
blame,,,standing,thing,action,responsibility for the harm,the X falls on him,"fault, guilt, liability, charge"
credit,kred,4,standing,thing,action,recognition for the good,he got the X,"honour, merit, praise, due"
model,mej,CVC,frame,thing,thing,the abstract shape of it,a X of the X,"schema, pattern, template, type"
token,,,frame,thing,thing,one concrete copy of it,this X here,"copy, print, impression, specimen"
formal,,,frame,thing,thing,the official version,the X version,"declaration, ordinance, writ, edict"
draft,,,frame,thing,thing,the preliminary version,an early X,"sketch, outline, proof, blueprint"
sample,,,frame,thing,thing,a representative bit,take a X,"swatch, cutting, taste, excerpt"
fake,fek,CVC,frame,thing,thing,the counterfeit of it,it is a X,"forgery, sham, replica, decoy"
name,nam,CVC,frame,thing,thing,the word for it,the X of it,"term, label, title, tag"
image,madj,4,frame,thing,thing,the picture of it,an X of it,"portrait, map, chart, likeness"
story,,,frame,thing,thing,the narrative of it,the X of it,"myth, legend, account, chronicle"
like,lak,CVC,shape,feature,thing,it is like it,a X thing,"cloudy, wolfish, silken, glassy"
resembling,,,shape,feature,thing,it looks like it,X in form,"humanoid, spheroid, crystalline, ovoid"
style,,,shape,feature,thing,in its manner,a X piece,"romanesque, baroque, gothic, rococo"
partly,,,shape,feature,thing,it partly is it,a X one,"greenish, smallish, oldish, warmish"
shaped,,,shape,feature,thing,it has its shape,X in outline,"starred, forked, domed, ribbed"
oriented,,,tie,feature,thing,it concerns it,a X matter,"legal, nasal, coastal, dental"
featuring,,,tie,feature,thing,it bears it,a X thing,"horned, winged, bearded, walled"
material,,,tie,feature,thing,it is made of it,a X thing,"wooden, golden, earthen, woollen"
bearing,,,tie,feature,thing,it carries or yields it,X of it,"fruitful, laden, armed, bloody"
full,,,amount,feature,thing,saturated with it,X of it,"joyful, hopeful, dusty, teeming"
less,,,amount,feature,thing,missing it,X of it,"homeless, tireless, bald, bare"
much,,,amount,feature,thing,an overwhelming amount of it,X of it,"awesome, burdensome, fulsome, rank"
rich,rip,CVC,amount,feature,thing,abundant in it,X in it,"fertile, dense, lush, thick"
poor,por,CVC,amount,feature,thing,scarce in it,X in it,"lean, sparse, thin, meagre"
able,,,mode,feature,action,it can be done to,X to be done,"edible, breakable, soluble, legible"
prone,,,mode,feature,action,it is likely to,X to it,"fragile, volatile, restive, brittle"
worthy,,,mode,feature,action,it deserves it,X of it,"laudable, noteworthy, creditable, apt"
resistant,,,mode,feature,action,it withstands it,X to it,"waterproof, fireproof, immune, hardy"
free,pod,CVC,mode,feature,action,it is exempt from it,X of it,"duty-free, scot-free, blameless"
progress,reC,CVC,aspect,feature,action,it is happening now,X right now,"running, burning, rising, pending"
complete,,,aspect,feature,action,it is done,already X,"finished, sealed, broken, spent"
past,,,aspect,feature,action,it happened before,X already,"former, erstwhile, late, ex"
future,,,aspect,feature,action,it will happen,X soon,"coming, due, imminent, forthcoming"
make,mek,CVC,do,action,thing feature,cause it to be,X it so,"harden, clarify, enable, widen"
undo,,,do,action,thing feature,reverse it,X it back,"untie, defrost, disarm, unlock"
again,,,do,action,thing feature,do it once more,X it again,"rebuild, revisit, reheat, retell"
become,,,do,action,thing feature,come to be it,X into it,"ripen, redden, sour, wither"
give,gif,CVC,do,action,thing feature,supply it,X it to them,"arm, fuel, staff, endow"
take,tek,CVC,do,action,thing feature,remove it,X it away,"skin, peel, gut, bone"
put,drad,4,do,action,thing feature,place it on,X it on,"coat, tile, pave, salt"
seek,sik,CVC,do,action,thing feature,look for it,X for it,"hunt, fish, forage, prospect"
manner,kuq,CVC,way,manner,feature,in that way,done X,"quickly, gladly, harshly, deftly"
route,,,way,manner,feature,by that route,done X,"clockwise, lengthwise, sideways, edgewise"
