concept,word,shape,section,note
experience,zus,CVC,base words,
exist,wav,CVC,base words,
thing,,,base words,action or entity or feature
action,kiq,CVC,base words,
entity,vutx,4 letters,base words,
feature,sarz,4 letters,base words,
positive,mid,CVC,base words,but not implying quality; right
neutral,nal,CVC,base words,but not implying quality; middle
negative,dum,CVC,base words,but not implying quality; left
presence,zaq,CVC,base words,posit
absense,,,base words,negation (not
identity,zut,CVC,base words,
zero,han,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
one,zan,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
two,dob,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
three,suC,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
four,laf,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
five,kom,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
six,vip,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
seven,xab,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
eight,fet,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
nine,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
ten,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
eleven,cuk,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
number,dis,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
this,rug,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
that,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
here,doz,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
there,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
past,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
present,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
future,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
back,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
front,sig,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
between,tin,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
among,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
cross,kras,4 letters,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
attract,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
repel,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
force,ros,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
part,part,4 letters,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
whole,hol,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
self,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
other,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
me,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
you,dim,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
it,vax,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
more,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
less,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
place,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words","location (independent of space, as space is one realization of experience; handles ""at"""
center,nav,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
edge,padj,4 letters,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
in,ras,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
out,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
active,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
passive,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
source,mab,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words","handles ""from"""
sink,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words","receiver; handles ""to"""
original,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
image,madj,4 letters,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",or reflection / copy
direction,drix,4 letters,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
orientation,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
problem,woz,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
solution,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
touching,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",on
not touching,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",off
create,bam,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",birth = create experience
persist,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",live = persist experience
destroy,xiv,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",death = destroy experience
dimension,pat,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",x = dimension 1; y = dimension 2; z = dimension 3; 2d = 3 dimension
obstacle,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
state,dom,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
variable,var,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
node,krag,4 letters,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
link,lik,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words","handles ""of"""
path,pac,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
span,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
tree,dip,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
mesh,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
collection,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words","handles ""many""; less collection = few?"
individual,pip,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
sequence,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
order,nord,4 letters,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
rate,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
relation,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
target,bim,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words","focus = target persist; handles ""for"""
confuse,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
rule,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
code,kod,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",rule system
flow,,,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
event,hap,CVC,"12 numbers, mapping to 12 colors + 12 musical notes, in 5-letter words",
