word,meaning,tier,shape,echo,own,pair,crowd,loss
min,not know,1,CVC,0.5872,-58.7617,3.2711,0.0103,-55.4906
miq,motion,1,CVC,0.4667,-120.0000,4.1886,0.0187,-115.8114
mid,positive,1,CVC,0.3600,-60.0000,3.5412,0.0093,-56.4588
mit,meet,1,CVC,1.0000,-59.8467,3.3015,0.0094,-56.5452
mis,miss (longing),1,CVC,0.7500,-60.0000,2.9767,0.0096,-57.0233
miv,idea,1,CVC,0.2289,-57.6867,2.7527,0.0089,-54.9340
mix,network,0,CVC,0.3293,-60.0000,2.4888,0.0093,-57.5112
men,main,1,CVC,1.0000,-60.0000,3.3131,0.0096,-56.6869
meq,mine,1,CVC,0.8583,-60.0000,2.1639,0.0087,-57.8361
mek,make,1,CVC,0.8500,-60.0000,2.3378,0.0089,-57.6622
mes,month,1,CVC,0.5958,-60.0000,3.0079,0.0085,-56.9921
mej,model,0,CVC,0.5327,-58.9407,2.7079,0.0082,-56.2329
mam,mother,1,CVC,0.4203,-60.0000,2.9505,0.0116,-57.0495
man,mind,0,CVC,0.5813,-117.4875,7.1403,0.0231,-110.3472
maq,harmony,1,CVC,0.3214,-60.0000,2.5061,0.0119,-57.4939
mag,fruit,1,CVC,0.3053,-58.1707,2.5355,0.0109,-55.6353
mad,middle,1,CVC,0.4650,-60.0000,3.7412,0.0107,-56.2588
mab,source,1,CVC,0.3837,-60.0000,3.0108,0.0100,-56.9892
map,map (map/reduce),0,CVC,1.0000,-60.0000,2.6589,0.0096,-57.3411
mat,forward,1,CVC,0.3621,-60.0000,3.3444,0.0111,-56.6556
mak,meat,1,CVC,0.7083,-59.4458,2.2832,0.0106,-57.1626
maz,flow (speech utterance),1,CVC,0.3879,-54.9905,3.8130,0.0115,-51.1775
mav,many,1,CVC,0.6379,-60.0000,2.9808,0.0099,-57.0192
maf,male,1,CVC,0.8156,-60.0000,2.4693,0.0094,-57.5307
maj,magenta,1,CVC,0.3740,-60.0000,3.1941,0.0113,-56.8059
mac,great,1,CVC,0.3850,-60.0000,2.8514,0.0104,-57.1486
mar,symbol,1,CVC,0.4083,-58.2250,2.5329,0.0127,-55.6921
mal,molecule,1,CVC,0.3643,-60.0000,2.5707,0.0126,-57.4293
moq,about/encompass,1,CVC,0.4130,-60.0000,2.3992,0.0097,-57.6008
mog,meaning,1,CVC,0.4090,-58.0103,2.6291,0.0100,-55.3812
mod,mode,0,CVC,1.0000,-60.0000,3.8568,0.0103,-56.1432
mop,twelve,1,CVC,0.3430,-60.0000,2.5480,0.0088,-57.4520
mot,mountain,1,CVC,0.3964,-57.8352,3.3648,0.0099,-54.4704
mok,align,1,CVC,0.3253,-59.7571,2.4035,0.0102,-57.3536
moz,hash,0,CVC,0.4561,-60.0000,3.8308,0.0104,-56.1692
mox,immutable,0,CVC,0.3048,-60.0000,2.7702,0.0103,-57.2298
moj,emerge,1,CVC,0.4227,-57.8870,3.2479,0.0104,-54.6390
mor,the model of the action (e.g. the transform),1,CVC,0.6000,-59.0200,2.6832,0.0120,-56.3368
mol,high,1,CVC,0.1200,-113.6875,5.3399,0.0233,-108.3476
mun,gut sense,1,CVC,0.7189,-59.9813,3.5733,0.0117,-56.4079
muq,mmm,1,CVC,0.5556,-60.0000,2.3667,0.0110,-57.6333
mug,(past particle),1,CVC,0.0000,-60.0000,2.5418,0.0110,-57.4582
