word,meaning
mim,
min,not know
miq,motion
mid,positive
mib,
mit,meet
mik,
mis,miss (longing)
miv,idea
mix,network
mem,
men,main
meq,mine
meg,
med,
meb,
met,
mek,make
mes,month
mez,
mev,
mef,
mej,model
mam,mother
man,mind
maq,harmony
mag,fruit
mad,middle
mab,source
map,map (map/reduce)
mat,forward
mak,meat
maz,flow (speech utterance)
mav,many
maf,male
maj,magenta
mac,great
mar,symbol
mal,molecule
moq,about/encompass
mog,meaning
mod,mode
mop,twelve
mot,mountain
mok,align
moz,hash
mox,immutable
moj,emerge
mor,the model of the action (e.g. the transform)
mol,high
mun,gut sense
muq,mmm
mug,(past particle)
mud,mood
mut,mutate
muk,earth (dirt)
mus,mercy
muz,pain
muv,move
muj,message
muc,mouth
nim,
nin,
niq,omniscient
nid,need
nib,
nit,
nis,
niz,nest (structure)
niv,
nif,a (isolated-element-focus)
nix,listen
nem,
nen,
neq,
ned,static
neb,
nep,nature
net,knit
nes,nice
nez,
nev,off
nef,
nam,name
nan,negate
naq,
nad,
nab,
nap,
nat,
nak,knock
nas,nest
naz,as
nav,center
nax,
nar,person
nal,neutral
non,not (un- or -im)
nop,no
not,note
noz,nose
nof,
nox,notion
nor,
nol,toward
num,know
nuq,bond
nub,separate
nus,
nuz,distribute
nuv,empty
nuj,hell
nuc,long
gim,magic
gin,sync
gig,
gib,guide
gip,
git,infinite
gik,user
gis,will (future)
giz,position
gif,give
gix,
gem,game
gen,
geq,
geg,
ged,
geb,
gep,
get,
gek,
ges,
gez,
gev,
gef,
gan,garden
gag,child
gad,god
gab,eat
gaz,possess
gav,how (missing-action-focus)
gaC,gather
gar,language
gal,too
goq,job
gog,
god,gold
gob,
gop,
got,antenna
gok,
goz,
gov,
gof,
gor,
gol,goal
gum,come
gun,representation
guq,
gug,
gud,
gub,like (filler)
gup,
gut,gut
gus,back (front)
guz,lose
guv,end
guf,
gux,
guj,memory
dim,you
dig,sine
did,deed
dib,connect
dip,tree
dis,number
div,drive
dif,define
dem,
den,
deq,
deg,
ded,
deb,
dep,
det,datetime stamp/instance in time
dek,
des,
dez,dynamic
dev,
def,
dej,orange
dam,morality
dan,the
daq,
dag,dog
dad,content
dab,
dap,
dat,word
dak,physical
das,understand
daz,
dav,divine
daf,previous
dax,
dac,death
dar,
dal,matter (physics)
dom,state
dog,
dob,two
dop,
dot,
doz,here
dof,
dor,door
dol,
dum,negative
dun,join (to one)
dug,drink
dud,friend
dub,aware
duk,minute
dus,reduce
duz,do
dux,condition (general state)
bim,target
bin,
biq,being
big,go
bid,ignorant
bib,we
bip,output
bit,beat
bik,
bis,
biz,intense
bif,
bem,
ben,
beq,bang
beg,
bed,bite
beb,baby
bep,
bet,under
bek,
bes,base
bez,
bev,
bef,
bam,create
ban,together/bind
baq,be
bag,insect
