word,meaning,site_meaning,mirror,status
siz,,experience,s z,taken by peace
zus,,do,z s,taken by experience
niq,,flow,n q,taken by omniscient
nuq,bond,bond,n q,agrees
dib,,perfect,d b,taken by connect
dub,aware,aware,d b,agrees
bid,,connect,b d,taken by ignorant
bud,,awaken,b d,taken by awake
pik,,find,p k,taken by master
puk,release,release,p k,free to take
tiv,,absorb,t v,taken by conscious
tuv,input,input,t v,agrees
kip,tune,tune,k p,agrees
kup,tone,tone,k p,agrees
him,,chime,h m,taken by nothing
hum,urge,urge,h m,agrees
vit,,output,v t,taken by information
vut,be,be,v t,add to system
jil,,stream,j l,NOT LEGAL, ends on il
jul,,jewel,j l,NOT LEGAL, ends on ul
wig,kaleidoscope,kaleidoscope,w g,agrees
wug,emanate,emanate,w g,agrees
lij,orient,orient,l j,agrees
luj,,drive,l j,taken by logic
