meaning,choice,candidates
absense,,geq yof kig poq fiq wur mif nok
active,,geq yof kig poq fiq wur mif nok
among,,geq yof kig poq fiq wur mif nok
amount,,geq yof kig poq fiq wur mif nok
attract,,geq yof kig poq fiq wur mif nok
backward,,geq yof kig poq fiq wur mif nok
balance,,geq yof kig poq fiq wur mif nok
border,,geq yof kig poq fiq wur mif nok
breath,,gur pal kef dar bix tif nor mof
capability,,geq yof kig poq fiq wur mif nok
capacity,,geq yof kig poq fiq wur mif nok
clarify,,geq yof kig poq fiq wur mif nok
collection,,geq yof kig poq fiq wur mif nok
common,,geq yof kig poq fiq wur mif nok
compare,,geq yof kig poq fiq wur mif nok
confidence,,geq yof kig poq fiq wur mif nok
confuse,,geq yof kig poq fiq wur mif nok
constraint,,geq yof kig poq fiq wur mif nok
contact,,geq yof kig poq fiq wur mif nok
contain,,yek weg rig fik lap sak vop xep
continuous,,geq yof kig poq fiq wur mif nok
convert,,geq yof kig poq fiq wur mif nok
density,,geq yof kig poq fiq wur mif nok
detect,,geq yof kig poq fiq wur mif nok
disconnect,,geq yof kig poq fiq wur mif nok
discrete,,geq yof kig poq fiq wur mif nok
diversity,,geq yof kig poq fiq wur mif nok
emit,,gur pal kef dar bix tif nor mof
finite,,geq yof kig poq fiq wur mif nok
follower,,geq yof kig poq fiq wur mif nok
form,,geq yof kig poq fiq wur mif nok
frequency,,geq yof kig poq fiq wur mif nok
future,,geq yof kig poq fiq wur mif nok
general,,geq yof kig poq fiq wur mif nok
hit,,geq yof kig poq fiq wur mif nok
inside,,geq yof kig poq fiq wur mif nok
instance,,geq yof kig poq fiq wur mif nok
intensity,,geq yof kig poq fiq wur mif nok
intersection,,geq yof kig poq fiq wur mif nok
leader,,geq yof kig poq fiq wur mif nok
limit,,geq yof kig poq fiq wur mif nok
line,,geq yof kig poq fiq wur mif nok
match,,geq yof kig poq fiq wur mif nok
me,,geq yof kig poq fiq wur mif nok
merge,,geq yof kig poq fiq wur mif nok
mesh,,geq yof kig poq fiq wur mif nok
more,,geq yof kig poq fiq wur mif nok
near,,geq yof kig poq fiq wur mif nok
nine,,geq yof kig poq fiq wur mif nok
normal,,geq yof kig poq fiq wur mif nok
not touching,,geq yof kig poq fiq wur mif nok
obstacle,,geq yof kig poq fiq wur mif nok
oppose,,geq yof kig poq fiq wur mif nok
orientation,,geq yof kig poq fiq wur mif nok
original,,geq yof kig poq fiq wur mif nok
other,,geq yof kig poq fiq wur mif nok
out,,gur pal kef dar bix tif nor mof
outside,,gur pal kef dar bix tif nor mof
parallel,,geq yof kig poq fiq wur mif nok
passive,,geq yof kig poq fiq wur mif nok
persist,,geq yof kig poq fiq wur mif nok
polarity,,geq yof kig poq fiq wur mif nok
possible,,geq yof kig poq fiq wur mif nok
potential,,geq yof kig poq fiq wur mif nok
power,,geq yof kig poq fiq wur mif nok
predictable,,geq yof kig poq fiq wur mif nok
recursion,,geq yof kig poq fiq wur mif nok
reflect,,geq yof kig poq fiq wur mif nok
region,,geq yof kig poq fiq wur mif nok
relation,,geq yof kig poq fiq wur mif nok
release,,gur pal kef dar bix tif nor mof
repel,,geq yof kig poq fiq wur mif nok
select,,geq yof kig poq fiq wur mif nok
sequence,,geq yof kig poq fiq wur mif nok
silence,,geq yof kig poq fiq wur mif nok
size,,geq yof kig poq fiq wur mif nok
solution,,geq yof kig poq fiq wur mif nok
span,,geq yof kig poq fiq wur mif nok
specific,,geq yof kig poq fiq wur mif nok
stop,,yek weg rig fik lap sak vop xep
strong,,geq yof kig poq fiq wur mif nok
ten,,geq yof kig poq fiq wur mif nok
that,,geq yof kig poq fiq wur mif nok
threshold,,geq yof kig poq fiq wur mif nok
touching,,geq yof kig poq fiq wur mif nok
true,,geq yof kig poq fiq wur mif nok
turn,,geq yof kig poq fiq wur mif nok
uncertain,,geq yof kig poq fiq wur mif nok
uniformity,,geq yof kig poq fiq wur mif nok
union,,geq yof kig poq fiq wur mif nok
unpredictable,,geq yof kig poq fiq wur mif nok
vague,,geq yof kig poq fiq wur mif nok
volume,,geq yof kig poq fiq wur mif nok
