word,meaning
Cakar,mention
Calil,dispicable
Camim,obnoxious
Can,than/compare
Car,there (abstract reference)
Cistendj,estrange
Coz,except
baCmol,cotton
bab,father
babol,bubble
babun,baboon
badan,bide
badax,bud (flower)
badjim,mix
badjur,badger
badkan,prank
bafmik,buff (strength)
bafol,baffle
bagon,bag
bak,send
bakak,hatch (egg)
bakal,bike
bakan,pecan
bakar,inspect
bakfar,backfire
bakir,senior (rank)
baklax,backwash
bakol,buckle
bakop,balk
bakpak,backpack
bakpid,backpedal
baktan,portion
baktim,fond
baktrak,backtrack
balat,tile
balaz,bawl
balbut,bulb
baldar,reciprocate
baldik,cousin
baldiq,building
baldjiq,alarm
baldjoq,bulge
balfal,erupt
baliq,bully
balix,embellish
balon,bile
baltan,belt
baltin,title
baltx,belch
balut,bout
balzeq,assure
balziq,guarantee
bam,create
bamap,stage
bambard,bombard
bambuz,bamboozle
banan,banana
banben,variant
bandedj,bandage
bandiq,band (mark)
banfut,bat (action)
banic,beneath
banlin,transact
bantur,banter
bantxap,bunch (up)
banxiq,deform
banxol,wrench (move with force)
banzap,bounce
bapas,bypass
baptaz,baptize
baraj,barrage
barak,bless
baral,barrel
baran,barren
barbar,stutter
barc,birth
bardj,barge
bariq,berry
barked,barricade
barkiz,bark (dog)
barkuk,plum
barkuv,barbecue
barl,bare
barlot,ballot
barman,table
barnet,barn
barsim,alfalfa (vegetable)
bartur,barter
barun,baryon
barv,duck (bird)
barzak,barrier
basac,quest
basal,own
basalt,basalt
basir,well-seeing
baskin,bask
bason,bustle
bast,prime
bastan,bust
bastik,bust (action)
batcam,batcam
batik,watermelon
batol,bottle
bator,batter
batran,butter
batras,buttress
batrik,battery
batsak,dough
batul,birch (tree)
batum,fellow
batx,bat (animal)
batxat,batch
bavan,dwell
baxal,ripe
baxir,herald
baznis,business
beben,babe
bedjup,tragic
bedoq,wiggle
bedul,battle
began,pessimistic
begin,begin
bejan,beige
bekan,beckon
bekin,bake
belan,bail
belit,belittle
beloq,bellow
bentul,continent
beqdjin,taut
beqkat,bank (holding)
beqkrap,bankrupt
beqkrol,bankroll
besk,basic
besral,panic
bet,under
betan,bat (hit with stick)
betor,bet
bezik,cup
biClak,plead
bibun,bib
bicuv,behoove
bidal,beetle
bidants,obedience
bidat,stoke
bidaz,bedazzle
bidon,fiction
bigord,go ahead
bigradj,begrudge
bigvun,go on
bihev,behave
bikam,become
bikar,bicker
bikic,bequeath
bikxun,beg
bil,limit/restrict
bilam,brake
bilaq,belong
bilar,beware
bilat,ability
bild,build
biletx,bewitch
bilkad,hardly
bilon,bill (money)
biloq,billow
bilpan,betray
bimon,bemoan
binan,benign
binat,violate
binit,bean
bintal,morbid
bip,output
biq,being
biqgan,cookie
biran,inevitable
biret,berate
biriv,bereave
birs,beer
birur,inquiry
bisal,match (competition)
biset,beset
bisidj,besiege
bisman,horror
bisold,behold
bistol,bestow
bit,beat
bitan,beet
bitor,bitter
bituk,accent
bitxiq,beach
bival,bevel
bixmam,horrible
bizar,bizarre
blaCrak,balloon
blab,blob
blabaq,blab
blagan,mess
blagiq,blog
bland,blend
blandiC,blind
blandur,blunder
blanfold,blindfold
blanit,blah
blantog,blunt
blants,balance
blast,blast
blasum,blossom
blatuz,blot
blemix,blemish
bleq,eject
bligur,beleaguer
blimal,bill (beak)
bliqk,blink
blistur,blister
blitret,obliterate
blitxiq,bleach
bliz,our
blizan,belligerent
bloC,blood
bloCiq,bleed
blofrik,blow up
blort,blurt
blotak,bloat
blupran,bloop
blut,butt
bodan,bode
bolant,buoyant
bolaq,bow (arrow)
bold,10^30
boldoq,fluctuate
bolkat,boycott
bolstar,bolster
bordan,board
borig,screw (bolt)
borl,boil
borliq,burly
born,bury
borz,poison
bos,possessive plural
bot,boat
botxiq,fickle
bovin,bovinae
bovor,buffer
boz,private
braCor,brother
brabat,bribe
bradz,brass
bragod,brag
brak,bacteria
braklin,broccoli
bralt,brittle
bramxam,deviate
brand,brand (business)
brasal,tend (I tend to)
brekal,breccia
brekrik,break up
brektaj,break down
bresig,brace
brest,breast
bretik,brat
briCan,breath
bridiq,breed
bridj,bridge
brikar,break (short time)
brilant,brilliant
brilon,embryo
brip,beep
briqkon,brink
briqrik,bring up
briqtaj,bring down
brisal,bristle
britx,breach
brivet,abbreviate
brob,decimal
brudig,brood
bruk,beak
brulik,brew
brumor,remember
bud,awake
budanz,abundant
budjuk,remedy
bug,cosine
bugiq,bug (bother)
bukad,buck
bul,blue
bulin,buoy
bund,boundary
bunduk,hazelnut
bunz,boon
bup,energy
burbir,barbarian
bust,burst
butxoq,augment
cadruq,thud
cagaf,culture (society)
cagan,thug
cagur,naughty
cak,thank
cakal,heckle
caksdat,extradite
cam,then
camblez,blaze
camil,drunk
camput,impute
candjur,engender
candman,undermine
candor,thunder
canlez,analyze
canmex,enmesh
capmaz,optimize
capold,uphold
caqgros,engross.
caram,revolution (society)
