meaning,polarity,height,depth,heat,motion,mind,bond
absense,-0.5,,,,,,-1
active,,,,,1,,
among,,,,,,,1
attract,0.5,,,,,,1
backward,,,,,,0.5,
balance,0.5,,,,-0.5,,
border,,,1,,,,-0.5
breath,,,0.5,,1,,
capability,,,,,,0.5,
capacity,,,,,,0.5,
clarify,0.5,,,,,1,
collection,,,,,,,1
common,,,,,,,0.5
compare,,,,,,1,
confidence,0.5,,,,,0.5,
confuse,-0.5,,,,,0.5,
constraint,,,,,-1,,-0.5
contact,,,,,,,1
contain,,,-1,,,,1
continuous,,,,,0.5,,1
convert,,,,,1,,
density,,,-0.5,,,-0.5,
detect,,,,,,1,
disconnect,,,,,,,-1
discrete,,,,,,,-1
diversity,,,,,,,-0.5
emit,,,1,,1,,
finite,,,,,-0.5,,
follower,,,,,0.5,,0.5
form,,,,,,0.5,
frequency,,,,,1,,
future,,,,,1,,
general,,,,,,,1
hit,,,,,1,-1,
inside,,,-1,,,,
instance,,,,,,-0.5,
intensity,,,,1,1,,
intersection,,,,,,,1
leader,,1,,,1,,
limit,,,,,-1,,-0.5
line,,,,,,-0.5,
match,,,,,,,1
me,,,-1,,,,-1
merge,,,,,,,1
mesh,,,,,,,1
more,,1,,,,,
near,,,,,,,0.5
normal,,,,,,,0.5
not touching,,,,,,,-1
obstacle,-0.5,,,,-1,,
oppose,-0.5,,,,,,-1
orientation,,,,,,0.5,
original,,,-0.5,,,0.5,
other,,,,,,,-1
out,,,1,,,,
outside,,,1,,,,
parallel,,,,,0.5,,0.5
passive,,,,,-1,,
persist,,,,,-1,,
polarity,,,,,,,-0.5
possible,,,,,,0.5,
potential,,,,,-0.5,0.5,
power,,,,0.5,1,,
predictable,,,,,-0.5,0.5,
recursion,,,,,,1,
reflect,,,,,0.5,0.5,
region,,,,,,-0.5,
relation,,,,,,,1
release,,,1,,1,,-0.5
repel,,,,,1,,-1
select,,,,,,1,
sequence,,,,,0.5,0.5,
silence,,,,,-1,,
size,,,,,,-0.5,
solution,1,,,,,1,
span,,,,,,,0.5
specific,,,,,,0.5,-0.5
stop,,,,,-1,,
strong,0.5,,,,0.5,,
that,,,0.5,,,,
threshold,,,0.5,,,,-0.5
touching,,,,,,,1
true,1,,,,,1,
turn,,,,,1,,
uncertain,-0.5,,,,,0.5,
uniformity,,,,,,,1
union,,,,,,,1
unpredictable,,,,,1,0.5,
vague,-0.5,,,,,0.5,
volume,,,,,,-0.5,
absorb,,,-1,,0.5,,
abstract,,,,,,1,
accept,0.5,,,,,,1
accomplish,1,,,,0.5,,
action,,,,,1,,
actual,,,,,,-0.5,
add,,,,,,,1
after,,,,,0.5,,
age,,,,,0.5,,
aggregate,,,,,,,1
agree,0.5,,,,,,1
ahead,,,,,1,,
air,,,,,0.5,-0.5,
align,,,,,,,1
all,,,,,,,1
also,,,,,,,0.5
analyse,,,,,,1,
ancient,,,,,-0.5,,
and,,,,,,,1
angry,-1,,,1,,,
animal,,,,,,-1,
antenna,,,0.5,,,-1,
apart,,,,,,,-1
ape,,,,,,-1,
array,,,,,,,1
ash,,,,-0.5,,-1,
ask,,,,,,0.5,
asleep,,,,,-1,,
assert,0.5,,,,,0.5,
atom,,,,,,-1,
attach,,,,,,,1
avoid,,,,,0.5,,-1
awake,,,,,0.5,1,
aware,,,,,,1,
away,,,,,,,-1
axis,,,,,,0.5,
baby,0.5,,,,,-1,
back,,,-0.5,,,,
bacteria,,,,,,-1,
bad,-1,,,,,,
ball,,,,,,-1,
bang,,,,0.5,1,,
base,,-1,,,,,
beak,,,,,,-1,
beam,,,,0.5,,-1,
beast,,,,,,-1,
beat,,,,,1,,
beauty,1,,,,,,
before,,,,,0.5,,
belief,,,,,,1,
belly,,,-1,,,-1,
bend,,,,,1,,
beside,,,,,,,0.5
between,,,,,,,1
big,,0.5,,,,,
bird,,1,,,,-1,
bite,,,,,1,-1,
black,,,,-1,,,
blood,,,-1,,,-1,
bloom,1,,,,1,,
blow,,,1,,1,,
blue,,,,-0.5,,,
boat,,,,,,-1,
body,,,,,,-1,
bond,,,,,,,1
bone,,,-1,,,-1,
bottom,,-1,,,,,
boundary,,,1,,,,-0.5
box,,,,,,-1,0.5
brain,,,,,,1,
branch,,,,,,-1,-0.5
brave,1,,,,,,
bring,,,,,1,,1
burst,,,1,,1,,
byte,,,,,,0.5,
calm,1,,,,-1,,
care,1,,,,,,1
cat,,,,,,-1,
catch,,,,,1,,1
cause,,,,,1,,
cave,,,-1,,,-1,
cease,,,,,-1,,
center,,,,,,,1
certain,0.5,,,,,1,
chain,,,,,,,1
change,,,,,1,,
chase,,,,,1,,
check,,,,,,1,
chemical,,,,,,-1,
chew,,,,,1,-1,
child,,,,,,-1,
chip,,,,,,-1,
choose,,,,,,1,
circle,,,,,,-0.5,
claw,,,,,,-1,
clean,1,,,,,,
climb,,1,,,1,,
clock,,,,,,-0.5,
close,,,,,-0.5,,1
cloud,,1,,,,-1,
code,,,,,,1,
cold,,,,-1,,,
collect,,,,,,,1
color,,,,,,-0.5,
come,,,,,1,,1
comfort,1,,,,,,
communicate,,,,,,,1
community,,,,,,,1
compassion,1,,,,,,1
complex,,,,,,0.5,
connect,,,,,,,1
conscious,,,,,,1,
constant,,,,,-1,,
continue,,,,,1,,
copy,,,,,,,0.5
count,,,,,,1,
cover,,,1,,,,
cow,,,,,,-1,
crack,,,,,1,,-1
crash,-0.5,,,,1,,
