id,word,meaning,author,made,why
lfsl-nllh,min,not know,you,2026-09-15,in base.csv when the variant system was built
rdjg-ncqw,miq,motion,you,2026-09-15,in base.csv when the variant system was built
sChl-vmdw,mid,positive,you,2026-09-15,in base.csv when the variant system was built
mvxz-sldb,mit,meet,you,2026-09-15,in base.csv when the variant system was built
tbqv-dnkC,mis,miss (longing),you,2026-09-15,in base.csv when the variant system was built
dtrd-wcxr,miv,idea,you,2026-09-15,in base.csv when the variant system was built
nbsx-dbpg,mix,network,you,2026-09-15,in base.csv when the variant system was built
dppC-cvcw,men,main,you,2026-09-15,in base.csv when the variant system was built
Cccw-fyld,meq,mine,you,2026-09-15,in base.csv when the variant system was built
vfbw-vplq,mek,make,you,2026-09-15,in base.csv when the variant system was built
vgdv-qmvt,mes,month,you,2026-09-15,in base.csv when the variant system was built
qkbj-qppn,mej,model,you,2026-09-15,in base.csv when the variant system was built
gyCs-dqgc,mam,mother,you,2026-09-15,in base.csv when the variant system was built
nprw-lvjk,man,mind,you,2026-09-15,in base.csv when the variant system was built
wnnz-Cwcc,maq,harmony,you,2026-09-15,in base.csv when the variant system was built
pjdm-vlqC,mag,fruit,you,2026-09-15,in base.csv when the variant system was built
rtmc-hjdx,mad,middle,you,2026-09-15,in base.csv when the variant system was built
jbfr-tnps,mab,source,you,2026-09-15,in base.csv when the variant system was built
yvkc-hcmc,map,map (map/reduce),you,2026-09-15,in base.csv when the variant system was built
vmnx-xcgt,mat,forward,you,2026-09-15,in base.csv when the variant system was built
ygdx-bfmr,mak,meat,you,2026-09-15,in base.csv when the variant system was built
fjtd-kgnm,maz,flow (speech utterance),you,2026-09-15,in base.csv when the variant system was built
dbzf-dbkh,mav,many,you,2026-09-15,in base.csv when the variant system was built
vmjm-vplr,maf,male,you,2026-09-15,in base.csv when the variant system was built
cddn-hrwv,maj,magenta,you,2026-09-15,in base.csv when the variant system was built
Cstz-thjd,mac,great,you,2026-09-15,in base.csv when the variant system was built
yqqg-dqxC,mar,symbol,you,2026-09-15,in base.csv when the variant system was built
fkpb-bylz,mal,molecule,you,2026-09-15,in base.csv when the variant system was built
hnwr-vCkn,moq,about/encompass,you,2026-09-15,in base.csv when the variant system was built
lCzh-qmCx,mog,meaning,you,2026-09-15,in base.csv when the variant system was built
mblm-dnyn,mod,mode,you,2026-09-15,in base.csv when the variant system was built
wzsj-bgjx,mop,twelve,you,2026-09-15,in base.csv when the variant system was built
cbzz-wsfv,mot,mountain,you,2026-09-15,in base.csv when the variant system was built
blzf-hnnc,mok,align,you,2026-09-15,in base.csv when the variant system was built
xpvj-ymvk,moz,hash,you,2026-09-15,in base.csv when the variant system was built
hgcf-gqvb,mox,immutable,you,2026-09-15,in base.csv when the variant system was built
kfqx-lpcr,moj,emerge,you,2026-09-15,in base.csv when the variant system was built
yjbt-ylvw,mor,the model of the action (e.g. the transform),you,2026-09-15,in base.csv when the variant system was built
Cpsk-yxnc,mol,high,you,2026-09-15,in base.csv when the variant system was built
xbhb-fytm,mun,gut sense,you,2026-09-15,in base.csv when the variant system was built
hyrx-wbyC,muq,mmm,you,2026-09-15,in base.csv when the variant system was built
fhcq-rkvs,mug,(past particle),you,2026-09-15,in base.csv when the variant system was built
wzpq-kdpt,mud,mood,you,2026-09-15,in base.csv when the variant system was built
tfhy-mpsy,mut,mutate,you,2026-09-15,in base.csv when the variant system was built
jggd-qjqh,muk,earth (dirt),you,2026-09-15,in base.csv when the variant system was built
vvcz-kCkr,mus,mercy,you,2026-09-15,in base.csv when the variant system was built
xznz-zxwx,muz,pain,you,2026-09-15,in base.csv when the variant system was built
pbdh-pthh,muv,move,you,2026-09-15,in base.csv when the variant system was built
msgw-tpsj,muj,message,you,2026-09-15,in base.csv when the variant system was built
xdhy-bCnq,muc,mouth,you,2026-09-15,in base.csv when the variant system was built
jymy-CCxs,mul,unreal,you,2026-09-15,in base.csv when the variant system was built
kyrp-zbqt,niq,omniscient,you,2026-09-15,in base.csv when the variant system was built
pxbh-wjrj,nid,need,you,2026-09-15,in base.csv when the variant system was built
qbfj-jdrx,niz,nest (structure),you,2026-09-15,in base.csv when the variant system was built
zvrl-pdvl,nif,a (isolated-element-focus),you,2026-09-15,in base.csv when the variant system was built
tpyj-pxzd,nix,listen,you,2026-09-15,in base.csv when the variant system was built
sqbn-hvbq,ned,static,you,2026-09-15,in base.csv when the variant system was built
fpxd-mrrg,nep,nature,you,2026-09-15,in base.csv when the variant system was built
qnxq-swvp,net,knit,you,2026-09-15,in base.csv when the variant system was built
kzfz-dznw,nes,nice,you,2026-09-15,in base.csv when the variant system was built
bCpk-jyxy,nev,off,you,2026-09-15,in base.csv when the variant system was built
jvyc-vgcC,nam,name,you,2026-09-15,in base.csv when the variant system was built
qbbw-tqCc,nan,negate,you,2026-09-15,in base.csv when the variant system was built
bkby-zmpC,nak,knock,you,2026-09-15,in base.csv when the variant system was built
lnfj-yflq,nas,nest,you,2026-09-15,in base.csv when the variant system was built
qsbv-tzqr,naz,as,you,2026-09-15,in base.csv when the variant system was built
yfqm-jCqx,nav,center,you,2026-09-15,in base.csv when the variant system was built
yysg-mpdq,nar,person,you,2026-09-15,in base.csv when the variant system was built
nzwj-wxwn,nal,neutral,you,2026-09-15,in base.csv when the variant system was built
rxgg-dwrm,non,not (un- or -im),you,2026-09-15,in base.csv when the variant system was built
tycr-jpgt,nop,no,you,2026-09-15,in base.csv when the variant system was built
mhsp-wCvc,not,note,you,2026-09-15,in base.csv when the variant system was built
bgrx-zjxf,noz,nose,you,2026-09-15,in base.csv when the variant system was built
nbqn-wzyk,nox,notion,you,2026-09-15,in base.csv when the variant system was built
xzjx-cglC,nol,toward,you,2026-09-15,in base.csv when the variant system was built
sphm-sprs,num,know,you,2026-09-15,in base.csv when the variant system was built
jljx-mCng,nuq,bond,you,2026-09-15,in base.csv when the variant system was built
bbxC-tywh,nub,separate,you,2026-09-15,in base.csv when the variant system was built
yrnq-kljm,nuz,distribute,you,2026-09-15,in base.csv when the variant system was built
lwfj-lbCp,nuv,empty,you,2026-09-15,in base.csv when the variant system was built
nkwk-bdfh,nuj,hell,you,2026-09-15,in base.csv when the variant system was built
lCgn-lmgc,nuc,long,you,2026-09-15,in base.csv when the variant system was built
hcyf-dxCw,nul,forget,you,2026-09-15,in base.csv when the variant system was built
ybCt-ykcb,gim,magic,you,2026-09-15,in base.csv when the variant system was built
rwvb-rvgn,gin,sync,you,2026-09-15,in base.csv when the variant system was built
yvbf-hrfd,gib,guide,you,2026-09-15,in base.csv when the variant system was built
zqbq-CxCw,git,infinite,you,2026-09-15,in base.csv when the variant system was built
bvsz-lzwc,gik,user,you,2026-09-15,in base.csv when the variant system was built
rskr-krsw,gis,will (future),you,2026-09-15,in base.csv when the variant system was built
rwwk-jztl,giz,position,you,2026-09-15,in base.csv when the variant system was built
vtqz-qdrr,gif,give,you,2026-09-15,in base.csv when the variant system was built
lthp-pnfp,gic,red,you,2026-09-15,in base.csv when the variant system was built
jqsr-mqvh,gem,game,you,2026-09-15,in base.csv when the variant system was built
mfvt-bqnt,gan,garden,you,2026-09-15,in base.csv when the variant system was built
wtvc-qxCb,gag,child,you,2026-09-15,in base.csv when the variant system was built
tlCf-mcbc,gad,god,you,2026-09-15,in base.csv when the variant system was built
lvzv-kyzm,gab,eat,you,2026-09-15,in base.csv when the variant system was built
zcpk-jrlv,gaz,possess,you,2026-09-15,in base.csv when the variant system was built
mygr-zhtz,gav,how (missing-action-focus),you,2026-09-15,in base.csv when the variant system was built
zcCn-kjdr,gaC,gather,you,2026-09-15,in base.csv when the variant system was built
ftvg-hqjq,gar,language,you,2026-09-15,in base.csv when the variant system was built
Cpzz-vcmj,gal,too,you,2026-09-15,in base.csv when the variant system was built
fywh-kmCl,goq,job,you,2026-09-15,in base.csv when the variant system was built
ypdt-tcqg,god,gold,you,2026-09-15,in base.csv when the variant system was built
wwqh-Cqdj,got,antenna,you,2026-09-15,in base.csv when the variant system was built
tkrn-zypj,gok,back,you,2026-09-15,in base.csv when the variant system was built
mmnd-whyb,gol,goal,you,2026-09-15,in base.csv when the variant system was built
wlxt-spby,gum,come,you,2026-09-15,in base.csv when the variant system was built
vznv-nrjr,gun,representation,you,2026-09-15,in base.csv when the variant system was built
nmgm-xrjx,gub,like (filler),you,2026-09-15,in base.csv when the variant system was built
lwtC-rfvy,gut,gut,you,2026-09-15,in base.csv when the variant system was built
yzcp-thwf,gus,back (front),you,2026-09-15,in base.csv when the variant system was built
pdfg-klhs,guz,lose,you,2026-09-15,in base.csv when the variant system was built
drzr-yCbp,guv,end,you,2026-09-15,in base.csv when the variant system was built
cmcC-xlwx,guj,memory,you,2026-09-15,in base.csv when the variant system was built
dyvz-vpxf,gul,exponent,you,2026-09-15,in base.csv when the variant system was built
rlrk-fqsx,dim,you,you,2026-09-15,in base.csv when the variant system was built
csxv-pyvm,dig,sine,you,2026-09-15,in base.csv when the variant system was built
sbdt-dnww,did,deed,you,2026-09-15,in base.csv when the variant system was built
jrqq-zjsz,dib,connect,you,2026-09-15,in base.csv when the variant system was built
chdl-dpws,dip,tree,you,2026-09-15,in base.csv when the variant system was built
kqcn-znvb,dis,number,you,2026-09-15,in base.csv when the variant system was built
qCtw-rfrd,div,drive,you,2026-09-15,in base.csv when the variant system was built
yCfb-wbym,dif,define,you,2026-09-15,in base.csv when the variant system was built
mlby-bCyk,det,datetime stamp/instance in time,you,2026-09-15,in base.csv when the variant system was built
nscc-whwf,dez,dynamic,you,2026-09-15,in base.csv when the variant system was built
pdmf-nmqk,dej,orange,you,2026-09-15,in base.csv when the variant system was built
kywv-cfmh,dam,morality,you,2026-09-15,in base.csv when the variant system was built
Cxtg-qldf,dan,the,you,2026-09-15,in base.csv when the variant system was built
Cqbc-rvrz,dag,dog,you,2026-09-15,in base.csv when the variant system was built
fpqz-jClh,dad,content,you,2026-09-15,in base.csv when the variant system was built
jvbw-csgy,dat,word,you,2026-09-15,in base.csv when the variant system was built
mkzj-wzCn,dak,physical,you,2026-09-15,in base.csv when the variant system was built
byzs-qxqz,das,understand,you,2026-09-15,in base.csv when the variant system was built
zbcd-mpys,dav,divine,you,2026-09-15,in base.csv when the variant system was built
jjbt-Cvjb,daf,orange,you,2026-09-15,in base.csv when the variant system was built
ychy-zygy,dac,death,you,2026-09-15,in base.csv when the variant system was built
tpzm-tyqz,dal,matter (physics),you,2026-09-15,in base.csv when the variant system was built
rlqn-wqcm,dom,state,you,2026-09-15,in base.csv when the variant system was built
ckcg-zxln,dob,two,you,2026-09-15,in base.csv when the variant system was built
kqnh-rtzj,dot,down,you,2026-09-15,in base.csv when the variant system was built
jtxw-ppxz,doz,here,you,2026-09-15,in base.csv when the variant system was built
qppf-jgxh,dor,door,you,2026-09-15,in base.csv when the variant system was built
cvzp-mdfq,dum,negative,you,2026-09-15,in base.csv when the variant system was built
pznC-jdys,dun,join (to one),you,2026-09-15,in base.csv when the variant system was built
nrll-tpbd,dug,drink,you,2026-09-15,in base.csv when the variant system was built
rhnx-xmlx,dud,friend,you,2026-09-15,in base.csv when the variant system was built
mldg-pmww,dub,aware,you,2026-09-15,in base.csv when the variant system was built
xlvz-vpbb,duk,minute,you,2026-09-15,in base.csv when the variant system was built
Cxgz-wqlz,dus,reduce,you,2026-09-15,in base.csv when the variant system was built
gblC-wctw,duz,do,you,2026-09-15,in base.csv when the variant system was built
xwzq-bjjk,dux,condition (general state),you,2026-09-15,in base.csv when the variant system was built
fyfl-wklc,dul,delete,you,2026-09-15,in base.csv when the variant system was built
whmj-fjdx,bim,target,you,2026-09-15,in base.csv when the variant system was built
ckhb-kwwp,biq,being,you,2026-09-15,in base.csv when the variant system was built
nvnt-jCxk,big,go,you,2026-09-15,in base.csv when the variant system was built
wgyC-dhdm,bid,ignorant,you,2026-09-15,in base.csv when the variant system was built
khpq-xnch,bib,we,you,2026-09-15,in base.csv when the variant system was built
Cpwm-kllj,bip,output,you,2026-09-15,in base.csv when the variant system was built
kjfv-mbyh,bit,beat,you,2026-09-15,in base.csv when the variant system was built
rwrl-fkcv,biz,intense,you,2026-09-15,in base.csv when the variant system was built
gsgw-tyrl,beq,bang,you,2026-09-15,in base.csv when the variant system was built
jjvg-syrz,bed,bite,you,2026-09-15,in base.csv when the variant system was built
mngl-cdvx,beb,baby,you,2026-09-15,in base.csv when the variant system was built
tCjs-xbzv,bep,left,you,2026-09-15,in base.csv when the variant system was built
czkC-snyp,bet,under,you,2026-09-15,in base.csv when the variant system was built
mhfw-qprp,bes,base,you,2026-09-15,in base.csv when the variant system was built
hjmy-ccfy,bam,create,you,2026-09-15,in base.csv when the variant system was built
jmnb-pycm,ban,together/bind,you,2026-09-15,in base.csv when the variant system was built
wfjg-gvts,baq,be,you,2026-09-15,in base.csv when the variant system was built
grbv-myrw,bag,insect,you,2026-09-15,in base.csv when the variant system was built
pqwp-Cbvd,bad,tangent (math),you,2026-09-15,in base.csv when the variant system was built
cmvq-Ccxg,bab,father,you,2026-09-15,in base.csv when the variant system was built
cvhC-fqpt,bat,beauty,you,2026-09-15,in base.csv when the variant system was built
tCqb-gprr,bak,send,you,2026-09-15,in base.csv when the variant system was built
tpcj-lccC,bax,bird,you,2026-09-15,in base.csv when the variant system was built
jdkf-Cwdt,baC,by,you,2026-09-15,in base.csv when the variant system was built
svvl-qtfl,bar,bear (carry),you,2026-09-15,in base.csv when the variant system was built
jhjg-rncv,bot,boat,you,2026-09-15,in base.csv when the variant system was built
bhxg-Cnlf,bos,possessive plural,you,2026-09-15,in base.csv when the variant system was built
fmdd-jtfm,boz,private,you,2026-09-15,in base.csv when the variant system was built
yhcj-bvgl,bov,debug,you,2026-09-15,in base.csv when the variant system was built
shjz-pzjj,bor,condition (case),you,2026-09-15,in base.csv when the variant system was built
cnch-mttn,bum,boom,you,2026-09-15,in base.csv when the variant system was built
cpbw-ncqj,bug,cosine,you,2026-09-15,in base.csv when the variant system was built
nytC-tsfw,bud,awake,you,2026-09-15,in base.csv when the variant system was built
szvd-qdpd,bub,boob,you,2026-09-15,in base.csv when the variant system was built
kwfb-hfqm,bup,energy,you,2026-09-15,in base.csv when the variant system was built
kjvf-rlvf,but,unstable,you,2026-09-15,in base.csv when the variant system was built
pjjx-dhlk,buz,bosom,you,2026-09-15,in base.csv when the variant system was built
qfwq-Ctwj,bux,yellow,you,2026-09-15,in base.csv when the variant system was built
pgzy-qwyz,bul,blue,you,2026-09-15,in base.csv when the variant system was built
sbrj-qlvy,pim,permeate,you,2026-09-15,in base.csv when the variant system was built
kpyr-nspk,piq,request,you,2026-09-15,in base.csv when the variant system was built
CcjC-rflw,pip,individual,you,2026-09-15,in base.csv when the variant system was built
vqnC-dhvv,pit,pure,you,2026-09-15,in base.csv when the variant system was built
hhzs-mnwx,pik,master,you,2026-09-15,in base.csv when the variant system was built
fzdc-kfsp,pem,they (communicating-agent-external-reference-focus),you,2026-09-15,in base.csv when the variant system was built
lqbk-srhs,peq,pay,you,2026-09-15,in base.csv when the variant system was built
jfpx-msmd,pes,green,you,2026-09-15,in base.csv when the variant system was built
tqvp-ggcy,pam,pray,you,2026-09-15,in base.csv when the variant system was built
btCg-dtmd,pan,yes,you,2026-09-15,in base.csv when the variant system was built
jflt-syCs,paq,response,you,2026-09-15,in base.csv when the variant system was built
mbzt-dgjl,pat,dimension,you,2026-09-15,in base.csv when the variant system was built
zlCk-sbdy,pak,package,you,2026-09-15,in base.csv when the variant system was built
Csvy-nvph,pas,space,you,2026-09-15,in base.csv when the variant system was built
psCv-msfy,pac,path,you,2026-09-15,in base.csv when the variant system was built
Ctqc-jzxd,par,depart/from,you,2026-09-15,in base.csv when the variant system was built
klhc-dvdm,pom,different,you,2026-09-15,in base.csv when the variant system was built
dtmc-wnby,pod,free,you,2026-09-15,in base.csv when the variant system was built
dmmd-wvgc,pob,right,you,2026-09-15,in base.csv when the variant system was built
vbwm-kzfb,pop,property (of object),you,2026-09-15,in base.csv when the variant system was built
szsl-zlfp,pot,honorific (address),you,2026-09-15,in base.csv when the variant system was built
vbtv-mrzm,por,poor,you,2026-09-15,in base.csv when the variant system was built
dvkf-vqyd,pum,time (count),you,2026-09-15,in base.csv when the variant system was built
ypgt-hrhn,pul,pull,you,2026-09-15,in base.csv when the variant system was built
rnCq-dlbt,tim,team,you,2026-09-15,in base.csv when the variant system was built
msdp-nzxg,tin,between,you,2026-09-15,in base.csv when the variant system was built
qvfj-mgnn,tiq,mental experience,you,2026-09-15,in base.csv when the variant system was built
mshd-pdcq,tip,step,you,2026-09-15,in base.csv when the variant system was built
