be,feature (adjective)
bo,you
bu,or
do,me
dU,the
ga,ouch
ge,a
go,it
gu,but
ha,they
he,hey
hi,past tense
ke,okay
ko,verb
la,and
le,there
li,advb
lu,most
mu,maybe
na,not
ni,unknown
no,no/none
ra,here
sa,plural (many)
se,adjective
si,if
so,noun
ti,then
tu,to
va,of
vi,with
vo,pronoun
wi,we
wo,future tense
ya,current active
yi,yes
yu,you all
za,all
zi,some
zu,few
bab,
bAb,
bad,
bAd,bad
baf,
bAf,
bag,small
bAg,bag
bak,fault/error
bAk,back
bal,cell
bAl,
bam,want
bAm,safe
ban,flame
bAn,above
bap,
bAp,
baq,self
bAq,
bas,cross
bAs,within
bat,shine
bAt,ask
bav,
bAv,
bax,
bAx,break
baz,
bAz,
beb,new
bEb,
bed,
bEd,brown
bef,
bEf,
beg,
bEg,
bek,sleep
bEk,
bel,buy
bEl,ring
bem,
bEm,
ben,
bEn,freedom
bep,
bEp,
beq,
bEq,
bes,base
bEs,
bet,
bEt,
bev,
bEv,
bex,
bEx,
bez,
bEz,
bib,
bIb,
bid,piece
bId,offer
bif,be
bIf,
big,
bIg,big
bik,
bIk,reflect
bil,by
bIl,interactability
bim,copy
bIm,
bin,grow
bIn,trash
bip,be present with/located with
bIp,
biq,else
bIq,
bis,beside
bIs,symbolic
bit,beat
bIt,bit
biv,
bIv,
bix,
bIx,
biz,
bIz,
bob,
boc,both
bod,
bof,
bog,
bok,
bol,blow
bom,
bon,
bop,
boq,about
bOq,self and else
bos,
bot,aboard
bov,
box,
boz,
bub,
bUb,brother/sister
bud,
bUd,emerge
buf,
bUf,
bug,
bUg,
buj,brain
buk,
bUk,weight
bul,boolean
bUl,
bum,
bUm,
bun,cultivation
bUn,
bup,along
bUp,
buq,
bUq,
bus,
bUs,carrier vehicle
but,
bUt,but
buv,
bUv,
bux,
bUx,
buz,
bUz,vibration
cab,
cAb,
cad,
cAd,
caf,
cAf,
cag,recognize
cAg,
cak,
cAk,
cal,
cAl,
cam,
cAm,
can,
cAn,
cap,
cAp,
caq,this
cAq,
cas,
cAs,
cat,thought
cAt,
cav,
cAv,
cax,
cAx,
caz,
cAz,
ceb,
cEb,
ced,
cEd,
cef,
cEf,
ceg,
cEg,
cek,
cEk,
cel,
cEl,
cem,
cEm,
cen,
cEn,
cep,
cEp,
ceq,
cEq,
ces,
cEs,
cet,
cEt,
cev,
cEv,
cex,
cEx,
cez,
cEz,
cib,
cIb,
cid,
cId,
cif,
cIf,
cig,
cIg,
cik,
cIk,
cil,
cIl,
cim,
cIm,
cin,
cIn,either
cip,
cIp,
ciq,thing
cIq,
cis,
cIs,
cit,
cIt,
civ,
cIv,
cix,
cIx,
ciz,
cIz,otherwise
cob,
cod,
cof,
cog,
cok,
col,
com,
con,
cop,
coq,
cos,
cot,
cov,
cox,
coz,
cub,
cUb,
cud,
cUd,
cuf,
cUf,
cug,
cUg,
cuk,
cUk,
cul,
cUl,
cum,
cUm,
cun,
cUn,
cup,
cUp,
cuq,that
cUq,
cus,
cUs,
cut,
cUt,
cuv,
cUv,
cux,
cUx,
cuz,
cUz,
dab,task/work to be done
dAb,reaction
dad,odd
dAd,
daf,
dAf,
dag,
dAg,
dak,standard
dAk,
dal,body
dAl,
dam,flow
