,aardvark
,abdomen
,ablaze
,adult
,adventure (something fun to do)
,affine
,agricultural science
,agriculture
,almond
,alpaca
,antelope
,ant
,apartment
,appendix
,applaude
,apple
,april
,armadillo
,armpit
,ascetic
,attic
,august
,automata
,autumn
,axiom (base assumption)
,babysitter
,backhand
,backward
,badger
,banana
,bank (finance)
,barb
,barefoot
,bark (dog sound)
,barley
,barn (animal house)
,baryon
,bashful
,basin
,bat (animal)
,bath
,bay
,beak (bird lips)
,bear
,beard
,beast (brute animal)
,beaver
,bedroom
,bee
,beef
,beer
,beetle
,berry
,palace
,worm
,wrist
,yolk
,zigzag
,zoo (animal display)
,sea urchin (sea spikes)
,seagull
,seated meditation
,seaweed
,seawards
,broom
,bronze
,broadcast
,brick
,breakfast (morning meal)
,bread
,boy (young male)
,box
,bottle (liquid holder)
,bother (male sibling)
,boson
,bootleg
,boot (heavy shoe)
,book (text container)
,bone
,bomb (explosive device)
,desert (place)
,derivative
,depart (leave from)
,demolish
,deer
,deck (patio)
,december
,decelerate
,daughter (female child)
,cup
,cucumber
,pickle
,crow
,cross-legged
,mother (female parent)
,moss
,copper
,contract
,contest (fight)
,conspicuous
,console (configuration panel)
,concur (agree)
,concrete (material)
,concert (music event)
,brother (male sibling)
,bruise
,buddism
,bucket
,buffalo
,bull
,bush
,bus
,butter
,butterfly
,buttocks
,button
,cabinet
,cable
,cadaver (dead body)
,cafe
,cage (lockable box)
,cake
,calcium
,camera (image capture)
,candle
,candy
,cannon
,cap
,capital (main place)
,captain (leader of vehicle)
,car
,carbon
,card (small paper)
,tonque
,tonight
,toe
,today
,toad
,tire (car)
,tissue
,tin
,timber (wood material)
,tiger
,tie (clothing)
kamata,thursday
,thumb
,board (wood sheet)
,booth
,bow (arrow)
,bow (bend)
,bowel
,brass
,carpet
,carriage
,cartilage
,cartoon
,case
,cast (film)
,castle
,cat
,caterpillar
,cathedral
,cattle
,cell (biology)
,cervix
,chamber
,channel ()
,chapel
,chapter (book division level 1)
,cheek
,cheese
,cherry
,chess
,chest
,chicken
,chief
,chimpanzee
,chin
,chocolate
,christianity
,christmas
,church
,cinema
,clam
skuloruma,classroom
,claw
,clay
,clinic
,clitoris
,forest
,june
,yacht (big boat)
,yard (enclosed land)
,weep (cry)
,whale
,wheat
,whey
,:fe (female partner)
,:llow
,:ndpipe
,:ne
,:ng (fly arm)
,:nk
,:nter (cold season)
,summer (hot season)
,spring (rise season)
,autumn (fall season)
,:tch (bad female shaman)
,:zard (good magician)
,wolf
,woman (female human)
,woodpecker
,wool (thick fur)
nekata,wednesday
,upriver
,uptown
,upward
,urine
,uvula
,van
venom,venom (snake poison)
,verse
,vertebra
,vessel
,veteran (war person)
,village
,vinegar
,violin
,volcano (fire mountain)
,volleyball
