native,latin,custom,type,meaning
עָמַל,amàl,hamal,v,to work
אָבוּד,avúd,havud,a,lost
אַבְזָר,ʾaḇzā́r,habzar,n,physically distinct item
אֻבְחַן,'uv'khán,huvkan,v,to be diagnosed
אֻבְטַח,uv'tákh,huvtak,v,to be secured
אָבָק,avák,kavak,n,dust
פָּרַשׁ,parásh,parax,v,to retire
תַּאֲגִיד,ta'agíd,tagid,n,corporation
אוֹגֵר,ogér,hogar,n,hoard
בֵּאֵר,be'ér,bahar,v,to clarify
בּוֹגֵר,bogér,bogir,a,mature
בָּדָד,badád,badad,a,alone
בַּדְחָן,badkhan,badkan,n,prankster
בָּדַל,badál,badal,v,to divide
נִבְדַּק,nivdák,nivdak,v,to be tested
בָּדַק,badák,badak,v,to check
בָּהִיר,bahír,bahir,a,bright
מָבוֹךְ,mavókh,mavok,n,maze/labyrinth
מְבוּשִׁים,m'vushím,vuxim,n,genitals
בִּטּוּי,bitúi,bituk,n,an accent
בֶּטַח,bétakh,batak,a,to rely on
בָּטַל,batál,batal,v,to cease to exist
בֻּיַּת,buyát,buyat,v,to be domesticated
בָּכִיר,bakhír,a,senior rank
בַּעַל,bá'al,bahal,n,owner
בָּקַע,baqáʿ,bakak,v,to hatch
גֹּבַהּ,góvah,govak,a,height
הִגְבִּיל,higbíl,higbil,v,to limit/restrict
חֲבַק,ḥăḇaq,habak,v,to embrace
חָגַג,khagág,kagag,v,to celebrate
חִיצוֹנִי,khitzoní,kitzon,a,external
חָזַר,chazár,kazar,v,to return at regular intervals
חוּטָא,ħūṭāˀ,hutak,n,seam
חַיִּים,ḥayím,hayim,n,life
חָכָם,khakhám,kakam,a,smart
נֶחְלַק,nekhlák,naklak,v,to disagree
חָמַד,khamád,kamad,v,to covet
הִזְהִיר,hizhír,hizir,v,to warn
נִזְכַּר,nizkár,nizkar,v,to remember suddenly after having forgotten
זָמַר,zamár,zamar,v,to prune
זָנַח,zanákh,zanak,v,to abandon
הִזְנִיחַ,hizníakh,hiznik,v,to neglect
זָקוּף,zakúf,zakuf,a,erect
זֵרֵז,zeréz,ziriz,v,to catalyze
זָרַח,zarách,zarak,v,to shine
נִזְרַק,nizrák,nizrak,v,to be thrown
יָבֵשׁ,yavésh,yavax,v,dry
יָשַׁב,yasháv,yaxav,v,to sit
מַדָּע,madá,madaq,n,science
עָמַד,amád,hamad,v,to stand
יָחִיד,yahhíd,yahid,n,individual
יַחַס,yákhas,yakas,n,a sentiment
יָלַד,yalád,yalad,v,to give birth
יַנְקוּת,yanqut,yaqkut,n,infancy
הוֹצִיא,hotsí,hotsiq,v,to be taken out
יוֹשֵׁב,yoshév,yoxav,n,inhabitant
מַכְאוֹב,makh'óv,makov,n,grief
כִּוּוּן,kivún,kivun,n,orientation
נִכְנַס,nikhnás,niknas,v,to enter a state
לָבַשׁ,lavásh,lavax,v,to wear
לָמַד,lamád,lamad,v,to study
נִלְחַם,nilkhám,nilkam,v,to wage war
מָוֶת,mávet,mavat,n,death
מֻזַּג,muzág,v,to be merged
מָכַר,makhár,makar,v,to sell
מְלִית,m'lít,milit,n,filling
נִמְלַךְ,nimlakh,nimlak,v,to consult
מָסוּר,masúr,masur,a,devoted
הִמְצִיא,himtsí,himsiq,v,to invent
מְמֻשָּׁךְ,m'mushákh,muxak,a,prolonged
נְבִיאִים,n'vi'ím,nivim,n,prophecy
תּוֹרָה,torah,torap,n,instruction
הַגָּדָה,hagadá,hagad,n,a story telling
נַגָּד,nagád,nagad,n,resistor
נִגּוּן,nigún,nigun,n,a melody
נָדִיב,nadív,nadiv,a,generous
נָדַד,nadád,nadad,v,to wander
מִנְהָג,minhág,minag,n,custom/traditional practice
מֻנָּח,munákh,munak,n,term/specific word
הִזִּיק,hizík,hizik,v,to damage
הִכִּיר,hikír,hikir,v,to recognize
טִיּוּל,tiyúl,tiyul,n,tour
נָעַם,na'ám,naham,v,to please
נָשַׁק,nasháq,naxak,v,to kiss
מַתָּן,matán,matan,n,a gift
סִבּוּךְ,sibúkh,sibuk,n,a complication
הִסְפִּיק,hispík,hispik,v,to be enough/to suffice
מַעֲגָן,ma'agán,magan,n,dock
מַעֲלָה,ma'alá,makal,n,advantage
הֶעֱלִים,he'elím,halim,v,to make vanish
עָקַד,ʿaqád,hakad,v,to tie
נָפוֹץ,nafóts,nafots,a,widespread
נָדִיר,nadír,nadir,a,rare
מֶמֶר,memer,mamar,n,sorrow
יָרָה,yârâh,yarak,v,to flow as water
הֶפֶךְ,hefek,hafak,v,to turn
פָּלַט,pâlaṭ,palat,v,to slip out
נָשַׁף,nâshaph,naxaf,v,to breeze
בָּצֵק,batsék,batsak,v,dough
תַּרְגּוּם,targum,targum,n,translation
כָּבוֹד,kavod,kavod,n,honor/respect
מִזְרָח,mizrach,mizrak,n,east
הֶדְחֵק,hedchek,hadhak,n,displacement of water by submerged body
הֲקָמָה,hakama,hakam,n,establishment
מְרוּצָה,merutza,marutz,n,race
מַדָּף,madaf,madaf,n,shelf/ledge
חוֹרֶף,choref,koraf,n,winter
כַּדּוּר,kadur,kadur,n,ball/sphere
סִירְטוּן,sirtun,sirtun,n,carcinogenesis
בָּלָטָה,balata,balat,n,tile
דָּמִים,damim,damim,n,price
תּוֹקֶף,tokef,tokaf,n,validity
כּוֹשֶׁר,kosher,koxir,n,fitness
גִּילְגּוּל,gilgul,gilgul,n,metamorphosis
נַתְרָן,natran,natran,n,sodium
יֵצֶר,yetzer,yitzur,n,instinct
