tune,english
cofos,particle (quantum particle)
mindac,baryon (quantum particle)
xaxib,electron (quantum particle)
vugonz,lepton (quantum particle)
kemdeg,photon (quantum particle)
hurpec,proton (quantum particle)
wafkeg,neutron (quantum particle)
kutxal,pion (quantum particle)
xuqkor,muon (quantum particle)
nasaqk,kaon (quantum particle)
hidjak,meson (quantum particle)
xreCiC,hadron (quantum particle)
multos,hyperon (quantum particle)
bogzep,quark (quantum particle)
fiqkuc,fermion (quantum particle)
morcuf,boson (quantum particle)
grucik,tachyon (quantum particle)
magzef,gluon (quantum particle)
solzoC,neutrino (quantum particle)
sofaC,positron (quantum particle)
femzeb,tau (quantum particle)
