tune,english
solpug,absolutno (star)
Colpiz,alasia (star)
retxus,amadioha (star)
vimdab,amansinaya (star)
hatxez,anadolu (star)
Cazdac,aniara (star)
komzub,arcalís (star)
warpuz,atakoraka (star)
cemdeq,axólotl (star)
canuC,ayeyarwady (star)
hodulp,baekdu (star)
legox,bélénos (star)
rospec,belel (star)
duyig,berehynia (star)
mefolz,bibhā (star)
ruhirs,bosona (star)
nastor,bubup (star)
huhudj,buna (star)
dustul,ceibo (star)
porged,chaophraya (star)
zizdeg,chasoň (star)
woyarf,chechia (star)
cacif,citadelle (star)
txumed,citalá (star)
guzars,cocibolca (star)
feyorv,dingolay (star)
gazdap,dìwö (star)
kedjum,diya (star)
gizinz,dofida (star)
nuskan,dombay (star)
wuskor,ebla (star)
vixurg,emiw (star)
maxoz,felixvarela (star)
seyumz,flegetonte (star)
gemzac,formosa (star)
xagzec,franz (star)
saftiq,funi (star)
sartus,gakyid (star)
Cirtod,gloas (star)
goqkug,gumala (star)
morbub,hoggar (star)
derbak,horna (star)
murpuk,hunahpú (star)
degzuk,hunor (star)
semizd,illyrian (star)
yerpux,inquill (star)
nondag,intan (star)
regzud,irena (star)
valzez,itonda (star)
Ceyugj,kalausi (star)
meqkud,kamuy (star)
sustun,karaka (star)
punden,kaveh (star)
klevom,koeia (star)
Cuftib,koit (star)
durdax,lerna (star)
gistuf,liesma (star)
mulpag,lionrock (star)
nacimd,lucilinburhuc (star)
kolzep,lusitânia (star)
furzem,macondo (star)
netxok,mago (star)
guwisp,mahsati (star)
zetxer,malmok (star)
ferzuC,márohu (star)
taftem,mazaalai (star)
gloxig,moldoveanu (star)
loftig,mönch (star)
revax,montuno (star)
zolart,morava (star)
femduc,moriah (star)
piskef,mouhoun (star)
herpiC,mpingo (star)
gafteg,muspelheim (star)
srulam,naledi (star)
sezdif,násti (star)
rovurz,natasha (star)
tuskat,nenque (star)
vutxoq,nervia (star)
garCok,nikawiy (star)
vifkul,nosaxa (star)
yarged,nushagak (star)
verzip,nyamien (star)
senzul,parumleo (star)
lejars,petra (star)
dacalp,phoenicia (star)
kaskaC,pincoya (star)
gowigj,pipoltr (star)
cromeb,poerava (star)
vurzon,rapeto (star)
vroqam,rosaliadecastro (star)
Cirbin,sagarmatha (star)
ferbup,sāmaya (star)
dusurc,sansuna (star)
ciftic,shama (star)
guspon,sharjah (star)
garkas,sika (star)
yagzib,solaris (star)
nuskoc,sterrennacht (star)
draCor,stribor (star)
vasev,taika (star)
hococ,tangra (star)
girgux,tapecue (star)
yorcaf,tevel (star)
sosad,timir (star)
damund,tislit (star)
vetxek,tojil (star)
gargiv,tuiren (star)
sadjuq,tupã (star)
zumzun,tupi (star)
hucolp,uklun (star)
lundom,uruk (star)
pirbov,xihe (star)
bihifk,gudja (star)
kerzod,guniibuu (star)
popus,imai (star)
henarv,la superba (star)
parzev,paikauhale (star)
glidon,toliman (star)
fofkos,alpherg (star)
zorciv,alruba (star)
trudox,ashlesha (star)
fospir,azmidi (star)
Conzuc,bunda (star)
famond,elgafar (star)
haqkax,elkurud (star)
Cimziz,fawaris (star)
ranenz,felis (star)
caspuc,fumalsamakah (star)
dirpen,heze (star)
lihigz,kraz (star)
klavuf,nahn (star)
hufalz,okab (star)
tifkuk,piautos (star)
mifadj,tarf (star)
karpug,ukdah (star)
siminz,acamar (star)
zirbig,achernar (star)
zercac,achird (star)
xuqeqk,acrab (star)
gospir,acrux (star)
xarkuz,acubens (star)
pigzax,adhafera (star)
rosask,adhara (star)
ruhinz,adhil (star)
vutxaj,ain (star)
hajigz,ainalrami (star)
febolp,aladfar (star)
faftak,albaldah (star)
kemdud,albali (star)
gospan,albireo (star)
kagem,alchiba (star)
surdud,alcor (star)
yomdal,alcyone (star)
zigzej,aldebaran (star)
farun,alderamin (star)
somziq,aldhanab (star)
roskuC,aldhibah (star)
gimdin,aldulfin (star)
semurd,alfirk (star)
vurpom,algedi (star)
hofedj,algenib (star)
cobest,algieba (star)
yukaj,algol (star)
coyiz,algorab (star)
cedolt,alhena (star)
Cortib,alioth (star)
humarv,aljanah (star)
doskoq,alkaid (star)
zarbir,alkalurops (star)
dumdav,alkaphrah (star)
parcoz,alkarab (star)
bimdid,alkes (star)
sorpoc,almaaz (star)
blegeg,almach (star)
gazdaC,alnair (star)
borbux,alnasl (star)
slafun,alnilam (star)
dundod,alnitak (star)
wemdiv,alniyat (star)
niCesp,alphard (star)
gribez,alphecca (star)
yurzum,alpheratz (star)
gedjoj,alrakis (star)
nepap,alrescha (star)
wurCop,alsafi (star)
cecas,alsciaukat (star)
norgeb,alsephina (star)
guskoz,alshain (star)
fefkij,alshat (star)
falzuv,altair (star)
cugik,altais (star)
zirdog,alterf (star)
tondaf,aludra (star)
rolpuj,alula australis (star)
cajurk,alula borealis (star)
larbes,alya (star)
hemad,alzirr (star)
Cafteq,ancha (star)
lardop,angetenar (star)
daqkuv,ankaa (star)
datxeq,anser (star)
zivust,antares (star)
borzad,arcturus (star)
hozdib,arkab posterior (star)
xartot,arkab prior (star)
luftic,arneb (star)
Cuspex,ascella (star)
paltik,asellus australis (star)
perpal,asellus borealis (star)
guxork,aspidiske (star)
faqkej,asterope (star)
lorcej,athebyne (star)
siferz,atik (star)
togzer,atlas (star)
lizdaC,atria (star)
nejulz,avior (star)
hufkul,azelfafage (star)
txufuC,azha (star)
kenzen,barnard's star (star)
dulzaC,baten kaitos (star)
mojegz,beemim (star)
cracad,beid (star)
nondek,bellatrix (star)
wemdac,betelgeuse (star)
yutxur,bharani (star)
yotxoz,biham (star)
sohumz,botein (star)
turgiv,brachium (star)
lecerp,canopus (star)
gomdux,capella (star)
djexiq,caph (star)
dezdep,castor (star)
porcaC,castula (star)
watxis,cebalrai (star)
vistag,celaeno (star)
lalirz,cervantes (star)
zatxis,chalawan (star)
caburp,chamukuy (star)
vaqkit,chara (star)
regzeg,chertan (star)
xerez,copernicus (star)
derces,cor caroli (star)
xluCif,cujam (star)
gizdib,cursa (star)
parbiC,dabih (star)
yespop,dalim (star)
tarot,deneb algedi (star)
maferf,deneb (star)
gezasp,denebola (star)
Carzug,diadem (star)
gumdep,diphda (star)
hiCor,dschubba (star)
zedjos,dubhe (star)
walpid,dziban (star)
lomdoj,edasich (star)
wozidj,electra (star)
yurkus,elnath (star)
gowisk,eltanin (star)
gurboc,enif (star)
cugzol,errai (star)
lurtij,fafnir (star)
rostar,fang (star)
frifis,fomalhaut (star)
blexiz,fulu (star)
Cohad,furud (star)
yugotx,fuyue (star)
fegeg,gacrux (star)
balarc,giausar (star)
zartar,gienah (star)
xorzol,gomeisa (star)
pulpuj,grumium (star)
getxur,hadar (star)
hurzas,haedus (star)
yefkic,hamal (star)
turgot,hassaleh (star)
Cawurs,hatysa (star)
cruseC,helvetios (star)
gavazd,homam (star)
krixef,iklil (star)
sricac,intercrus (star)
wigugz,izar (star)
yustuz,jabbah (star)
verzal,jishui (star)
vospej,kaffaljidhma (star)
giftur,kang (star)
wivirg,kaus australis (star)
neqkid,kaus borealis (star)
blokeq,kaus media (star)
gomzen,keid (star)
txinem,khambalia (star)
zumzol,kitalpha (star)
trebox,kochab (star)
curgeg,kornephoros (star)
ginzog,kurhah (star)
mulif,lesath (star)
gamzex,libertas (star)
ferbif,lich (star)
guxegj,lilii borea (star)
klokec,maasym (star)
tizdaC,mahasim (star)
caderk,maia (star)
duxov,marfik (star)
firbev,markab (star)
pepob,markeb (star)
yifkoq,marsic (star)
letxul,matar (star)
fuskan,mebsuta (star)
pircor,megrez (star)
fadjoc,meissa (star)
goqogj,mekbuda (star)
maromd,meleph (star)
larCak,menkalinan (star)
falpit,menkar (star)
larCur,menkent (star)
drolic,menkib (star)
kuzor,merak (star)
Cespik,merga (star)
monzun,meridiana (star)
racub,merope (star)
nalic,mesarthim (star)
mawek,miaplacidus (star)
yonduq,mimosa (star)
gurpiC,minchir (star)
hugzux,minelauva (star)
