tune,english
mamdez,adakite (rock-igneous)
gurCaq,andesite (rock-igneous)
bucozd,alkali (rock-igneous)
kreCoq,anorthosite (rock-igneous)
haboc,aplite (rock-igneous)
hudinz,basalt (rock-igneous)
dirpak,'a'a (rock-igneous)
pondor,pahoehoe (rock-igneous)
somdiq,Basaltic trachyandesite (rock-igneous)
tedjun,mugearite (rock-igneous)
pemdus,shoshonite (rock-igneous)
cranin,basanite (rock-igneous)
ceqkim,blairmorite (rock-igneous)
burgof,boninite (rock-igneous)
vortep,carbonatite (rock-igneous)
morgam,charnockite (rock-igneous)
vidjed,enderbite (rock-igneous)
polzid,dacite (rock-igneous)
vumzob,diabase (rock-igneous)
nagzeb,diorite (rock-igneous)
turtap,napoleonite (rock-igneous)
manur,dunite (rock-igneous)
zotxet,essexite (rock-igneous)
miskov,foidolite (rock-igneous)
kaltok,gabbro (rock-igneous)
ganziq,granite (rock-igneous)
dacarg,granodiorite (rock-igneous)
djoxov,granophyre (rock-igneous)
kleroz,harzburgite (rock-igneous)
Cazdax,hornblendite (rock-igneous)
braCus,hyaloclastite (rock-igneous)
wolpex,icelandite (rock-igneous)
poltaC,ignimbrite (rock-igneous)
gevol,ijolite (rock-igneous)
tagzit,kimberlite (rock-igneous)
xakin,komatiite (rock-igneous)
djeban,lamproite (rock-igneous)
miceft,lamprophyre (rock-igneous)
cafolz,latite (rock-igneous)
cundim,lherzolite (rock-igneous)
xarzek,monzogranite (rock-igneous)
dazdif,monzonite (rock-igneous)
dopup,nepheline syenite (rock-igneous)
pudjef,nephelinite (rock-igneous)
kamzoz,norite (rock-igneous)
wultix,obsidian (rock-igneous)
bargaz,pegmatite (rock-igneous)
Corzap,peridotite (rock-igneous)
mowurg,phonolite (rock-igneous)
mordoj,phonotephrite (rock-igneous)
bundes,picrite (rock-igneous)
talpen,porphyry (rock-igneous)
febanz,pumice (rock-igneous)
zerCob,pyroxenite (rock-igneous)
rozdos,quartzolite (rock-igneous)
rondaj,rhyodacite (rock-igneous)
becorf,rhyolite (rock-igneous)
rewinz,comendite (rock-igneous)
pergir,pantellerite (rock-igneous)
sasteq,scoria (rock-igneous)
cirtuv,shonkinite (rock-igneous)
kespuC,sovite (rock-igneous)
porkuc,syenite (rock-igneous)
botot,tachylyte (rock-igneous)
praxev,tephriphonolite (rock-igneous)
moltap,tephrite (rock-igneous)
kudjup,tonalite (rock-igneous)
sebuft,trachyandesite (rock-igneous)
zofkub,benmoreite (rock-igneous)
xerCic,trachybasalt (rock-igneous)
xatxis,hawaiite (rock-igneous)
seftin,trachyte (rock-igneous)
vaftan,troctolite (rock-igneous)
reCard,trondhjemite (rock-igneous)
narbic,tuff (rock-igneous)
forzex,websterite (rock-igneous)
caCorg,wehrlite (rock-igneous)
buftaf,anthracite (rock-metamorphic)
difoC,amphibolite (rock-metamorphic)
mafkaf,blueschist (rock-metamorphic)
zistuC,cataclasite (rock-metamorphic)
kortul,eclogite (rock-metamorphic)
biqkor,gneiss (rock-metamorphic)
figzak,granulite (rock-metamorphic)
dergav,greenschist (rock-metamorphic)
bojoC,hornfels (rock-metamorphic)
xumdec,calcflinta (rock-metamorphic)
pofkor,litchfieldite (rock-metamorphic)
yaftux,marble (rock-metamorphic)
frecof,migmatite (rock-metamorphic)
guyud,mylonite (rock-metamorphic)
londaC,metapelite (rock-metamorphic)
gorgus,metapsammite (rock-metamorphic)
