tune word,english word
baf,dont try
bag,
bak,back
bal,scope
ban,fault/error
baq,self
bas,
bat,agent
bax,
beb,clean
bek,sleep
ben,good
bes,base
bid,
bin,fruit
bip,information
biq,else
bis,
bit,beat
bod,seem
bol,detach
bom,
bon,hook/joint/link
boq,
bot,vehicle
bul,boolean
bun,old
bup,
bus,
dad,memory
dag,wisdom
dak,command
dal,body
dam,stop
dan,
dat,
det,timestamp
dez,moment
did,transaction
dig,miss
dik,find
dim,judgement
dip,tree
dir,
dit,distance
div,suppose
dok,
don,job
dop,value
dos,two
dot,
doz,nature
dud,add
dul,exclude
dum,divide
dun,
dup,copy
duq,do
dur,endure
dus,normal
nob,point
fab,try
fal,fall
fam,family
fan,eight
fap,connect
faz,fact
fed,fade
fek,fake
fes,z axis
fet,feel
fid,field
fin,finish
fir,end
fis,
fit,consecutive
fiz,
fol,full
fom,format
fon,search
for,
fov,bundle
ful,not know
fun,
gab,produce
gad,god
gag,opposite
gal,ignore
gam,common
gan,go
gat,rectangle
gax,particle
gem,game
get,door
gev,given
gid,hit
gis,scale
giz,hence
gol,goal
gom,agree
gon,go
got,square
gun,hide
hak,male
hal,center
han,zero
hap,step
hid,filter
hip,pile
hit,scattered
hiv,throw
hol,whole
hom,home
hop,balance
hev,have
hut,item
kad,together
kag,piece
kal,call
kam,five
kan,can
kaq,class object
kar,capacity
kas,minimum
kat,trash
kax,thing type
kaz,cause
kek,rectangle
kem,destroy
ken,
kep,condition
kes,case
ket,give
kev,break
kex,straight
kid,
los,emptiness
kin,come
kip,group
kiq,class action
kit,cut
kiv,axis
kix,shift type
kiz,key
kod,code
kol,collect
kom,
kon,number
kop,decision
kos,absorb
kot,count
koz,
kul,cool
kum,come
koq,class feature
kuz,
lag,pay attention to
lak,lock
lal,
lam,forth
lan,
lap,many
lat,last
lav,even (number)
led,
lek,aggregate
lem,acceleration
len,run
lep,layer
les,string
lex,remain
lib,
lid,leader
lif,leaf
lig,category
lim,branch
lin,
lip,chain
lis,borrow
lit,delete
liv,exit
lix,sequence
lob,attach
lod,load
lof,less
lom,clear
lon,loan
lop,explore
lor,text/book
lot,excessive
lov,dissimilar
loz,
lud,include
luf,know
luk,slow
lul,select
lum,consciousness
lun,right
lup,loop
lus,another
luv,enter
lux,pull
mad,flow
mag,rare
mak,max
mam,now
man,something
map,uncover
mas,mass
mat,six
mav,love
max,server
maz,mental
med,trade
mek,make
men,primary
mes,different
met,add
mev,ever
mex,substance
mez,puzzle
mim,righteousness
min,average
mir,few
mis,most
mit,meet
miv,
miz,reduce
mod,host
mol,
mok,
mom,spirit
mon,target
mop,together
mor,more
mot,boundary
moz,
mud,multiply
mul,unconsciousness
mun,mind
mus,shuffle
muz,
mut,
muv,move
mux,death
nad,
naf,
nak,lack
nal,
nam,time
nan,nothing
nas,doubt
nav,nine
neb,bad
ned,
nek,four
nem,define/name
nep,actual
net,
nev,behavior
nez,die
nid,parse
nik,edge
nil,confusion
nin,secret
nis,since
nit,nice
niv,
nix,plan
niz,line
nol,return
nom,source
non,knowledge
nor,nor (logic)
not,message/note
nov,
nub,new
nud,
nuf,
nug,show
nuk,event
nul,left
nun,neither something nor nothing
nut,force
zam,physical
fok,person who practices x
nux,lack of work
nuz,stream
pag,upon
pak,eleven
pal,short
pam,cover
pan,ago
paq,response
par,per
pat,bottom
pax,match
paz,pause
pen,imaginary
pes,x axis
pev,mutable
pik,peak
pil,depth
pin,such
pip,point
piq,ask
pir,peer
pis,peace
piv,constant
pom,separate
pop,optional
pot,input
poz,problem
dis,
xan,
xab,seven
pum,performer
mup,receiver
pud,merge
puf,proof
pul,amount
rad,project
rak,solid
rap,float
ras,process
rat,
red,transition
rek,range
rem,crooked
res,
ret,required
rev,intuition
rez,master
rid,read
rif,start
rik,twelve
ril,reality
rim,
rin,again
rip,graph
riq,circle
ris,rise
riz,operate
rod,path
rol,rotate
rom,direction
ron,
ros,irregular
rov,
roz,bloom
ruf,
rul,rule
rum,space
run,write
rup,
ruz,
sab,kill
sak,maximum
sal,three
san,certainty
saq,universe
sas,amazement
sed,
seg,aspect
sek,except
sem,same
sen,integer
sev,save
