wemz,
smop,
pezd,
fuqk,
taqk,
rogz,
sliq,
xegz,
zenz,purple
vlis,green
vamz,
femd,
larp,
noft,
talt,
nifk,
wond,
molz,
greg,
galt,
blup,
kliv,
riqk,
vral,
yomd,
wunz,
salz,
kogz,
rafk,
kloz,
glof,
ferz,
bask,
smig,
xalz,
xmiro,
wurd,
dort,
brol,
vliz,
xrun,
sral,
txeq,
mimd,
yest,
vrul,
yurz,
zord,
sust,
txad,
slif,
xazd,
rurz,
xrep,
flud,
zolz,
glox,
dalp,
prux,
polt,
hamd,
nisp,
txuv,
kosk,
kisk,
bliz,
vonz,
plut,
srez,
xluv,
rimd,
pagz,
tris,
kloq,
plul,
petx,
dimz,
flof,
troz,
vlum,
warp,
fusk,
trom,
braz,
yust,
vlob,
snir,
musp,
nerp,
morz,
trip,
blok,
fisk,
txen,
tetx,
falp,
lulp,
klez,
frof,
klid,
dunz,
finz,
xlaq,
hogz,
bror,
plax,
womz,
vird,
treg,
grog,
pomd,
tanz,
drom,
dirp,
murz,
pigz,
ples,
snur,
xmeq,
rirt,
vleg,
yaft,
smut,
fars,
bosk,
xler,
derz,
smos,
smup,
lofk,
demz,
mesp,
luft,
fumd,
grip,
plol,
klad,
plex,
pist,
kyig,
vurd,
nusk,
buqk,
frux,
rult,
golp,
txan,
xest,
sniv,
monz,
boft,
dusk,
pruq,
pinz,
sroba,
txefo,
xlubi,
krun,
sand,
memd,
xrat,
blal,
glob,
naft,
lerz,
xetx,
drig,
vesp,
vraz,
txun,
lumd,
slub,
varka,aardvark
krafa,abandon
,abdomen
tutxo,ablaze
tutxi,ablazen
nanoyotxo,abnormal
murpo,aboard
vrugo,about
brovo,above
kondo,abreast
lefko,abrupt
lefkoyo,abruptly
gruba,absence
gafka,absence of desire
grubo,absent
gruboyo,absently
pesko,absolute
peskoyo,absolutely
kyabi,absorb
kyabiho,absorbed
kyabiha,absorbing
,abstract
bunda,abundance
bundo,abundant
bundoyo,abundantly
rorti,accelerate
rortixoma,acceleration
lispi,accept
lispikano,acceptable
lispixoma,acceptance
dinza,accident
dinzo,accidental
dinzoyo,accidentally
vroti,accompany
vifti,accomplish
viftikano,accomplishable
viftixoma,accomplishment
xmizi,account
xmizikano,accountable
flaqo,accurate
flaqoyo,accurately
kyuzixoma,accusation
kyuzi,accuse
kyuzihayo,accusingly
,accustomed
wuqki,ache
gluki,achieve
glukixoma,achievement
glukipuma,achiever
wugkihayo,achingly
virpa,acid
virpo,acidic
lerdi,acknowledge
xlani,acquire
fleqo,across
gaski,act
gaskiho,acted
,activate
xamzo,active
gaskipuma,actor
gasko,actual
gaskoyo,actually
gofti,adapt
figzi,address
praxi,adhere
kyizi,adjust
zondi,administer
xizdi,admire
plisi,admit
zulpi,adopt
frekikano,adorable
freki,adore
firda,adult
blifa,advantage
blifo,advantageous
vemda,adventure
vemdo,adventurous
vemdoyo,adventurously
kreri,adverse
bleva,advice
blevi,advise
txobi,advocate
nogzo,afar
xrolo,affair
fikda,affect
,affine
xmebi,affirm
vurpi,afflict
vurpixoma,affliction
yirzi,afford
firno,afraid
xlomo,after
flosa,afternoon
xlomokafto,afterward
xamdo,against
yeska,age
mifko,aggressive
narzi,agitate
narzihoyo,agitatedly
snuko,ago
gluqi,agree
gluqixoma,agreement
prumotxata,agricultural science
pruma,agriculture
xmol,ahead
beqki,aim
beqka,aim (object)
beqkiha,aiming
xispa,air
xispoyo,airily
xispanezda,airport
xispo,airy
blebi,alarm
blebihayo,alarmingly
snika,alcohol
tunzi,alert
maspa,algorithm
farzi,alien
vrebaxoma,allegiance
gruda,alligator
guzdi,allow
guzdihoyo,allowedly
nalto,almighty
,almond
drapo,almost
droso,alone
glozo,along
geqki,aloof
sulzo,aloud
halpa,alpaca
vorp,alphabet
vloxo,already
nitxo,alright
zurzo,also
pluni,alter
plunixoma,alteration
pluniho,altered
