category,term,meaning,source_meaning,status,language
grammar_reference,sub,I,I,held,
grammar_reference,dim,you,you,held,
grammar_reference,dam,he,,held,
grammar_reference,vex,she,,held,
grammar_reference,vax,it,it,held,
grammar_reference,bib,we,we,held,
grammar_reference,pem,they,they (communicating-agent-external-reference-focus),held,
grammar_reference,suf,self,self (auto-),held,
grammar_reference,Car,other,other,held,
grammar_reference,rug,this,this,held,
grammar_reference,gal,that,that,held,
grammar_reference,doz,here,here,held,
grammar_reference,forc,there,there,held,
grammar_reference,miqk,who,who,held,
grammar_reference,wut,what,what,held,
grammar_reference,wetx,which,which,held,
grammar_reference,zuk,where,where,held,
grammar_reference,win,when,when (time location),held,
grammar_reference,hal,how,how,held,
grammar_reference,wan,why,why,held,
grammar_reference,pan,yes,yes,held,
grammar_reference,nop,no,no,held,
grammar_reference,kol,all,all,held,
grammar_reference,sorm,some,some,held,
grammar_reference,nark,any,any,held,
grammar_reference,nan,none,none,held,
grammar_reference,sof,each,each,held,
grammar_reference,hez,every,every,held,
grammar_reference,mav,many,many,held,
grammar_reference,flun,few,few,held,
grammar_reference,sal,more,more (-er),held,
grammar_reference,sol,less,,held,
grammar_reference,sem,same,same (sym-),held,
grammar_reference,pom,different,different,held,
grammar_reference,kon,and,and,held,
grammar_reference,xat,or,or,held,
grammar_reference,ket,but,but,held,
grammar_reference,kiz,if,if,held,
grammar_reference,cam,then,then,held,
grammar_reference,tuz,because,because,held,
grammar_reference,yuc,with,with (con-),held,
grammar_reference,Cev,without,without,held,
grammar_reference,Ciz,for,,held,
grammar_reference,Coz,from,,held,
grammar_reference,yuv,to,,held,
grammar_reference,yov,of,of,held,
grammar_reference,ras,in,in,held,
grammar_reference,vun,on,on,held,
grammar_reference,hat,at,at,held,
grammar_reference,baC,by,by,held,
grammar_reference,naz,as,as,held,
grammar_reference,non,not,not (un- or -im),held,
grammar_reference,kard,can,can,held,
grammar_reference,mat,must,must,held,
grammar_reference,kod,may,,held,
abstract_relations,ciq,thing,thing (hatchling),held,
abstract_relations,kund,kind,kind (good),held,
abstract_relations,tuq,type,type,held,
abstract_relations,part,part,part,held,
abstract_relations,hol,whole,whole,held,
abstract_relations,hip,group,group,held,
abstract_relations,xok,pair,pair,held,
abstract_relations,tac,set,set (get),held,
abstract_relations,hut,amount,amount,held,
abstract_relations,dis,number,number,held,
abstract_relations,nam,name,name,held,
abstract_relations,form,form,form,held,
abstract_relations,xul,shape,shape,held,
abstract_relations,jom,pattern,pattern,held,
abstract_relations,nord,order,order,held,
abstract_relations,lok,place,place (space location),held,
abstract_relations,leC,point,point,held,
abstract_relations,sard,side,side,held,
abstract_relations,nav,center,center,held,
abstract_relations,padj,edge,edge,held,
abstract_relations,guv,end,end,held,
abstract_relations,vig,start,start,held,
abstract_relations,mad,middle,middle,held,
abstract_relations,kaz,cause,cause,held,
abstract_relations,zak,effect,effect,held,
abstract_relations,sog,reason,reason,held,
abstract_relations,buz,purpose,purpose,held,
abstract_relations,yuz,use,use,held,
abstract_relations,nid,need,need,held,
abstract_relations,ned,choice,,held,
abstract_relations,tos,chance,chance,held,
abstract_relations,xun,change,change,held,
abstract_relations,dom,state,state,held,
abstract_relations,yat,way,way,held,
abstract_relations,val,value,value,held,
abstract_relations,vul,truth,,held,
abstract_relations,zav,lie,lie,held,
abstract_relations,miv,idea,idea,held,
abstract_relations,rul,rule,rule (in system),held,
abstract_relations,sul,example,example,held,
abstract_relations,woz,problem,problem,held,
abstract_relations,kulx,answer,answer,held,
abstract_relations,luq,question,question,held,
abstract_relations,mog,meaning,meaning,held,
abstract_relations,ral,relation,relation,held,
abstract_relations,xiq,level,level,held,
abstract_relations,yaj,measure,measure,held,
abstract_relations,yix,limit,,held,
abstract_relations,paq,possible,possible,held,
