tune,english
bab,father
baC,by
bad,tangent (math)
bag,insect
bak,send
bam,create
ban,together/bind
baq,be
bar,bear (carry)
bat,beauty
bax,bird
beb,baby
bed,bite
beq,bang
bes,base
bet,under
bib,we
bid,ignorant
big,go
bil,limit/restrict
bim,target
bip,output
biq,being
bit,beat
biz,intense
bor,condition (case)
bos,possessive plural
bot,boat
bov,debug
boz,private
bub,boob
bud,awake
bug,cosine
bul,blue
bum,boom
bup,energy
but,unstable
bux,bundle (matter condensing)
buz,bosom
cad,life
cak,thank
cam,then
Can,than/compare
Car,there (abstract reference)
Car,other
Cas,thus
cat,mud
Cev,without
ciq,thing (hatchling)
cit,get
Ciz,kaledoscope
Cog,though/regard
cok,spec
Con,transition
cov,brown
Coz,except
cub,torture
cuk,eleven
cuv,field (ether)
cux,key
dac,death
dad,content
daf,previous
dag,dog
dak,physical
dal,matter (physics)
dam,morality
dan,the
das,understand
dat,word
dav,divine
dej,orange
det,datetime stamp/instance in time
dez,dynamic
dib,connect
did,deed
dif,define
dig,sine
dim,you
dip,tree
dis,number
div,drive
dob,two
dom,state
dor,door
doz,here
dub,aware
dud,friend
dug,drink
duk,minute
dul,delete
dum,negative
dun,join (to one)
dus,reduce
dux,condition (general state)
duz,do
fak,fuck
fam,family
fan,find
faz,green
fek,fake
fes,face
fet,eight
fid,next
fid,food
fil,feel
fim,female
fix,belief
fok,halt
fon,device
for,fire
fos,else
fot,right (direction)
fug,figure (it out)
fuj,refuge
ful,fuel
fun,within (endo-)
fun,would
fun,wind (air)
fup,borrow
fuq,function
fur,fail
fus,discontinuous
fut,bad
fuz,fusion
gab,eat
gaC,gather
gad,god
gag,child
gal,too
gan,garden
gar,language
gav,how (missing-action-focus)
gaz,possess
gem,game
gib,guide
gif,give
gik,user
gim,magic
gin,sync
gir,that
gis,will (future)
git,infinite
giz,position
god,gold
gol,goal
goq,job
got,antenna
gub,like (filler)
guj,memory
gul,exponent
gum,come
gun,representation
gus,back (front)
gut,gut
guv,end
guz,lose
had,head
hak,hack (work)
hal,how
ham,hmm
han,zero
hap,event
har,era
has,hyper
hat,at
haz,have
hek,hour
hem,hey
heq,hang
hez,every
hid,not hidden
hik,hike
him,nothing
hin,hi
hip,group
hir,hear
his,snake
hit,heat
hix,peach (color)
hod,period of x (-hood)
hok,okay
hol,whole
hom,home
hop,hope
hoq,hold
hov,floating point
hoz,cardinal number
hub,x-axis
hud,hide
huk,hook
hum,urge
hun,illusion
huq,uh
hut,heed
huv,handle
huz,duration
jak,wisdom
jan,spirit
jaq,count
jas,just (close-focus)
jet,throw
jil,stream
jin,paradise
jit,digit
jom,pattern
jul,universe
jul,flow
kab,receive
kaf,cough
kal,time
kam,calm
kan,aggregate
kaq,object
kar,call
kat,focus
kax,perfect
kaz,cause
kek,agree
ken,communicate
kep,clone
kes,case (situation)
ket,but
kid,could
kik,kick
kil,cyan
kim,climb
kip,tune
kiq,action
kis,bottom
kiv,intent
kix,process
kiz,if
kod,code
kof,default
koj,fool
kok,disagree
kol,all
kom,five
kon,and
kop,scope
kov,cover
kox,cell (biology)
koz,z-axis
kub,cube
kud,miss (didn't touch)
kuf,clue
kul,cool (interjection)
kum,back area
kup,tone
kuq,manner
kur,down
kus,constant
kuv,divide
lad,yellow
laf,four
lag,organ (body)
lak,like
lal,y-axis
lam,real
lan,land
laq,object feature type
lav,love
lax,add
laz,very much of (-some)
leC,point
lek,collect
lem,low
lep,push
les,air
lid,lead
lif,leaf
lig,square root
lij,orient
lik,link
lil,boolean
lin,learn
lip,chain
liq,simulate
lit,light
lob,error
lod,load
log,permute
log,bet (gamble)
log,murmur
log,glimmer
lok,place (space location)
lom,plural (many)
lon,loan
lor,lord
los,less of (-less) empty
lot,lot (land)
lox,string (computing)
luf,far (large-distance-focus)
luj,logic
luk,look
lum,branch
lun,moon
lup,loop
luq,question
mab,source
mac,great
mad,middle
maf,male
mag,fruit
maj,magenta
mak,meat
mal,molecule
mam,mother
man,mind
map,map (map/reduce)
maq,harmony
mar,symbol
mat,forward
mav,many
maz,flow (speech utterance)
mej,model
mek,make
men,main
meq,mine
mes,month
mid,positive
min,not know
miq,motion
mir,bright
mis,miss (longing)
mit,meet
miv,idea
mix,network
mod,mode
mog,meaning
moj,emerge
mok,align
mol,high
mop,twelve
moq,about/encompass
mor,the model of the action (e.g. the transform)
mot,mountain
mox,immutable
moz,hash
muc,mouth
mud,mood
mug,(past particle)
muj,message
muk,earth (dirt)
mul,unreal
mun,gut sense
muq,mmm
mus,mercy
mut,mutate
muv,move
muz,pain
nak,knock
nal,neutral
nam,name
nan,negate
nar,person
nas,nest
nav,center
naz,as
ned,static
nek,neck
nep,nature
nes,nice
net,knit
nev,off
nid,need
nif,a (isolated-element-focus)
nik,pink
niq,omniscient
nir,nerd
nix,listen
niz,nest (structure)
nol,toward
non,not (un- or -im)
nop,no
not,note
nox,notion
noz,nose
nub,separate
nuc,long
nuj,hell
nul,forget
num,know
nuq,bond
nuv,empty
nuz,distribute
pac,path
pak,package
pam,pray
pan,yes
paq,response
par,depart/from
pas,space
pat,dimension
pem,they (communicating-agent-external-reference-focus)
peq,pay
pik,master
pim,permeate
pip,individual
piq,request
pit,pure
pod,free
pom,different
pop,property (of object)
por,poor
pot,honorific (address)
pul,pull
pum,time (count)
rab,ride
raC,rhythm
raf,reference
raj,range
rak,rock
ral,raw
ram,dark
ran,frog
rap,wrap
raq,wrong
rar,rare
ras,in
rat,write
rav,particle
raz,resonate
reC,progress
red,red
ref,success
reg,edit
ren,rain
ret,after
rex,array
rib,ribbit
ric,straight
riC,algorithm
rid,read
rif,close (near)
rik,up
ril,relation
rin,run
rip,rich
ris,express
rit,soil
riv,to/arrive
riz,rise
rog,thirteen
rol,cycle
ron,environment
ros,force
rot,FALSE
rov,copper
roz,rose
rub,logarithm
rud,update
rug,this
ruk,location
rul,rule (in system)
rum,realm
run,glyph
rup,right (time)
ruv,local
ruz,consonant
sab,describe
sag,beyond (extra- or hyper-)
saj,etc
sal,like (similar)
sam,sound
san,sun
sap,present (now)
saq,song
sar,surf
sas,parent
sat,sight
sav,silver
sax,wash
