tune,english
baltx,belch
bardj,barge
dendj,danger
dents,dense
handj,angel
hanst,honest
harnz,harness
hartx,arch
hintx,inch (measurement)
honts,ounce
kantx,crunch
kardj,cartilage
kartx,cache
koltx,ouch
landj,lounge
lardj,large
lorst,lust
mants,monster
marst,must
martx,march
mints,mince
mordj,merge
nardj,farenheit
pantx,hit
partx,land (perch)
ponts,pounce
rints,rinse
sants,since
sindj,singe
skral,scrawl
skrap,scrap
skrep,scrape
skrin,screen (display)
skriz,squeeze
skrol,scroll
sortx,search
splax,splash
split,split
spral,spiral
sprat,sprout
spred,spread
spriq,spring (tool)
spriz,react
strap,strap
straq,strong
strat,strict
strax,stretch
streq,stray
strip,stripe
striq,string
strol,stroll
struk,strike
strup,strip
tants,tense
wartx,watt (measurement)
wints,wince
blants,balance
djinks,jinx
gaqtxi,piano
glants,glance
glemps,glimpse
klantx,clench
klintx,clinch
prants,prance
skratx,scratch
skritx,screech
slents,silence
spandj,sponge (animal)
spland,splendor
sprant,sprint
strand,strand
tkslit,rodentia
tkslit,rodentia
tkslit,rodentia
trandj,fin
trants,trance
trantx,tarnish
txants,chance
txardj,charge (electricity)
baktrak,backtrack
baldjiq,alarm
baldjoq,bulge
bambard,bombard
bandedj,bandage
bantxap,bunch (up)
beqdjin,taut
beqkrap,bankrupt
beqkrol,bankroll
bidants,obedience
bigradj,begrudge
blaCrak,balloon
blandiC,blind
blandur,blunder
blantog,blunt
blistur,blister
blitret,obliterate
blitxiq,bleach
blofrik,blow up
blupran,bloop
bolstar,bolster
braklin,broccoli
bramxam,deviate
brekrik,break up
brektaj,break down
brilant,brilliant
briqkon,brink
briqrik,bring up
briqtaj,bring down
caksdat,extradite
camblez,blaze
candjur,engender
candman,undermine
caqgros,engross.
castxul,eschew
catgraf,autograph
catredj,outrage
cavindj,avenge
cimpand,impound
cindaks,index
cintarn,internal
cinvant,inventory
citdjip,get over
cordjet,originate
daktrin,doctrine
dandjan,dignity
daskloz,disclose
dastiqk,distinct
demkrat,democrat
deqgret,denigrate
devstet,devastate
difants,defense
dinants,denounce
dipskin,bark (tree)
disband,disband
disdant,dissident
diskard,discard
diskors,discourse
diskres,disgrace
disladj,dislodge
dispatx,dispatch
displek,display
dispors,disburse
distrak,distract
distrik,district
distrug,destruct
ditrant,deterrent
divaldj,divulge
dizgast,disgust
dizmant,dismantle
djabrit,jab
djadjum,aggravate
djagnak,jog
djaklet,ejaculate
djambol,jumble
djandan,ordinary
djandar,gender
djandiq,steadfast
djanfen,starch
djanret,generate
djanrin,tough
djantik,elevator
djanxal,decrease
djanxiq,quintessential
djapdaz,jeopardize
djaqgut,sturdy
djargun,jargon
djarsur,run out of
djedjan,frugal
djestor,jest
djetrik,jet
djetxuk,eminent
djetxuq,relieve
djibrex,gibberish
djidjal,fabricate
djidjip,aggress
djimkat,unravel
djimnaz,gym
djinfap,blond
djinxil,fast (eating)
djinxiq,conduct
djinzik,restrain
djinzit,pyramid
djipzus,overdo
djiqbal,alert
djiqfek,expense
djiqgan,spite
djiqgol,jingle
djiqkaq,circumstance
djiqren,stupendous
djiqtik,vigilant
djiqzim,sophisticated
djisant,adjacent
djitxup,basis
djoltaz,jolt
djorkar,jerk
djornal,journal
djudket,adjudicate
djukrat,juke
djukzaq,rectify
djundip,army
djunxik,military
djurmip,germ
djurnet,germinate
djutxal,picket
djuvnet,rejuvenate
doltrak,dole
dorkast,dork
dradjan,dredge
dradnev,put off
dradvun,put on
drapnev,drop off
drapras,drop in
drapsur,drop out
drastik,dress up
durdjan,malicious
falprat,fall apart
fandorg,fondle
fantxul,font
feltran,felt (material)
fentxad,finch
filtret,filtrate
finants,finance
firmant,ferment
flagrit,flag
flapzon,flop
flartak,flout
flastor,fluster
flastur,fluster
fleqkat,flank
flortaj,flirt
fordjiz,forge
forkast,forecast
formlak,formula
formlet,formulate
formost,foremost
fortxun,fortune
fradjal,fragile
fraktal,fractal
fridjet,refrigerate
frikant,frequency
frikxam,friction
gakorst,gawk
galfron,gulf
galtxal,superb
galvnaz,galvanize
gandjun,champion
gaqklan,gunk
gardjar,carrot
garland,garland
gastreC,gas
gladrag,glad
glamros,glamorous
glasorc,glass
glednev,lay off
gondjuk,instrument
goqtxeq,engineering
gradjet,graduate
gralpon,gripe
grantal,grunt
grantol,disgruntle
graqbol,broadcast
gravtin,gravity
grazlin,grizzly
grepxam,repetition
gritzal,grit
grubnat,seize
grumbal,grumble
grunrik,grow up
gultxup,preach
habdjak,object (argument)
habridj,abridge
habsent,absence
habsruk,obstruct
habsten,abstain
habzorb,adsorb
hadjast,adjust
hadjorn,adjourn
hadmant,adamant
hafzitz,bomb
hagzort,exert
haklips,eclipse
haknedj,acknowledge
haksent,eccentric
hakspal,expel
hakspet,expect
hakstol,extol
haldjen,algae
halmost,almost
hambalz,embezzle
hambark,embark
